feature_id,assay,entrez_gene,gene_symbol,ensembl_gene,Gambardella_et_al_2020,MSigDb_TFEB_TARGET_GENES,Settembre_et_al_2013,Doronzo_et_al_2018,any
ENSG00000135482.7,transcript-rna-seq,84872,ZC3H10,ENSG00000135482,N,N,N,N,N
ENSG00000104964.15,transcript-rna-seq,166,TLE5,ENSG00000104964,N,N,N,N,N
ENSG00000133816.18,transcript-rna-seq,9645,MICAL2,ENSG00000133816,N,N,N,Y,Y
ENSG00000196811.13,transcript-rna-seq,1146,CHRNG,ENSG00000196811,N,N,N,N,N
ENSG00000069122.19,transcript-rna-seq,221395,ADGRF5,ENSG00000069122,N,N,N,Y,Y
ENSG00000165030.4,transcript-rna-seq,4783,NFIL3,ENSG00000165030,N,N,N,N,N
ENSG00000177181.15,transcript-rna-seq,284716,RIMKLA,ENSG00000177181,Y,N,N,N,Y
ENSG00000113749.8,transcript-rna-seq,3274,HRH2,ENSG00000113749,N,N,N,N,N
ENSG00000168004.10,transcript-rna-seq,117245,PLAAT5,ENSG00000168004,N,N,N,N,N
ENSG00000134324.12,transcript-rna-seq,23175,LPIN1,ENSG00000134324,N,N,N,Y,Y
ENSG00000204574.14,transcript-rna-seq,23,ABCF1,ENSG00000204574,N,N,N,N,N
ENSG00000232079.7,transcript-rna-seq,284825,LINC01697,ENSG00000232079,N,N,N,N,N
ENSG00000132305.22,transcript-rna-seq,10989,IMMT,ENSG00000132305,N,N,N,N,N
ENSG00000249437.8,transcript-rna-seq,4671,NAIP,ENSG00000249437,N,N,N,N,N
ENSG00000170100.14,transcript-rna-seq,197320,ZNF778,ENSG00000170100,N,N,N,Y,Y
ENSG00000198796.7,transcript-rna-seq,115701,ALPK2,ENSG00000198796,N,N,N,Y,Y
ENSG00000128872.10,transcript-rna-seq,29767,TMOD2,ENSG00000128872,N,N,N,N,N
ENSG00000158270.12,transcript-rna-seq,81035,COLEC12,ENSG00000158270,N,N,N,N,N
ENSG00000101337.16,transcript-rna-seq,9777,TM9SF4,ENSG00000101337,Y,N,N,N,Y
ENSG00000114573.10,transcript-rna-seq,523,ATP6V1A,ENSG00000114573,N,Y,N,Y,Y
ENSG00000141753.7,transcript-rna-seq,3487,IGFBP4,ENSG00000141753,N,N,N,N,N
ENSG00000141068.15,transcript-rna-seq,8844,KSR1,ENSG00000141068,N,N,N,Y,Y
ENSG00000082684.16,transcript-rna-seq,54437,SEMA5B,ENSG00000082684,Y,N,N,N,Y
ENSG00000090266.13,transcript-rna-seq,4708,NDUFB2,ENSG00000090266,N,N,N,N,N
ENSG00000126705.15,transcript-rna-seq,27245,AHDC1,ENSG00000126705,N,N,N,N,N
ENSG00000175906.5,transcript-rna-seq,379,ARL4D,ENSG00000175906,N,N,N,N,N
ENSG00000109118.14,transcript-rna-seq,57649,PHF12,ENSG00000109118,N,N,N,N,N
ENSG00000141540.11,transcript-rna-seq,94015,TTYH2,ENSG00000141540,N,N,N,N,N
ENSG00000179981.11,transcript-rna-seq,10194,TSHZ1,ENSG00000179981,N,Y,N,Y,Y
ENSG00000169330.9,transcript-rna-seq,23251,MINAR1,ENSG00000169330,N,N,N,N,N
ENSG00000157500.12,transcript-rna-seq,26060,APPL1,ENSG00000157500,N,N,N,N,N
ENSG00000112367.12,transcript-rna-seq,9896,FIG4,ENSG00000112367,N,N,N,Y,Y
ENSG00000156531.18,transcript-rna-seq,84295,PHF6,ENSG00000156531,N,N,N,N,N
ENSG00000060237.19,transcript-rna-seq,65125,WNK1,ENSG00000060237,Y,N,N,Y,Y
ENSG00000166959.8,transcript-rna-seq,83661,MS4A8,ENSG00000166959,N,N,N,N,N
ENSG00000171448.9,transcript-rna-seq,57684,ZBTB26,ENSG00000171448,Y,N,N,N,Y
ENSG00000127526.15,transcript-rna-seq,79939,SLC35E1,ENSG00000127526,N,N,N,N,N
ENSG00000144362.12,transcript-rna-seq,493911,PHOSPHO2,ENSG00000144362,N,N,N,N,N
ENSG00000182324.7,transcript-rna-seq,3770,KCNJ14,ENSG00000182324,N,N,N,N,N
ENSG00000198682.13,transcript-rna-seq,9060,PAPSS2,ENSG00000198682,N,N,N,Y,Y
ENSG00000241343.10,transcript-rna-seq,6173,RPL36A,ENSG00000241343,N,N,N,N,N
ENSG00000068912.15,transcript-rna-seq,27248,ERLEC1,ENSG00000068912,N,N,N,N,N
ENSG00000152219.5,transcript-rna-seq,120534,ARL14EP,ENSG00000152219,N,N,N,N,N
ENSG00000162585.17,transcript-rna-seq,199990,FAAP20,ENSG00000162585,N,N,N,N,N
ENSG00000169964.8,transcript-rna-seq,131616,TMEM42,ENSG00000169964,N,N,N,N,N
ENSG00000139209.16,transcript-rna-seq,55089,SLC38A4,ENSG00000139209,N,N,N,N,N
ENSG00000162076.13,transcript-rna-seq,114984,FLYWCH2,ENSG00000162076,N,N,N,N,N
ENSG00000188906.17,transcript-rna-seq,120892,LRRK2,ENSG00000188906,N,N,N,N,N
ENSG00000162636.16,transcript-rna-seq,284611,FAM102B,ENSG00000162636,N,N,N,N,N
ENSG00000138074.15,transcript-rna-seq,8884,SLC5A6,ENSG00000138074,N,N,N,Y,Y
ENSG00000005059.16,transcript-rna-seq,55013,MCUB,ENSG00000005059,N,N,N,N,N
ENSG00000100429.18,transcript-rna-seq,83933,HDAC10,ENSG00000100429,N,N,N,N,N
ENSG00000119471.15,transcript-rna-seq,84263,HSDL2,ENSG00000119471,N,N,N,N,N
ENSG00000227953.7,transcript-rna-seq,NA,LINC01341,ENSG00000227953,N,N,N,N,N
ENSG00000198125.13,transcript-rna-seq,4151,MB,ENSG00000198125,N,N,N,N,N
ENSG00000165983.15,transcript-rna-seq,9317,PTER,ENSG00000165983,Y,N,N,N,Y
ENSG00000129473.11,transcript-rna-seq,599,BCL2L2,ENSG00000129473,Y,N,N,Y,Y
ENSG00000156500.16,transcript-rna-seq,159091,PABIR3,ENSG00000156500,N,N,N,N,N
ENSG00000205363.7,transcript-rna-seq,388135,INSYN1,ENSG00000205363,N,N,N,N,N
ENSG00000219481.11,transcript-rna-seq,55672,NBPF1,ENSG00000219481,Y,N,N,Y,Y
ENSG00000175538.11,transcript-rna-seq,10008,KCNE3,ENSG00000175538,N,N,N,N,N
ENSG00000166199.13,transcript-rna-seq,221120,ALKBH3,ENSG00000166199,N,N,N,Y,Y
ENSG00000272031.3,transcript-rna-seq,284615,ANKRD34A,ENSG00000272031,N,N,N,N,N
ENSG00000181781.10,transcript-rna-seq,284451,ODF3L2,ENSG00000181781,N,N,N,N,N
ENSG00000113460.13,transcript-rna-seq,55299,BRIX1,ENSG00000113460,N,N,N,N,N
ENSG00000125124.14,transcript-rna-seq,583,BBS2,ENSG00000125124,N,N,N,N,N
ENSG00000107551.21,transcript-rna-seq,83937,RASSF4,ENSG00000107551,N,N,N,N,N
ENSG00000173598.14,transcript-rna-seq,11163,NUDT4,ENSG00000173598,N,N,N,N,N
ENSG00000142453.12,transcript-rna-seq,10498,CARM1,ENSG00000142453,N,N,N,N,N
ENSG00000128626.12,transcript-rna-seq,6183,MRPS12,ENSG00000128626,Y,N,N,Y,Y
ENSG00000112902.12,transcript-rna-seq,9037,SEMA5A,ENSG00000112902,N,N,N,N,N
ENSG00000140478.16,transcript-rna-seq,653643,GOLGA6D,ENSG00000140478,N,N,N,N,N
ENSG00000171649.12,transcript-rna-seq,284307,ZIK1,ENSG00000171649,Y,N,N,N,Y
ENSG00000181090.21,transcript-rna-seq,79813,EHMT1,ENSG00000181090,N,N,N,N,N
ENSG00000204839.9,transcript-rna-seq,642475,MROH6,ENSG00000204839,N,N,N,N,N
ENSG00000138604.10,transcript-rna-seq,26035,GLCE,ENSG00000138604,N,N,N,N,N
ENSG00000129197.15,transcript-rna-seq,84268,RPAIN,ENSG00000129197,Y,N,N,N,Y
ENSG00000021300.14,transcript-rna-seq,58473,PLEKHB1,ENSG00000021300,N,N,N,N,N
ENSG00000153294.12,transcript-rna-seq,221393,ADGRF4,ENSG00000153294,N,N,N,Y,Y
ENSG00000198964.14,transcript-rna-seq,259230,SGMS1,ENSG00000198964,N,Y,N,Y,Y
ENSG00000288701.1,transcript-rna-seq,84726,PRRC2B,ENSG00000288701,Y,N,N,N,Y
ENSG00000105519.18,transcript-rna-seq,828,CAPS,ENSG00000105519,N,N,N,N,N
ENSG00000204103.4,transcript-rna-seq,9935,MAFB,ENSG00000204103,N,Y,N,Y,Y
ENSG00000120008.16,transcript-rna-seq,55717,WDR11,ENSG00000120008,N,N,N,N,N
ENSG00000174428.19,transcript-rna-seq,389524,GTF2IRD2B,ENSG00000174428,N,N,N,N,N
ENSG00000104889.7,transcript-rna-seq,10535,RNASEH2A,ENSG00000104889,Y,N,N,N,Y
ENSG00000164190.19,transcript-rna-seq,25836,NIPBL,ENSG00000164190,Y,N,N,Y,Y
ENSG00000230373.8,transcript-rna-seq,642402,GOLGA6L5P,ENSG00000230373,N,N,N,N,N
ENSG00000164244.21,transcript-rna-seq,133619,PRRC1,ENSG00000164244,Y,N,N,N,Y
ENSG00000061936.10,transcript-rna-seq,6433,SFSWAP,ENSG00000061936,N,N,N,N,N
ENSG00000181894.15,transcript-rna-seq,79673,ZNF329,ENSG00000181894,Y,N,N,N,Y
ENSG00000129535.13,transcript-rna-seq,4901,NRL,ENSG00000129535,N,N,N,Y,Y
ENSG00000116786.13,transcript-rna-seq,23207,PLEKHM2,ENSG00000116786,N,N,N,N,N
ENSG00000085872.15,transcript-rna-seq,10523,CHERP,ENSG00000085872,N,N,N,N,N
ENSG00000157483.9,transcript-rna-seq,4643,MYO1E,ENSG00000157483,N,Y,N,N,Y
ENSG00000134758.14,transcript-rna-seq,51444,RNF138,ENSG00000134758,Y,N,N,N,Y
ENSG00000164327.13,transcript-rna-seq,253260,RICTOR,ENSG00000164327,Y,N,N,N,Y
ENSG00000002330.14,transcript-rna-seq,572,BAD,ENSG00000002330,N,N,N,N,N
ENSG00000227372.12,transcript-rna-seq,57212,TP73-AS1,ENSG00000227372,N,N,N,N,N
ENSG00000214050.8,transcript-rna-seq,157574,FBXO16,ENSG00000214050,N,N,N,N,N
ENSG00000147799.12,transcript-rna-seq,80728,ARHGAP39,ENSG00000147799,N,N,N,N,N
ENSG00000147883.12,transcript-rna-seq,1030,CDKN2B,ENSG00000147883,N,N,N,N,N
ENSG00000126953.8,transcript-rna-seq,1678,TIMM8A,ENSG00000126953,N,N,N,N,N
ENSG00000235453.12,transcript-rna-seq,100129250,SMIM27,ENSG00000235453,N,Y,N,Y,Y
ENSG00000163249.13,transcript-rna-seq,151195,CCNYL1,ENSG00000163249,N,N,N,Y,Y
ENSG00000261777.6,transcript-rna-seq,100506083,DDX19A-DT,ENSG00000261777,N,N,N,N,N
ENSG00000184787.19,transcript-rna-seq,7327,UBE2G2,ENSG00000184787,N,N,N,N,N
ENSG00000113810.16,transcript-rna-seq,10051,SMC4,ENSG00000113810,N,N,N,N,N
ENSG00000219665.8,transcript-rna-seq,101928464,ZNF433-AS1,ENSG00000219665,N,N,N,N,N
ENSG00000161955.17,transcript-rna-seq,8741,TNFSF13,ENSG00000161955,N,N,N,N,N
ENSG00000128185.10,transcript-rna-seq,85359,DGCR6L,ENSG00000128185,Y,N,N,N,Y
ENSG00000164105.4,transcript-rna-seq,8819,SAP30,ENSG00000164105,N,N,N,N,N
ENSG00000036054.13,transcript-rna-seq,55773,TBC1D23,ENSG00000036054,N,N,N,N,N
ENSG00000110042.8,transcript-rna-seq,23220,DTX4,ENSG00000110042,N,N,N,N,N
ENSG00000166295.9,transcript-rna-seq,119504,ANAPC16,ENSG00000166295,N,N,N,Y,Y
ENSG00000163714.18,transcript-rna-seq,23350,U2SURP,ENSG00000163714,Y,Y,N,Y,Y
ENSG00000144306.15,transcript-rna-seq,79634,SCRN3,ENSG00000144306,N,N,N,N,N
ENSG00000228653.2,transcript-rna-seq,NA,HNRNPCP7,ENSG00000228653,N,N,N,N,N
ENSG00000132376.20,transcript-rna-seq,51763,INPP5K,ENSG00000132376,N,N,N,N,N
ENSG00000158805.12,transcript-rna-seq,92822,ZNF276,ENSG00000158805,N,N,N,Y,Y
ENSG00000204264.12,transcript-rna-seq,5696,PSMB8,ENSG00000204264,N,N,N,N,N
ENSG00000225210.10,transcript-rna-seq,503638,DUXAP9,ENSG00000225210,N,N,N,N,N
ENSG00000196704.14,transcript-rna-seq,51321,AMZ2,ENSG00000196704,N,N,N,N,N
ENSG00000134970.14,transcript-rna-seq,51014,TMED7,ENSG00000134970,N,N,N,N,N
ENSG00000235333.3,transcript-rna-seq,NA,PVRIG2P,ENSG00000235333,N,N,N,N,N
ENSG00000263001.8,transcript-rna-seq,2969,GTF2I,ENSG00000263001,Y,N,N,N,Y
ENSG00000171169.9,transcript-rna-seq,203245,NAIF1,ENSG00000171169,N,N,N,N,N
ENSG00000142408.7,transcript-rna-seq,59283,CACNG8,ENSG00000142408,N,N,N,N,N
ENSG00000230798.6,transcript-rna-seq,100996301,FOXD3-AS1,ENSG00000230798,N,N,N,N,N
ENSG00000173065.14,transcript-rna-seq,55731,FAM222B,ENSG00000173065,N,Y,N,Y,Y
ENSG00000215030.5,transcript-rna-seq,NA,RPL13P12,ENSG00000215030,N,N,N,N,N
ENSG00000153786.13,transcript-rna-seq,55625,ZDHHC7,ENSG00000153786,N,N,N,N,N
ENSG00000272975.1,transcript-rna-seq,NA,MYHAS,ENSG00000272975,N,N,N,N,N
ENSG00000221914.11,transcript-rna-seq,5520,PPP2R2A,ENSG00000221914,N,N,N,N,N
ENSG00000175048.17,transcript-rna-seq,79683,ZDHHC14,ENSG00000175048,Y,N,N,N,Y
ENSG00000180304.14,transcript-rna-seq,4947,OAZ2,ENSG00000180304,Y,N,N,N,Y
ENSG00000188859.7,transcript-rna-seq,149297,FAM78B,ENSG00000188859,N,N,N,N,N
ENSG00000176597.12,transcript-rna-seq,84002,B3GNT5,ENSG00000176597,N,N,N,N,N
ENSG00000134996.12,transcript-rna-seq,26578,OSTF1,ENSG00000134996,N,N,N,N,N
ENSG00000147419.19,transcript-rna-seq,55246,CCDC25,ENSG00000147419,N,N,N,N,N
ENSG00000203950.7,transcript-rna-seq,26071,RTL8A,ENSG00000203950,N,N,N,N,N
ENSG00000099326.9,transcript-rna-seq,7593,MZF1,ENSG00000099326,N,N,N,N,N
ENSG00000276291.6,transcript-rna-seq,NA,FRG1HP,ENSG00000276291,N,N,N,N,N
ENSG00000134452.20,transcript-rna-seq,84893,FBH1,ENSG00000134452,N,N,N,N,N
ENSG00000118946.12,transcript-rna-seq,27253,PCDH17,ENSG00000118946,N,N,N,Y,Y
ENSG00000100362.13,transcript-rna-seq,5816,PVALB,ENSG00000100362,N,N,N,N,N
ENSG00000072274.13,transcript-rna-seq,7037,TFRC,ENSG00000072274,Y,N,N,N,Y
ENSG00000278619.5,transcript-rna-seq,79922,MRM1,ENSG00000278619,N,N,N,N,N
ENSG00000020129.16,transcript-rna-seq,23154,NCDN,ENSG00000020129,N,N,N,N,N
ENSG00000221994.12,transcript-rna-seq,57232,ZNF630,ENSG00000221994,N,N,N,N,N
ENSG00000140474.14,transcript-rna-seq,25989,ULK3,ENSG00000140474,N,N,N,Y,Y
ENSG00000182768.9,transcript-rna-seq,51335,NGRN,ENSG00000182768,N,N,N,Y,Y
ENSG00000134330.19,transcript-rna-seq,285148,IAH1,ENSG00000134330,N,N,N,N,N
ENSG00000212123.4,transcript-rna-seq,163154,PRR22,ENSG00000212123,N,N,N,N,N
ENSG00000090372.15,transcript-rna-seq,29888,STRN4,ENSG00000090372,N,N,N,N,N
ENSG00000005801.18,transcript-rna-seq,7748,ZNF195,ENSG00000005801,Y,N,N,N,Y
ENSG00000125249.7,transcript-rna-seq,5911,RAP2A,ENSG00000125249,N,N,N,N,N
ENSG00000225613.2,transcript-rna-seq,NA,LINCMD1,ENSG00000225613,N,N,N,N,N
ENSG00000271270.8,transcript-rna-seq,100507032,TMCC1-DT,ENSG00000271270,N,N,N,N,N
ENSG00000051382.9,transcript-rna-seq,5291,PIK3CB,ENSG00000051382,N,N,N,N,N
ENSG00000198198.17,transcript-rna-seq,23334,SZT2,ENSG00000198198,N,N,N,N,N
ENSG00000163904.13,transcript-rna-seq,59343,SENP2,ENSG00000163904,N,N,N,N,N
ENSG00000187866.10,transcript-rna-seq,116224,PABIR1,ENSG00000187866,N,N,N,N,N
ENSG00000101224.18,transcript-rna-seq,994,CDC25B,ENSG00000101224,Y,N,N,N,Y
ENSG00000099958.15,transcript-rna-seq,91319,DERL3,ENSG00000099958,Y,N,N,N,Y
ENSG00000055211.14,transcript-rna-seq,116254,GINM1,ENSG00000055211,N,N,N,N,N
ENSG00000127948.16,transcript-rna-seq,5447,POR,ENSG00000127948,N,N,N,Y,Y
ENSG00000103994.18,transcript-rna-seq,64397,ZNF106,ENSG00000103994,N,N,N,N,N
ENSG00000127507.18,transcript-rna-seq,30817,ADGRE2,ENSG00000127507,N,N,N,N,N
ENSG00000101654.18,transcript-rna-seq,8731,RNMT,ENSG00000101654,N,Y,N,Y,Y
ENSG00000139116.19,transcript-rna-seq,55605,KIF21A,ENSG00000139116,N,N,N,N,N
ENSG00000204568.12,transcript-rna-seq,28973,MRPS18B,ENSG00000204568,N,Y,N,Y,Y
ENSG00000171503.13,transcript-rna-seq,2110,ETFDH,ENSG00000171503,N,N,N,N,N
ENSG00000105971.15,transcript-rna-seq,858,CAV2,ENSG00000105971,N,N,N,N,N
ENSG00000164879.7,transcript-rna-seq,761,CA3,ENSG00000164879,N,N,N,N,N
ENSG00000234975.6,transcript-rna-seq,NA,FTH1P2,ENSG00000234975,N,N,N,N,N
ENSG00000182095.15,transcript-rna-seq,84629,TNRC18,ENSG00000182095,Y,N,N,N,Y
ENSG00000185630.19,transcript-rna-seq,5087,PBX1,ENSG00000185630,N,N,N,N,N
ENSG00000087263.17,transcript-rna-seq,55239,OGFOD1,ENSG00000087263,N,N,N,N,N
ENSG00000269352.1,transcript-rna-seq,NA,PTOV1-AS2,ENSG00000269352,N,N,N,N,N
ENSG00000196924.19,transcript-rna-seq,2316,FLNA,ENSG00000196924,N,N,N,N,N
ENSG00000065833.9,transcript-rna-seq,4199,ME1,ENSG00000065833,Y,N,N,N,Y
ENSG00000136045.12,transcript-rna-seq,11137,PWP1,ENSG00000136045,N,N,N,N,N
ENSG00000143418.20,transcript-rna-seq,29956,CERS2,ENSG00000143418,N,N,N,N,N
ENSG00000273173.5,transcript-rna-seq,8926,SNURF,ENSG00000273173,N,N,N,N,N
ENSG00000164091.12,transcript-rna-seq,80335,WDR82,ENSG00000164091,N,N,N,N,N
ENSG00000179583.20,transcript-rna-seq,4261,CIITA,ENSG00000179583,N,N,N,N,N
ENSG00000081181.8,transcript-rna-seq,384,ARG2,ENSG00000081181,N,N,N,N,N
ENSG00000054118.15,transcript-rna-seq,9967,THRAP3,ENSG00000054118,N,N,N,Y,Y
ENSG00000167395.10,transcript-rna-seq,9726,ZNF646,ENSG00000167395,N,N,N,Y,Y
ENSG00000137727.13,transcript-rna-seq,57569,ARHGAP20,ENSG00000137727,N,N,N,N,N
ENSG00000128917.8,transcript-rna-seq,54567,DLL4,ENSG00000128917,N,N,N,N,N
ENSG00000249898.9,transcript-rna-seq,NA,MCPH1-AS1,ENSG00000249898,N,N,N,N,N
ENSG00000169733.12,transcript-rna-seq,5986,RFNG,ENSG00000169733,N,N,N,N,N
ENSG00000189164.15,transcript-rna-seq,84503,ZNF527,ENSG00000189164,Y,N,N,N,Y
ENSG00000178585.15,transcript-rna-seq,56998,CTNNBIP1,ENSG00000178585,N,N,N,N,N
ENSG00000186314.12,transcript-rna-seq,153768,PRELID2,ENSG00000186314,N,N,N,N,N
ENSG00000134072.11,transcript-rna-seq,8536,CAMK1,ENSG00000134072,N,N,N,N,N
ENSG00000165060.15,transcript-rna-seq,2395,FXN,ENSG00000165060,Y,N,N,N,Y
ENSG00000167965.18,transcript-rna-seq,64223,MLST8,ENSG00000167965,N,Y,N,Y,Y
ENSG00000078369.18,transcript-rna-seq,2782,GNB1,ENSG00000078369,Y,N,N,N,Y
ENSG00000077522.15,transcript-rna-seq,88,ACTN2,ENSG00000077522,N,Y,N,Y,Y
ENSG00000165125.22,transcript-rna-seq,55503,TRPV6,ENSG00000165125,N,N,N,N,N
ENSG00000196873.16,transcript-rna-seq,445571,CBWD3,ENSG00000196873,N,N,N,N,N
ENSG00000172260.15,transcript-rna-seq,257194,NEGR1,ENSG00000172260,N,N,N,Y,Y
ENSG00000142208.18,transcript-rna-seq,207,AKT1,ENSG00000142208,N,N,N,N,N
ENSG00000116833.14,transcript-rna-seq,2494,NR5A2,ENSG00000116833,N,N,N,N,N
ENSG00000198825.15,transcript-rna-seq,22876,INPP5F,ENSG00000198825,N,N,N,Y,Y
ENSG00000240682.10,transcript-rna-seq,57461,ISY1,ENSG00000240682,N,N,N,N,N
ENSG00000179604.10,transcript-rna-seq,23580,CDC42EP4,ENSG00000179604,Y,N,N,N,Y
ENSG00000139364.11,transcript-rna-seq,114795,TMEM132B,ENSG00000139364,N,N,N,N,N
ENSG00000196743.9,transcript-rna-seq,2760,GM2A,ENSG00000196743,N,N,N,Y,Y
ENSG00000158104.11,transcript-rna-seq,3242,HPD,ENSG00000158104,N,N,N,Y,Y
ENSG00000196139.14,transcript-rna-seq,8644,AKR1C3,ENSG00000196139,N,N,N,N,N
ENSG00000236819.2,transcript-rna-seq,101060544,LINC01563,ENSG00000236819,N,N,N,N,N
ENSG00000118939.18,transcript-rna-seq,7347,UCHL3,ENSG00000118939,N,N,N,Y,Y
ENSG00000203747.12,transcript-rna-seq,2214,FCGR3A,ENSG00000203747,N,N,N,N,N
ENSG00000196712.19,transcript-rna-seq,4763,NF1,ENSG00000196712,Y,N,N,N,Y
ENSG00000198908.12,transcript-rna-seq,80823,BHLHB9,ENSG00000198908,N,N,N,N,N
ENSG00000229444.1,transcript-rna-seq,101929592,ST3GAL3-AS1,ENSG00000229444,N,N,N,N,N
ENSG00000004838.14,transcript-rna-seq,51364,ZMYND10,ENSG00000004838,N,N,N,N,N
ENSG00000155367.16,transcript-rna-seq,333926,PPM1J,ENSG00000155367,N,N,N,Y,Y
ENSG00000148180.21,transcript-rna-seq,2934,GSN,ENSG00000148180,Y,N,N,Y,Y
ENSG00000100591.8,transcript-rna-seq,10598,AHSA1,ENSG00000100591,Y,N,N,N,Y
ENSG00000188580.15,transcript-rna-seq,154215,NKAIN2,ENSG00000188580,N,N,N,N,N
ENSG00000250056.8,transcript-rna-seq,NA,LINC01018,ENSG00000250056,N,N,N,N,N
ENSG00000063241.8,transcript-rna-seq,79763,ISOC2,ENSG00000063241,Y,N,N,N,Y
ENSG00000143575.15,transcript-rna-seq,10456,HAX1,ENSG00000143575,N,N,N,N,N
ENSG00000215790.8,transcript-rna-seq,9906,SLC35E2A,ENSG00000215790,N,N,N,N,N
ENSG00000005483.22,transcript-rna-seq,55904,KMT2E,ENSG00000005483,N,N,N,Y,Y
ENSG00000163110.15,transcript-rna-seq,10611,PDLIM5,ENSG00000163110,N,N,N,N,N
ENSG00000003402.21,transcript-rna-seq,8837,CFLAR,ENSG00000003402,N,N,N,Y,Y
ENSG00000155380.13,transcript-rna-seq,6566,SLC16A1,ENSG00000155380,N,Y,N,Y,Y
ENSG00000134864.11,transcript-rna-seq,87769,GGACT,ENSG00000134864,N,N,N,N,N
ENSG00000105497.8,transcript-rna-seq,7728,ZNF175,ENSG00000105497,N,N,N,N,N
ENSG00000188931.4,transcript-rna-seq,257177,CFAP126,ENSG00000188931,N,N,N,N,N
ENSG00000106993.12,transcript-rna-seq,55664,CDC37L1,ENSG00000106993,N,N,N,N,N
ENSG00000168612.5,transcript-rna-seq,90204,ZSWIM1,ENSG00000168612,N,N,N,N,N
ENSG00000106780.9,transcript-rna-seq,1955,MEGF9,ENSG00000106780,N,N,N,N,N
ENSG00000118960.13,transcript-rna-seq,64342,HS1BP3,ENSG00000118960,N,Y,N,Y,Y
ENSG00000140386.13,transcript-rna-seq,49855,SCAPER,ENSG00000140386,N,N,N,N,N
ENSG00000083312.19,transcript-rna-seq,3842,TNPO1,ENSG00000083312,Y,N,N,Y,Y
ENSG00000105383.15,transcript-rna-seq,945,CD33,ENSG00000105383,N,N,N,N,N
ENSG00000100726.15,transcript-rna-seq,9894,TELO2,ENSG00000100726,N,N,N,N,N
ENSG00000125107.19,transcript-rna-seq,23019,CNOT1,ENSG00000125107,Y,N,N,N,Y
ENSG00000101160.15,transcript-rna-seq,1522,CTSZ,ENSG00000101160,N,N,N,N,N
ENSG00000068697.7,transcript-rna-seq,9741,LAPTM4A,ENSG00000068697,N,N,N,N,N
ENSG00000184227.8,transcript-rna-seq,641371,ACOT1,ENSG00000184227,N,N,N,N,N
ENSG00000244165.2,transcript-rna-seq,5032,P2RY11,ENSG00000244165,N,N,N,N,N
ENSG00000182670.13,transcript-rna-seq,7267,TTC3,ENSG00000182670,Y,N,N,N,Y
ENSG00000054983.17,transcript-rna-seq,2581,GALC,ENSG00000054983,N,N,N,Y,Y
ENSG00000258315.5,transcript-rna-seq,124944,C17orf49,ENSG00000258315,N,N,N,N,N
ENSG00000173473.11,transcript-rna-seq,6599,SMARCC1,ENSG00000173473,N,N,N,N,N
ENSG00000140798.17,transcript-rna-seq,94160,ABCC12,ENSG00000140798,N,N,N,N,N
ENSG00000034713.8,transcript-rna-seq,11345,GABARAPL2,ENSG00000034713,Y,N,N,N,Y
ENSG00000104228.13,transcript-rna-seq,23087,TRIM35,ENSG00000104228,N,N,N,N,N
ENSG00000127527.14,transcript-rna-seq,58513,EPS15L1,ENSG00000127527,N,N,N,N,N
ENSG00000011028.14,transcript-rna-seq,9902,MRC2,ENSG00000011028,N,N,N,N,N
ENSG00000113811.12,transcript-rna-seq,58515,SELENOK,ENSG00000113811,N,N,N,N,N
ENSG00000135046.14,transcript-rna-seq,301,ANXA1,ENSG00000135046,N,N,N,Y,Y
ENSG00000142748.13,transcript-rna-seq,8547,FCN3,ENSG00000142748,N,N,N,N,N
ENSG00000270362.2,transcript-rna-seq,100288198,HMGN3-AS1,ENSG00000270362,N,N,N,N,N
ENSG00000117054.15,transcript-rna-seq,34,ACADM,ENSG00000117054,N,N,N,N,N
ENSG00000078403.17,transcript-rna-seq,8028,MLLT10,ENSG00000078403,N,N,N,Y,Y
ENSG00000198951.12,transcript-rna-seq,4668,NAGA,ENSG00000198951,N,N,N,N,N
ENSG00000070444.15,transcript-rna-seq,4335,MNT,ENSG00000070444,Y,N,N,N,Y
ENSG00000130176.8,transcript-rna-seq,1264,CNN1,ENSG00000130176,N,N,N,N,N
ENSG00000132846.6,transcript-rna-seq,84327,ZBED3,ENSG00000132846,N,N,N,N,N
ENSG00000104290.11,transcript-rna-seq,7976,FZD3,ENSG00000104290,N,N,N,N,N
ENSG00000140443.15,transcript-rna-seq,3480,IGF1R,ENSG00000140443,Y,Y,N,Y,Y
ENSG00000233276.8,transcript-rna-seq,2876,GPX1,ENSG00000233276,N,Y,N,Y,Y
ENSG00000110436.13,transcript-rna-seq,6506,SLC1A2,ENSG00000110436,N,N,N,N,N
ENSG00000241158.7,transcript-rna-seq,101929335,ADAMTS9-AS1,ENSG00000241158,N,N,N,N,N
ENSG00000157150.5,transcript-rna-seq,7079,TIMP4,ENSG00000157150,N,N,N,N,N
ENSG00000168961.17,transcript-rna-seq,3965,LGALS9,ENSG00000168961,N,N,N,N,N
ENSG00000081026.19,transcript-rna-seq,260425,MAGI3,ENSG00000081026,Y,N,N,Y,Y
ENSG00000164932.13,transcript-rna-seq,115908,CTHRC1,ENSG00000164932,N,N,N,N,N
ENSG00000167549.19,transcript-rna-seq,84940,CORO6,ENSG00000167549,N,N,N,N,N
