GeneSym,ZEB1
FAM155B,0
FAM156A,0
FAM156B,0
FAM157A,0
FAM157B,0
FAM159A,0
FAM159B,0
FAM160A1,1
FAM160A2,1
FAM160B1,0
FAM160B2,0
FAM161A,1
FAM161B,1
FAM162A,1
FAM162B,0
FAM163A,0
FAM163B,0
FAM166A,0
FAM166B,0
FAM167A,1
FAM167B,0
FAM168A,1
FAM168B,1
FAM169A,1
FAM169B,0
FAM170A,0
FAM170B,0
FAM171A1,0
FAM171A2,0
FAM171B,1
FAM172A,1
FAM172BP,1
FAM173A,1
FAM173B,1
FAM174A,0
FAM174B,1
FAM175A,0
FAM175B,1
FAM177A1,1
FAM177B,0
FAM178A,1
FAM178B,0
FAM179A,0
FAM179B,1
FAM180A,0
FAM180B,0
FAM181A,0
FAM181A-AS1,0
FAM181B,0
FAM182A,0
FAM182B,0
FAM183A,0
FAM183B,0
FAM184A,0
FAM184B,0
FAM185A,1
FAM186A,0
FAM186B,0
FAM187A,0
FAM187B,0
FAM188A,1
FAM188B,0
FAM189A1,0
FAM189A2,0
FAM189B,1
FAM192A,1
FAM193A,0
FAM193B,1
FAM195A,1
FAM195B,1
FAM196A,0
FAM196B,0
FAM197Y2,0
FAM198A,0
FAM198B,0
FAM199X,1
FAM19A1,0
FAM19A2,0
FAM19A3,0
FAM19A4,0
FAM19A5,0
FAM200A,0
FAM200B,1
FAM201A,1
FAM204A,1
FAM205A,0
FAM205B,0
FAM206A,1
FAM207A,1
FAM208A,1
FAM208B,1
FAM209A,0
FAM209B,0
FAM20A,0
FAM20B,1
FAM20C,0
FAM210A,0
FAM210B,1
FAM212A,0
FAM212B,1
FAM213A,1
FAM213B,0
FAM214A,1
FAM214B,1
FAM215A,1
FAM216A,1
FAM216B,0
FAM217A,0
FAM217B,0
FAM218A,1
FAM219A,0
FAM219B,0
FAM21A,1
FAM21C,1
FAM220A,1
FAM221A,1
FAM221B,0
FAM222A,0
FAM222B,0
FAM223A,0
FAM223B,0
FAM224A,0
FAM224B,0
FAM225A,0
FAM225B,0
FAM226A,0
FAM226B,0
FAM227A,0
FAM227B,1
FAM228A,0
FAM228B,0
FAM229A,0
FAM229B,1
FAM24A,0
FAM24B,1
FAM24B-CUZD1,1
FAM25A,0
FAM25C,0
FAM25G,0
FAM26D,0
FAM26E,0
FAM26F,0
FAM27B,0
FAM27C,0
FAM27L,0
FAM32A,0
FAM35A,1
FAM35BP,0
FAM35DP,0
FAM3A,1
FAM3B,0
FAM3C,1
FAM3D,0
FAM41C,0
FAM43A,0
FAM43B,0
FAM45A,0
FAM45B,0
FAM46A,1
FAM46B,0
FAM46C,1
FAM46D,0
FAM47A,0
FAM47B,0
FAM47C,0
FAM47E,0
FAM47E-STBD1,0
FAM49A,0
FAM49B,1
FAM50A,0
FAM50B,1
FAM53A,1
FAM53B,0
FAM53C,1
FAM57A,1
FAM57B,0
FAM58A,0
FAM58BP,0
FAM60A,1
FAM63A,1
FAM63B,1
FAM64A,1
FAM65A,0
FAM65B,1
FAM65C,0
FAM66A,0
FAM66B,0
FAM66C,0
FAM66D,0
FAM66E,0
FAM69A,1
FAM69B,0
FAM69C,0
FAM71A,0
FAM71B,0
FAM71C,0
FAM71D,0
FAM71E1,1
FAM71E2,0
FAM71F1,0
FAM71F2,0
FAM72A,0
FAM72B,0
FAM72D,0
FAM73A,1
FAM73B,1
FAM74A1,0
FAM74A3,0
FAM74A4,0
FAM76A,0
FAM76B,1
FAM78A,1
FAM78B,0
FAM81A,1
FAM81B,0
FAM83A,0
FAM83B,0
FAM83C,0
FAM83D,0
FAM83E,1
FAM83F,1
FAM83G,1
FAM83H,1
FAM84A,0
FAM84B,1
FAM86A,0
FAM86B1,0
FAM86B2,0
FAM86C1,0
FAM86C2P,0
FAM86DP,1
FAM86EP,1
FAM86FP,1
FAM86HP,0
FAM89A,1
FAM89B,0
FAM8A1,1
FAM90A1,1
FAM90A10P,0
FAM90A14P,0
FAM90A18P,0
FAM90A19P,0
FAM90A20P,0
FAM90A25P,0
FAM90A7P,0
FAM90A8P,0
FAM90A9P,0
FAM91A1,1
FAM92A1,0
FAM92A1P2,0
FAM92B,0
FAM95B1,0
FAM96A,0
FAM96B,1
FAM98A,0
FAM98B,1
FAM98C,1
FAM99A,0
FAM99B,0
FAM9A,0
FAM9B,0
FAM9C,0
FAN1,1
FANCA,1
FANCB,0
FANCC,1
FANCD2,1
FANCD2OS,0
FANCE,1
FANCF,1
FANCG,0
FANCI,1
FANCL,1
FANCM,0
FANK1,1
FAP,0
FAR1,1
FAR2,0
FARP1,1
FARP2,0
FARS2,1
FARSA,1
FARSB,0
FAS,1
FAS-AS1,0
FASLG,0
FASN,1
FASTK,1
FASTKD1,0
FASTKD2,0
FASTKD3,1
FASTKD5,1
FAT1,0
FAT2,0
FAT3,0
FAT4,0
FATE1,0
FAU,1
FAXC,1
FAXDC2,0
FBF1,1
FBL,1
FBLIM1,0
FBLL1,0
FBLN1,0
FBLN2,0
FBLN5,0
FBLN7,0
FBN1,1
FBN2,0
FBN3,0
FBP1,1
FBP2,0
FBRS,0
FBRSL1,1
FBXL12,1
FBXL13,1
FBXL14,1
FBXL15,1
FBXL16,0
FBXL17,1
FBXL18,1
FBXL19,1
FBXL19-AS1,1
FBXL2,1
FBXL20,0
FBXL21,1
FBXL22,0
FBXL3,1
FBXL4,0
FBXL5,1
FBXL6,1
FBXL7,0
FBXL8,1
FBXO10,1
FBXO11,1
FBXO15,1
FBXO16,1
FBXO17,1
FBXO18,1
FBXO2,0
FBXO21,1
FBXO22,1
FBXO22-AS1,0
FBXO24,1
FBXO25,1
FBXO27,1
FBXO28,1
FBXO3,1
FBXO30,0
FBXO31,1
FBXO32,0
FBXO33,1
FBXO34,1
FBXO36,1
FBXO38,1
FBXO39,0
FBXO4,1
FBXO40,0
FBXO41,0
FBXO42,1
FBXO43,1
FBXO44,0
FBXO45,1
FBXO46,1
FBXO47,0
FBXO48,0
FBXO5,1
FBXO6,1
FBXO7,1
FBXO8,0
FBXO9,0
FBXW10,0
FBXW11,1
FBXW12,0
FBXW2,1
FBXW4,1
FBXW4P1,0
FBXW5,1
FBXW7,0
FBXW8,1
FBXW9,1
FCAMR,0
FCAR,0
FCER1A,0
FCER1G,0
FCER2,1
FCF1,0
FCGBP,0
FCGR1A,0
FCGR1B,0
FCGR1C,0
FCGR2A,0
FCGR2B,0
FCGR2C,0
FCGR3A,0
FCGR3B,0
FCGRT,0
FCHO1,1
FCHO2,0
FCHSD1,1
FCHSD2,1
FCN1,0
FCN2,0
FCN3,0
FCRL1,0
FCRL2,0
FCRL3,0
FCRL4,0
FCRL5,0
FCRL6,0
FCRLA,0
FCRLB,0
FDCSP,0
FDFT1,1
FDPS,0
FDPSP2,0
FDX1,1
FDX1L,1
FDXACB1,1
FDXR,1
FECH,1
FEM1A,1
FEM1B,1
FEM1C,0
FEN1,1
FER,1
FER1L4,0
FER1L5,0
FER1L6,0
FER1L6-AS1,0
FERD3L,0
FERMT1,0
FERMT2,0
FERMT3,1
FES,1
FETUB,0
FEV,0
FEZ1,0
FEZ2,0
FEZF1,0
FEZF2,0
FFAR1,1
FFAR2,0
FFAR3,0
FFAR4,0
FGA,1
FGB,0
FGD1,0
FGD2,1
FGD3,0
FGD4,0
FGD5,0
FGD6,1
FGF1,0
FGF10,0
FGF11,1
FGF12,0
FGF13,0
FGF14,0
FGF14-IT1,1
FGF16,0
FGF17,1
FGF18,0
FGF19,1
FGF2,0
FGF20,0
FGF21,0
FGF22,0
FGF23,0
FGF3,0
FGF4,0
FGF5,0
FGF6,0
FGF7,0
FGF8,1
FGF9,1
FGFBP1,0
FGFBP2,0
FGFBP3,1
FGFR1,0
FGFR1OP,1
FGFR1OP2,1
FGFR2,0
FGFR3,0
FGFR4,1
FGFRL1,1
FGG,0
FGGY,0
FGL1,0
FGL2,0
FGR,0
FH,1
FHAD1,0
FHDC1,0
FHIT,1
FHL1,0
FHL2,0
FHL3,0
FHL5,0
FHOD1,1
FHOD3,0
FIBCD1,0
FIBIN,0
FIBP,1
FICD,0
FIG4,1
FIGF,0
FIGLA,0
FIGN,0
FIGNL1,1
FIGNL2,0
FILIP1,0
FILIP1L,0
FIP1L1,1
FIS1,1
FITM1,0
FITM2,1
FIZ1,1
FJX1,0
FKBP10,1
FKBP11,1
FKBP14,1
FKBP15,0
FKBP1A,1
FKBP1A-SDCBP2,1
FKBP1AP1,0
FKBP1B,0
FKBP2,1
FKBP3,0
FKBP4,1
FKBP5,1
FKBP6,0
FKBP7,1
FKBP8,0
FKBP9,0
FKBP9P1,0
FKBPL,1
FKRP,1
FKSG29,0
FKTN,1
FLAD1,1
FLCN,1
FLG,0
FLG2,0
FLI1,0
FLII,1
FLJ10038,1
FLJ12825,0
FLJ13224,1
FLJ16779,0
FLJ20021,1
FLJ21408,1
FLJ22184,0
FLJ22447,1
FLJ22763,0
FLJ23867,0
FLJ25758,0
FLJ26245,0
FLJ26850,0
FLJ27354,1
FLJ30679,1
FLJ31306,1
FLJ31662,0
FLJ33360,0
FLJ33534,0
FLJ33581,0
FLJ34503,0
FLJ36000,0
FLJ36777,0
FLJ37035,1
FLJ37201,0
FLJ37453,1
FLJ37505,0
FLJ39080,0
FLJ40194,0
FLJ41278,0
FLJ41941,0
FLJ42102,1
FLJ42351,1
FLJ42393,0
FLJ42627,0
FLJ42969,0
FLJ43681,0
FLJ43879,0
FLJ44511,0
FLJ44635,0
FLJ45079,0
FLJ45513,0
FLJ46066,0
FLJ46906,1
FLNA,1
FLNB,1
FLNC,0
FLOT1,0
FLOT2,1
FLRT1,0
FLRT2,0
FLRT3,0
FLT1,0
FLT3,1
FLT3LG,1
FLT4,0
FLVCR1,1
FLVCR1-AS1,1
FLVCR2,0
FLYWCH1,1
FLYWCH2,1
FMN1,0
FMN2,0
FMNL1,1
FMNL2,1
FMNL3,1
FMO1,0
FMO2,0
FMO3,0
FMO4,0
FMO5,0
FMO6P,0
FMO9P,0
FMOD,0
FMR1,0
FMR1-AS1,0
FMR1NB,0
FN1,0
FN3K,0
FN3KRP,1
FNBP1,1
FNBP1L,1
FNBP4,0
FNDC1,0
FNDC3A,1
FNDC3B,0
FNDC4,0
FNDC5,0
FNDC7,0
FNDC8,1
FNDC9,0
FNIP1,1
FNIP2,0
FNTA,1
FNTB,1
FOCAD,0
FOLH1,0
FOLH1B,0
FOLR1,0
FOLR2,0
FOLR3,0
FOLR4,0
FOPNL,0
FOS,0
FOSB,0
FOSL1,1
FOSL2,1
FOXA1,0
FOXA2,0
FOXA3,1
FOXB1,0
FOXB2,0
FOXC1,0
FOXC2,0
FOXD1,0
FOXD2,1
FOXD3,0
FOXD4,0
FOXD4L1,0
FOXD4L3,0
FOXD4L4,0
FOXD4L5,0
FOXD4L6,0
FOXE1,0
FOXE3,0
FOXF1,0
FOXF2,0
FOXG1,0
FOXH1,1
FOXI1,0
FOXI2,0
FOXI3,0
FOXJ1,0
FOXJ2,1
FOXJ3,1
FOXK1,0
FOXK2,1
FOXL1,0
FOXL2,0
FOXL2NB,0
FOXM1,0
FOXN1,0
FOXN2,1
FOXN3,0
FOXN4,0
FOXO1,1
FOXO3,1
FOXO3B,0
FOXO4,0
FOXO6,0
FOXP1,0
FOXP2,0
FOXP3,0
FOXP4,0
FOXQ1,0
FOXR1,0
FOXR2,0
FOXRED1,1
FOXRED2,1
FOXS1,0
FPGS,1
FPGT,0
FPGT-TNNI3K,0
FPR1,0
FPR2,0
FPR3,0
FRA10AC1,1
FRAS1,0
FRAT1,0
FRAT2,0
FREM1,0
FREM2,0
FREM3,0
FRG1,1
FRG1B,0
FRG2,0
FRG2B,0
FRG2C,0
FRK,0
FRMD1,0
FRMD3,0
FRMD4A,0
FRMD4B,0
FRMD5,1
FRMD6,0
FRMD6-AS1,1
FRMD7,0
FRMD8,1
FRMD8P1,0
FRMPD1,1
FRMPD2,0
FRMPD4,0
FRRS1,0
FRRS1L,0
FRS2,1
FRS3,1
FRY,1
FRYL,1
FRZB,0
FSBP,0
FSCB,0
FSCN1,1
FSCN2,0
FSCN3,0
FSD1,0
FSD1L,1
FSD2,0
FSHB,0
FSHR,0
FSIP1,1
FSIP2,1
FST,0
FSTL1,0
FSTL3,1
FSTL4,0
FSTL5,0
FTCD,0
FTCDNL1,0
FTH1,1
FTH1P3,0
FTHL17,0
FTL,0
FTLP10,0
FTMT,0
FTO,1
FTSJ1,1
FTSJ2,1
FTSJ3,0
FTX,0
FUBP1,0
FUBP3,1
FUCA1,1
FUCA2,0
FUK,1
FUNDC1,0
FUNDC2,0
FUNDC2P2,0
FUOM,0
FURIN,0
FUS,1
FUT1,0
FUT10,1
FUT11,1
FUT2,1
FUT3,0
FUT4,1
FUT5,1
FUT6,1
FUT7,0
FUT8,0
FUT9,0
FUZ,0
FXN,1
FXR1,1
FXR2,1
FXYD1,0
FXYD2,0
FXYD3,0
FXYD4,0
FXYD5,1
FXYD6,0
FXYD6-FXYD2,0
FXYD7,0
FYB,0
FYCO1,1
FYN,1
FYTTD1,1
FZD1,1
FZD10,0
FZD2,0
FZD3,1
FZD4,0
FZD5,1
FZD6,1
FZD7,0
FZD8,1
FZD9,0
FZR1,1
G0S2,0
G2E3,1
G3BP1,1
G3BP2,1
G6PC,0
G6PC2,0
G6PC3,1
G6PD,0
GAA,1
GAB1,0
GAB2,1
GAB3,0
GAB4,0
GABARAP,0
GABARAPL1,1
GABARAPL2,0
GABARAPL3,0
GABBR1,0
GABBR2,0
GABPA,1
GABPB1,1
GABPB2,1
GABRA1,0
GABRA2,0
GABRA3,0
GABRA4,0
GABRA5,0
GABRA6,0
GABRB1,0
GABRB2,0
GABRB3,0
GABRD,0
GABRE,0
GABRG1,0
GABRG2,0
GABRG3,0
GABRP,0
GABRQ,0
GABRR1,0
GABRR2,0
GABRR3,0
GAD1,1
GAD2,0
GADD45A,1
GADD45B,1
GADD45G,0
GADD45GIP1,0
GADL1,0
GAGE1,0
GAGE10,0
GAGE12B,0
GAGE12C,0
GAGE12D,0
GAGE12E,0
GAGE12F,0
GAGE12G,0
GAGE12H,0
GAGE12I,0
GAGE12J,0
GAGE13,0
GAGE2A,0
GAGE2B,0
GAGE2C,0
GAGE2D,0
GAGE2E,0
GAGE4,0
GAGE5,0
GAGE6,0
GAGE7,0
GAGE8,0
GAK,0
GAL,0
GAL3ST1,0
GAL3ST2,0
GAL3ST3,0
GAL3ST4,0
GALC,1
GALE,1
GALK1,1
GALK2,0
GALM,0
GALNS,1
GALNT1,0
GALNT10,0
GALNT11,0
GALNT12,1
GALNT13,0
GALNT14,0
GALNT15,0
GALNT16,1
GALNT18,1
GALNT2,1
GALNT3,1
GALNT4,1
GALNT5,0
GALNT6,1
GALNT7,1
GALNT8,0
GALNT9,0
GALNTL5,0
GALNTL6,0
GALP,0
GALR1,0
GALR2,0
GALR3,0
GALT,1
GAMT,1
GAN,1
GANAB,0
GANC,1
GAP43,0
GAPDH,1
GAPDHS,0
GAPT,0
GAPVD1,1
GAR1,0
GAREM,0
GAREML,0
GARNL3,0
GARS,1
GART,1
GAS1,1
GAS2,0
GAS2L1,0
GAS2L2,0
GAS2L3,1
GAS5,1
GAS6,0
GAS7,0
GAS8,0
GAST,0
GATA1,0
GATA2,0
GATA3,1
GATA4,0
GATA5,0
GATA6,0
GATAD1,1
GATAD2A,0
GATAD2B,1
GATB,1
GATC,1
GATM,1
GATS,0
GATSL2,0
GATSL3,1
GBA,1
GBA2,1
GBA3,0
GBAP1,1
GBAS,1
GBE1,1
GBF1,0
GBGT1,0
GBP1,0
GBP1P1,0
GBP2,0
GBP3,0
GBP4,0
GBP5,0
GBP6,0
GBP7,0
GBX1,0
GBX2,0
GC,0
GCA,1
GCAT,0
GCC1,0
GCC2,1
GCDH,1
GCFC2,1
GCG,0
GCGR,0
GCH1,1
GCHFR,1
GCK,0
GCKR,0
GCLC,1
GCLM,1
GCM1,0
GCM2,0
GCN1L1,1
GCNT1,0
GCNT2,0
GCNT3,0
GCNT4,0
GCNT7,0
GCOM1,0
GCSAM,1
GCSAML,0
GCSH,0
GDA,0
GDAP1,1
GDAP1L1,0
GDAP2,1
GDE1,1
GDF1,0
GDF10,0
GDF11,0
GDF15,0
GDF2,0
GDF3,0
GDF5,0
GDF6,0
GDF7,0
GDF9,1
GDI1,0
GDI2,1
GDNF,0
GDPD1,0
GDPD2,0
GDPD3,0
GDPD4,0
GDPD5,1
GDPGP1,1
GEM,0
GEMIN2,0
GEMIN4,1
GEMIN5,1
GEMIN6,0
GEMIN7,1
GEMIN8,0
GEMIN8P4,1
GEN1,1
GET4,1
GFAP,0
GFER,1
GFI1,1
GFI1B,0
GFM1,1
GFM2,1
GFOD1,1
GFOD2,1
GFPT1,1
GFPT2,0
GFRA1,0
GFRA2,0
GFRA3,1
GFRA4,0
GFRAL,0
GFY,0
GGA1,1
GGA2,1
GGA3,1
GGACT,1
GGCT,1
GGCX,1
GGH,0
GGN,0
GGNBP1,0
GGNBP2,1
GGPS1,1
GGT1,0
GGT3P,0
GGT5,0
GGT6,0
GGT7,0
GGT8P,0
GGTA1P,1
GGTLC1,0
GGTLC2,0
GH1,0
GH2,0
GHDC,0
GHITM,1
GHR,0
GHRH,0
GHRHR,0
GHRL,1
GHRLOS,0
GHSR,0
GID4,1
GID8,1
GIF,0
GIGYF1,0
GIGYF2,1
GIMAP1,0
GIMAP1-GIMAP5,0
GIMAP2,0
GIMAP3P,0
GIMAP4,0
GIMAP5,0
GIMAP6,0
GIMAP7,0
GIMAP8,1
GIMD1,0
GIN1,1
GINM1,1
GINS1,1
GINS2,1
GINS3,1
GINS4,1
GIP,0
GIPC1,0
GIPC2,1
GIPC3,0
GIPR,1
GIT1,0
GIT2,1
GJA1,0
GJA10,0
GJA3,1
GJA4,0
GJA5,0
GJA8,0
GJA9,0
GJA9-MYCBP,0
GJB1,1
GJB2,1
GJB3,0
GJB4,0
GJB5,0
GJB6,0
GJB7,0
GJC1,0
GJC2,0
GJC3,0
GJD2,0
GJD3,0
GJD4,0
GJE1,0
GK,0
GK2,0
GK3P,0
GK5,1
GKAP1,0
GKN1,0
GKN2,0
GLA,0
GLB1,1
GLB1L,1
GLB1L2,1
GLB1L3,0
GLCCI1,1
GLCE,1
GLDC,1
GLDN,0
GLE1,0
GLG1,1
GLI1,1
GLI2,0
GLI3,0
GLI4,1
GLIPR1,0
GLIPR1L1,1
GLIPR1L2,0
GLIPR2,0
GLIS1,0
GLIS2,0
GLIS3,0
GLIS3-AS1,0
GLMN,1
GLO1,0
GLOD4,1
GLOD5,1
GLP1R,0
GLP2R,0
GLRA1,0
GLRA2,0
GLRA3,0
GLRA4,0
GLRB,0
GLRX,0
GLRX2,0
GLRX3,0
GLRX5,0
GLS,0
GLS2,1
GLT1D1,0
GLT6D1,0
GLT8D1,1
GLT8D2,0
GLTP,1
GLTPD2,1
GLTSCR1,1
GLTSCR1L,0
GLTSCR2,1
GLUD1,1
GLUD2,0
GLUL,1
GLYAT,0
GLYATL1,0
GLYATL2,0
GLYATL3,0
GLYCAM1,0
GLYCTK,1
GLYR1,1
GM2A,1
GMCL1,1
GMCL1P1,0
GMDS,1
GMEB1,0
GMEB2,1
GMFB,1
GMFG,0
GMIP,1
GML,0
GMNC,0
GMNN,1
GMPPA,1
GMPPB,1
GMPR,0
GMPR2,1
GMPS,0
GNA11,0
GNA12,1
GNA13,0
GNA14,0
GNA15,1
GNAI1,0
GNAI2,1
GNAI3,1
GNAL,0
GNAO1,0
GNAQ,0
GNAS,0
GNAS-AS1,0
GNAT1,1
GNAT2,0
GNAT3,0
GNAZ,0
GNB1,1
GNB1L,1
GNB2,0
GNB2L1,0
GNB3,0
GNB4,0
GNB5,0
GNE,0
GNG10,1
GNG11,0
GNG12,0
GNG13,0
GNG2,0
GNG3,1
GNG4,0
GNG5,1
GNG7,1
GNG8,1
GNGT1,0
GNGT2,1
GNL1,0
GNL2,0
GNL3,1
GNL3L,0
GNLY,0
GNMT,1
GNN,1
GNPAT,0
GNPDA1,0
GNPDA2,0
GNPNAT1,1
GNPTAB,1
GNPTG,1
GNRH1,0
GNRH2,0
GNRHR,0
GNRHR2,1
GNS,1
GOLGA1,1
GOLGA2,1
GOLGA2P2Y,0
GOLGA2P3Y,0
GOLGA2P5,0
GOLGA3,1
GOLGA4,1
GOLGA5,1
GOLGA6A,0
GOLGA6B,0
GOLGA6C,0
GOLGA6D,0
GOLGA6L1,0
GOLGA6L10,0
GOLGA6L5P,0
GOLGA6L6,0
GOLGA6L9,0
GOLGA7,0
GOLGA7B,0
GOLGA8A,1
GOLGA8B,1
GOLGA8CP,0
GOLGA8DP,0
GOLGA8EP,0
GOLGA8F,0
GOLGA8G,0
GOLGA8I,0
GOLGB1,1
GOLIM4,0
GOLM1,0
GOLPH3,1
GOLPH3L,0
GOLT1A,1
GOLT1B,0
GON4L,0
GOPC,0
GORAB,1
GORASP1,1
GORASP2,1
GOSR1,1
GOSR2,1
GOT1,1
GOT1L1,0
GOT2,1
GP1BA,1
GP1BB,0
GP2,0
GP5,0
GP6,0
GP9,0
GPA33,0
GPAA1,1
GPALPP1,1
GPAM,1
GPANK1,0
GPAT2,0
GPATCH1,1
GPATCH11,1
GPATCH2,0
GPATCH2L,0
GPATCH3,1
GPATCH4,0
GPATCH8,0
GPBAR1,0
GPBP1,1
GPBP1L1,1
GPC1,0
GPC2,0
GPC3,0
GPC4,0
GPC5,0
GPC6,0
GPCPD1,0
GPD1,0
GPD1L,1
GPD2,0
GPER1,1
GPHA2,0
GPHB5,0
GPHN,1
GPI,1
GPIHBP1,0
GPKOW,0
GPLD1,0
GPM6A,0
GPM6B,0
GPN1,1
GPN2,1
GPN3,1
GPNMB,0
GPR1,0
GPR101,0
GPR107,1
GPR108,1
GPR110,0
GPR111,0
GPR112,0
GPR113,1
GPR114,1
GPR115,0
GPR116,0
GPR119,1
GPR12,0
GPR123,0
GPR124,1
GPR125,0
GPR126,0
GPR128,0
GPR132,1
GPR133,1
GPR135,1
GPR137,1
GPR137B,1
GPR137C,1
GPR139,0
GPR141,0
GPR142,1
GPR143,0
GPR144,0
GPR146,0
GPR148,0
GPR149,0
GPR15,0
GPR150,1
GPR151,0
GPR152,0
GPR153,0
GPR155,0
GPR156,0
GPR157,1
GPR158,0
GPR160,1
GPR161,0
GPR162,0
GPR17,0
GPR171,0
GPR173,0
GPR174,0
GPR176,0
GPR179,0
GPR18,0
GPR180,1
GPR182,0
GPR183,0
GPR19,0
GPR20,0
GPR21,0
GPR22,0
GPR25,0
GPR26,0
GPR27,0
GPR3,1
GPR31,0
GPR32,0
GPR33,0
GPR34,0
GPR35,0
GPR37,0
GPR37L1,0
GPR39,0
GPR4,0
GPR45,0
GPR50,0
GPR52,0
GPR55,1
GPR56,1
GPR6,0
GPR61,0
GPR62,0
GPR63,1
GPR64,0
GPR65,0
GPR68,0
GPR75,0
GPR75-ASB3,0
GPR78,0
GPR82,0
GPR83,0
GPR84,0
GPR85,0
GPR87,0
GPR88,0
GPR89A,1
GPR89B,1
GPR97,0
GPR98,1
GPRASP1,0
GPRASP2,0
GPRC5A,0
GPRC5B,1
GPRC5C,1
GPRC5D,0
GPRC6A,0
GPRIN1,0
GPRIN2,0
GPRIN3,0
GPS1,1
GPS2,1
GPSM1,0
GPSM2,1
GPSM3,0
GPT,0
GPT2,1
GPX1,1
GPX2,1
GPX3,0
GPX4,1
GPX5,0
GPX6,0
GPX7,0
GPX8,0
GRAMD1A,1
GRAMD1B,0
GRAMD1C,1
GRAMD2,0
GRAMD3,0
GRAMD4,0
GRAP,0
GRAP2,0
GRAPL,0
GRASP,0
GRB10,0
GRB14,1
GRB2,1
GRB7,1
GREB1,0
GREB1L,0
GREM1,0
GREM2,0
GRHL1,1
GRHL2,1
GRHL3,1
GRHPR,0
GRIA1,0
GRIA2,0
GRIA3,0
GRIA4,0
GRID1,0
GRID2,0
GRID2IP,0
GRIFIN,0
GRIK1,0
GRIK1-AS1,0
GRIK1-AS2,0
GRIK2,0
GRIK3,0
GRIK4,0
GRIK5,0
GRIN1,0
GRIN2A,0
GRIN2B,0
GRIN2C,0
GRIN2D,0
GRIN3A,0
GRIN3B,1
GRINA,1
GRIP1,0
GRIP2,0
GRIPAP1,0
GRK1,1
GRK4,1
GRK5,1
GRK6,1
GRK7,0
GRM1,0
GRM2,0
GRM3,0
GRM4,0
GRM5,0
GRM6,0
GRM7,0
GRM8,0
GRN,1
GRP,0
GRPEL1,1
GRPEL2,1
GRPR,0
GRSF1,1
GRTP1,1
GRWD1,1
GRXCR1,0
GRXCR2,0
GSAP,1
GSC,0
GSC2,0
GSDMA,0
GSDMB,0
GSDMC,0
GSDMD,1
GSE1,1
GSG1,0
GSG1L,0
GSG2,1
GSK3A,1
GSK3B,1
GSKIP,0
GSN,1
GSPT1,1
GSPT2,0
GSR,1
GSS,1
GSTA1,0
GSTA2,0
GSTA3,0
GSTA4,0
GSTA5,0
GSTA7P,0
GSTCD,1
GSTK1,1
GSTM1,0
GSTM2,0
GSTM2P1,0
GSTM3,0
GSTM4,0
GSTM5,0
GSTO1,1
GSTO2,1
GSTP1,1
GSTT1,0
GSTT2,0
GSTT2B,0
GSTTP1,0
GSTTP2,0
GSTZ1,1
GSX1,0
GSX2,0
GTDC1,1
GTF2A1,1
GTF2A1L,0
GTF2A2,1
GTF2B,1
GTF2E1,1
GTF2E2,1
GTF2F1,0
GTF2F2,1
GTF2H1,1
GTF2H2,0
GTF2H2B,0
GTF2H2C,0
GTF2H2C_2,0
GTF2H3,1
GTF2H4,0
GTF2H5,1
GTF2I,1
GTF2IP1,0
GTF2IRD1,1
GTF2IRD2,0
GTF2IRD2B,0
GTF2IRD2P1,0
GTF3A,1
GTF3C1,0
GTF3C2,1
GTF3C3,1
GTF3C4,1
GTF3C5,1
GTF3C6,1
GTPBP1,0
GTPBP10,1
GTPBP2,1
GTPBP3,1
GTPBP4,1
GTPBP6,0
GTPBP8,1
GTSE1,1
GTSE1-AS1,1
GTSF1,0
GTSF1L,0
GUCA1A,0
GUCA1B,0
GUCA1C,0
GUCA2A,0
GUCA2B,0
GUCD1,1
GUCY1A2,0
GUCY1A3,0
GUCY1B2,0
GUCY1B3,0
GUCY2C,0
GUCY2D,0
GUCY2EP,0
GUCY2F,0
GUCY2GP,0
GUF1,0
GUK1,1
GULOP,0
GULP1,0
GUSB,1
GUSBP1,1
GUSBP10,0
GUSBP11,1
GUSBP2,1
GUSBP3,0
GUSBP4,0
GUSBP5,1
GUSBP9,0
GVINP1,0
GXYLT1,1
GXYLT2,0
GYG1,0
GYG2,0
GYG2P1,0
GYLTL1B,1
GYPA,0
GYPB,0
GYPC,1
GYPE,0
GYS1,1
GYS2,0
GZF1,0
GZMA,0
GZMB,0
GZMH,0
GZMK,0
GZMM,0
H19,0
H1F0,0
H1FNT,0
H1FOO,0
H1FX,1
H1FX-AS1,1
H2AFB1,0
H2AFB2,0
H2AFB3,0
H2AFJ,1
H2AFV,1
H2AFX,1
H2AFY,1
H2AFY2,0
H2AFZ,1
H2BFM,0
H2BFWT,0
H2BFXP,0
H3F3A,0
H3F3AP4,0
H3F3B,1
H3F3C,0
H6PD,1
HAAO,0
HABP2,0
HABP4,0
HACE1,1
HACL1,1
HADH,1
HADHA,1
HADHB,1
HAGH,1
HAGHL,0
HAL,0
HAMP,0
HAND1,0
HAND2,0
HAND2-AS1,0
HAO1,0
HAO2,0
HAP1,0
HAPLN1,0
HAPLN2,0
HAPLN3,1
HAPLN4,0
HAR1A,0
HAR1B,0
HARBI1,1
HARS,1
HARS2,1
HAS1,0
HAS2,0
HAS2-AS1,0
HAS3,0
HAT1,0
HAUS1,0
HAUS2,1
HAUS3,0
HAUS4,0
HAUS5,1
HAUS6,0
