GeneSym,NFIC
DLG3,0
DLG4,1
DLG5,1
DLGAP1,0
DLGAP2,0
DLGAP3,0
DLGAP4,0
DLGAP5,1
DLK1,0
DLK2,1
DLL1,0
DLL3,0
DLL4,1
DLST,1
DLX1,0
DLX2,1
DLX3,1
DLX4,1
DLX5,1
DLX6,1
DLX6-AS1,0
DMAP1,1
DMBT1,0
DMBX1,0
DMC1,0
DMD,0
DMGDH,1
DMKN,0
DMP1,0
DMPK,1
DMRT1,0
DMRT2,1
DMRT3,0
DMRTA1,0
DMRTA2,0
DMRTB1,0
DMRTC1,0
DMRTC1B,0
DMRTC2,0
DMTF1,1
DMTN,1
DMWD,1
DMXL1,1
DMXL2,1
DNA2,1
DNAAF1,1
DNAAF2,1
DNAAF3,1
DNAH1,0
DNAH10,1
DNAH11,0
DNAH12,0
DNAH14,1
DNAH17,0
DNAH2,0
DNAH3,0
DNAH5,0
DNAH6,0
DNAH7,1
DNAH8,1
DNAH9,0
DNAI1,1
DNAI2,0
DNAJA1,1
DNAJA1P5,0
DNAJA2,1
DNAJA3,1
DNAJA4,0
DNAJB1,1
DNAJB11,1
DNAJB12,1
DNAJB13,0
DNAJB14,1
DNAJB2,1
DNAJB3,1
DNAJB4,1
DNAJB5,1
DNAJB6,1
DNAJB7,0
DNAJB8,0
DNAJB8-AS1,0
DNAJB9,1
DNAJC1,1
DNAJC10,1
DNAJC11,1
DNAJC12,1
DNAJC13,1
DNAJC14,1
DNAJC15,1
DNAJC16,1
DNAJC17,1
DNAJC18,1
DNAJC19,1
DNAJC2,1
DNAJC21,1
DNAJC22,1
DNAJC24,1
DNAJC25,1
DNAJC25-GNG10,1
DNAJC27,1
DNAJC27-AS1,1
DNAJC28,1
DNAJC3,1
DNAJC30,1
DNAJC4,1
DNAJC5,1
DNAJC5B,1
DNAJC5G,0
DNAJC6,0
DNAJC7,1
DNAJC8,1
DNAJC9,1
DNAJC9-AS1,1
DNAL1,1
DNAL4,1
DNALI1,0
DNASE1,1
DNASE1L1,1
DNASE1L2,0
DNASE1L3,1
DNASE2,1
DNASE2B,0
DND1,0
DNER,1
DNHD1,0
DNLZ,1
DNM1,1
DNM1L,1
DNM1P35,0
DNM1P41,0
DNM1P46,0
DNM2,1
DNM3,1
DNM3OS,1
DNMBP,0
DNMBP-AS1,1
DNMT1,1
DNMT3A,1
DNMT3B,1
DNMT3L,0
DNPEP,1
DNPH1,1
DNTT,0
DNTTIP1,1
DNTTIP2,1
DOC2A,1
DOC2B,0
DOC2GP,1
DOCK1,0
DOCK10,1
DOCK11,0
DOCK2,1
DOCK3,0
DOCK4,1
DOCK5,1
DOCK6,0
DOCK7,1
DOCK8,1
DOCK9,1
DOHH,1
DOK1,1
DOK2,1
DOK3,1
DOK4,0
DOK5,0
DOK6,0
DOK7,1
DOLK,1
DOLPP1,0
DONSON,1
DOPEY1,1
DOPEY2,0
DOT1L,1
DPAGT1,1
DPCD,1
DPCR1,1
DPEP1,0
DPEP2,0
DPEP3,0
DPF1,0
DPF2,1
DPF3,1
DPH1,1
DPH2,1
DPH3,1
DPH3P1,0
DPH5,1
DPH6,1
DPH7,1
DPM1,1
DPM2,1
DPM3,1
DPP10,0
DPP3,1
DPP4,1
DPP6,0
DPP7,1
DPP8,1
DPP9,1
DPPA2,0
DPPA3,0
DPPA4,0
DPPA5,0
DPRX,0
DPRXP4,0
DPT,1
DPY19L1,1
DPY19L1P1,0
DPY19L2,0
DPY19L2P1,0
DPY19L2P2,1
DPY19L2P3,0
DPY19L2P4,0
DPY19L3,1
DPY19L4,1
DPY30,1
DPYD,1
DPYS,0
DPYSL2,0
DPYSL3,0
DPYSL4,1
DPYSL5,0
DQX1,1
DR1,1
DRAM1,1
DRAM2,1
DRAP1,1
DRAXIN,1
DRC1,0
DRD1,0
DRD2,0
DRD3,0
DRD4,0
DRD5,0
DRG1,1
DRG2,1
DRGX,0
DRICH1,0
DROSHA,1
DRP2,0
DSC1,0
DSC2,1
DSC3,0
DSCAM,0
DSCAM-AS1,0
DSCAML1,0
DSCC1,1
DSCR10,0
DSCR3,1
DSCR4,0
DSCR8,0
DSCR9,1
DSE,1
DSEL,0
DSG1,0
DSG2,1
DSG3,0
DSG4,0
DSN1,1
DSP,1
DSPP,0
DST,1
DSTN,1
DSTNP2,0
DSTYK,1
DTD1,1
DTD2,1
DTHD1,0
DTL,1
DTNA,1
DTNB,1
DTNBP1,1
DTWD1,1
DTWD2,1
DTX1,0
DTX2,0
DTX2P1-UPK3BP1-PMS2P11,0
DTX3,0
DTX3L,1
DTX4,1
DTYMK,1
DUOX1,0
DUOX2,0
DUOXA1,0
DUOXA2,0
DUPD1,0
DUS1L,1
DUS2,1
DUS3L,1
DUS4L,1
DUSP1,1
DUSP10,1
DUSP11,1
DUSP12,1
DUSP13,0
DUSP14,1
DUSP15,0
DUSP16,1
DUSP18,1
DUSP19,1
DUSP2,1
DUSP21,0
DUSP22,1
DUSP23,1
DUSP26,0
DUSP27,1
DUSP28,1
DUSP3,1
DUSP4,1
DUSP5,1
DUSP5P1,1
DUSP6,1
DUSP7,1
DUSP8,1
DUSP9,0
DUT,1
DUX4,0
DUX4L2,0
DUX4L3,0
DUX4L4,0
DUX4L5,0
DUX4L6,0
DUX4L7,0
DUX4L8,0
DUXA,0
DVL1,1
DVL2,1
DVL3,1
DXO,1
DYDC1,0
DYDC2,0
DYM,1
DYNAP,0
DYNC1H1,1
DYNC1I1,0
DYNC1I2,1
DYNC1LI1,1
DYNC1LI2,1
DYNC2H1,1
DYNC2LI1,1
DYNLL1,1
DYNLL2,1
DYNLRB1,1
DYNLRB2,1
DYNLT1,1
DYNLT3,0
DYRK1A,1
DYRK1B,1
DYRK2,1
DYRK3,1
DYRK4,0
DYSF,0
DYTN,0
DYX1C1,0
DYX1C1-CCPG1,0
DZANK1,1
DZIP1,1
DZIP1L,1
DZIP3,1
E2F1,1
E2F2,1
E2F3,1
E2F4,1
E2F5,1
E2F6,1
E2F7,1
E2F8,1
E4F1,1
EAF1,1
EAF2,1
EAPP,1
EARS2,1
EBAG9,1
EBF1,1
EBF2,0
EBF3,0
EBF4,0
EBI3,1
EBLN1,0
EBLN2,0
EBNA1BP2,1
EBP,0
EBPL,1
ECD,1
ECE1,1
ECE2,1
ECEL1,0
ECEL1P2,0
ECH1,1
ECHDC1,1
ECHDC2,1
ECHDC3,0
ECHS1,1
ECI1,1
ECI2,1
ECM1,0
ECM2,0
ECRP,0
ECSCR,0
ECSIT,1
ECT2,0
ECT2L,0
EDA,0
EDA2R,1
EDAR,0
EDARADD,1
EDC3,1
EDC4,1
EDDM3A,0
EDDM3B,0
EDEM1,1
EDEM2,1
EDEM3,1
EDF1,1
EDIL3,0
EDN1,1
EDN2,1
EDN3,0
EDNRA,0
EDNRB,0
EDRF1,1
EEA1,1
EED,1
EEF1A1,1
EEF1A2,0
EEF1B2,1
EEF1D,1
EEF1DP3,0
EEF1E1,1
EEF1E1-BLOC1S5,1
EEF1G,1
EEF2,1
EEF2K,1
EEFSEC,1
EEPD1,1
EFCAB1,0
EFCAB10,0
EFCAB11,1
EFCAB12,0
EFCAB13,1
EFCAB14,1
EFCAB2,1
EFCAB3,0
EFCAB5,0
EFCAB6,1
EFCAB7,1
EFCAB8,0
EFCAB9,0
EFCC1,1
EFEMP1,0
EFEMP2,1
EFHB,0
EFHC1,1
EFHC2,0
EFHD1,1
EFHD2,1
EFNA1,1
EFNA2,0
EFNA3,1
EFNA4,1
EFNA5,1
EFNB1,0
EFNB2,0
EFNB3,0
EFR3A,1
EFR3B,1
EFS,0
EFTUD1,1
EFTUD2,1
EGF,0
EGFEM1P,1
EGFL6,0
EGFL7,0
EGFL8,0
EGFLAM,0
EGFR,0
EGLN1,1
EGLN2,1
EGLN3,0
EGOT,1
EGR1,1
EGR2,1
EGR3,1
EGR4,0
EHBP1,0
EHBP1L1,1
EHD1,1
EHD2,0
EHD3,1
EHD4,1
EHF,0
EHHADH,1
EHMT1,1
EHMT2,0
EI24,1
EID1,1
EID2,0
EID2B,1
EID3,1
EIF1,1
EIF1AD,1
EIF1AX,1
EIF1AY,0
EIF1B,1
EIF2A,1
EIF2AK1,1
EIF2AK2,1
EIF2AK3,1
EIF2AK4,1
EIF2B1,1
EIF2B2,1
EIF2B3,1
EIF2B4,1
EIF2B5,1
EIF2D,1
EIF2S1,1
EIF2S2,1
EIF2S3,1
EIF3A,1
EIF3B,1
EIF3C,0
EIF3CL,1
EIF3D,1
EIF3E,1
EIF3F,1
EIF3G,1
EIF3H,1
EIF3I,1
EIF3IP1,0
EIF3J,1
EIF3K,1
EIF3L,1
EIF3M,1
EIF4A1,1
EIF4A2,1
EIF4A3,1
EIF4B,1
EIF4E,1
EIF4E1B,0
EIF4E2,1
EIF4E3,0
EIF4EBP1,1
EIF4EBP2,1
EIF4EBP3,1
EIF4ENIF1,1
EIF4G1,1
EIF4G2,1
EIF4G3,1
EIF4H,1
EIF5,1
EIF5A,1
EIF5A2,1
EIF5AL1,0
EIF5B,1
EIF6,1
ELAC1,1
ELAC2,1
ELANE,1
ELAVL1,1
ELAVL2,0
ELAVL3,1
ELAVL4,0
ELF1,1
ELF2,0
ELF3,1
ELF4,1
ELF5,1
ELFN1,0
ELFN2,1
ELK1,0
ELK3,1
ELK4,1
ELL,1
ELL2,1
ELL3,1
ELMO1,1
ELMO2,1
ELMO3,0
ELMOD1,0
ELMOD2,1
ELMOD3,1
ELMSAN1,1
ELN,0
ELOF1,1
ELOVL1,1
ELOVL2,1
ELOVL3,1
ELOVL4,0
ELOVL5,1
ELOVL6,1
ELOVL7,0
ELP2,1
ELP3,1
ELP4,1
ELP5,1
ELP6,1
ELSPBP1,0
ELTD1,0
EMB,1
EMBP1,0
EMC1,1
EMC10,1
EMC2,1
EMC3,1
EMC4,1
EMC6,1
EMC7,1
EMC8,1
EMC9,1
EMCN,0
EMD,1
EME1,1
EME2,1
EMG1,1
EMID1,1
EMILIN1,1
EMILIN2,0
EMILIN3,0
EML1,0
EML2,1
EML3,1
EML4,1
EML5,0
EML6,1
EMP1,1
EMP2,1
EMP3,1
EMR1,0
EMR2,1
EMR3,0
EMR4P,0
EMX1,1
EMX2,1
EMX2OS,0
EN1,0
EN2,0
ENAH,1
ENAM,1
ENC1,1
ENDOD1,1
ENDOG,1
ENDOU,0
ENDOV,1
ENG,0
ENGASE,0
ENHO,0
ENKD1,1
ENKUR,1
ENO1,1
ENO1-AS1,1
ENO2,1
ENO3,1
ENO4,1
ENOPH1,1
ENOSF1,1
ENOX1,0
ENOX2,1
ENPEP,0
ENPP1,1
ENPP2,1
ENPP3,1
ENPP4,0
ENPP5,0
ENPP6,0
ENPP7,0
ENSA,1
ENTHD1,0
ENTHD2,1
ENTPD1,0
ENTPD2,1
ENTPD3,0
ENTPD3-AS1,1
ENTPD4,1
ENTPD5,1
ENTPD6,1
ENTPD7,0
ENTPD8,1
ENY2,1
EOGT,1
EOMES,0
EP300,1
EP400,1
EP400NL,1
EPAS1,1
EPB41,1
EPB41L1,0
EPB41L2,1
EPB41L3,0
EPB41L4A,1
EPB41L4A-AS1,1
EPB41L4B,1
EPB41L5,1
EPB42,0
EPC1,1
EPC2,1
EPCAM,1
EPDR1,1
EPG5,1
EPGN,0
EPHA1,0
EPHA10,0
EPHA2,1
EPHA3,0
EPHA4,1
EPHA5,1
EPHA6,0
EPHA7,0
EPHA8,0
EPHB1,0
EPHB2,1
EPHB3,1
EPHB4,1
EPHB6,1
EPHX1,1
EPHX2,1
EPHX3,0
EPHX4,0
EPM2A,1
EPM2AIP1,1
EPN1,1
EPN2,0
EPN3,1
EPO,1
EPOR,1
EPPIN,0
EPPIN-WFDC6,0
EPPK1,1
EPRS,1
EPS15,1
EPS15L1,1
EPS8,1
EPS8L1,1
EPS8L2,1
EPS8L3,1
EPSTI1,1
EPT1,1
EPX,0
EPYC,0
EQTN,0
ERAL1,1
ERAP1,1
ERAP2,1
ERAS,0
ERBB2,1
ERBB2IP,1
ERBB3,1
ERBB4,0
ERC1,1
ERC2,0
ERC2-IT1,0
ERCC1,1
ERCC2,1
ERCC3,1
ERCC4,1
ERCC5,1
ERCC6,1
ERCC6L,0
ERCC6L2,1
ERCC8,1
EREG,0
ERF,1
ERG,0
ERGIC1,1
ERGIC2,1
ERGIC3,1
ERH,1
ERI1,1
ERI2,1
ERI3,0
ERICH1,0
ERICH2,0
ERICH3,0
ERICH4,0
ERICH5,0
ERICH6,1
ERICH6B,0
ERLEC1,1
ERLIN1,1
ERLIN2,1
ERMAP,1
ERMARD,1
ERMN,0
ERMP1,1
ERN1,1
ERN2,0
ERO1L,1
ERO1LB,1
ERP27,0
ERP29,1
ERP44,1
ERRFI1,1
ERV3-1,1
ERVFRD-1,0
ERVK13-1,0
ERVMER34-1,0
ERVV-1,0
ERVV-2,0
ESAM,1
ESCO1,1
ESCO2,1
ESD,1
ESF1,1
ESM1,0
ESPL1,1
ESPN,1
ESPNL,0
ESPNP,0
ESR1,1
ESR2,1
ESRG,0
ESRP1,1
ESRP2,1
ESRRA,1
ESRRB,0
ESRRG,0
ESX1,0
ESYT1,1
ESYT2,1
ESYT3,1
ETAA1,1
ETF1,1
ETFA,1
ETFB,1
ETFDH,1
ETHE1,1
ETNK1,1
ETNK2,0
ETNPPL,1
ETS1,0
ETS2,1
ETV1,0
ETV2,1
ETV3,1
ETV3L,0
ETV4,1
ETV5,1
ETV6,1
ETV7,1
EVA1A,1
EVA1B,1
EVA1C,1
EVC,1
EVC2,0
EVI2A,1
EVI2B,1
EVI5,0
EVI5L,1
EVL,1
EVPL,1
EVPLL,0
EVX1,0
EVX2,0
EWSR1,1
EXD1,1
EXD2,1
EXD3,1
EXO1,1
EXO5,1
EXOC1,1
EXOC2,1
EXOC3,1
EXOC3L1,1
EXOC3L2,0
EXOC3L4,1
EXOC4,1
EXOC5,1
EXOC6,0
EXOC6B,1
EXOC7,1
EXOC8,1
EXOG,1
EXOSC1,1
EXOSC10,1
EXOSC2,0
EXOSC3,1
EXOSC4,1
EXOSC5,1
EXOSC6,1
EXOSC7,1
EXOSC8,1
EXOSC9,1
EXPH5,1
EXT1,1
EXT2,0
EXTL1,0
EXTL2,1
EXTL3,0
EYA1,0
EYA2,0
EYA3,1
EYA4,1
EYS,0
EZH1,1
EZH2,1
EZR,1
F10,1
F11,1
F11R,1
F12,0
F13A1,0
F13B,1
F2,1
F2R,1
F2RL1,1
F2RL2,0
F2RL3,1
F3,0
F5,1
F7,1
F8,0
F8A1,0
F8A2,0
F8A3,1
F9,0
FA2H,1
FAAH,1
FAAH2,0
FABP1,1
FABP12,0
FABP2,0
FABP3,1
FABP4,0
FABP5,0
FABP5P3,1
FABP6,0
FABP7,0
FABP9,0
FADD,1
FADS1,1
FADS2,1
FADS3,0
FADS6,0
FAF1,1
FAF2,1
FAH,1
FAHD1,1
FAHD2A,1
FAHD2B,1
FAIM,1
FAIM2,0
FAIM3,1
FAM101A,0
FAM101B,0
FAM102A,1
FAM102B,1
FAM103A1,1
FAM104A,1
FAM104B,1
FAM105A,1
FAM106A,0
FAM106CP,0
FAM107A,1
FAM107B,0
FAM109A,1
FAM109B,0
FAM110A,1
FAM110B,0
FAM110C,1
FAM110D,0
FAM111A,1
FAM111B,1
FAM114A1,1
FAM114A2,1
FAM115A,1
FAM115C,1
FAM117A,1
FAM117B,1
FAM118A,1
FAM118B,1
FAM120A,1
FAM120AOS,1
FAM120B,1
FAM120C,0
FAM122A,1
FAM122B,1
FAM122C,0
FAM124A,0
FAM124B,0
FAM126A,1
FAM126B,1
FAM127A,0
FAM127B,0
FAM127C,1
FAM129A,1
FAM129B,1
FAM129C,1
FAM131A,1
FAM131B,0
FAM131C,1
FAM132A,0
FAM132B,0
FAM133A,0
FAM133B,1
FAM134A,1
FAM134B,0
FAM134C,1
FAM135A,1
FAM135B,0
FAM136A,1
FAM138A,0
FAM138B,0
FAM138C,0
FAM138D,0
FAM138E,0
FAM138F,0
FAM13A,1
FAM13A-AS1,0
FAM13B,1
FAM13C,0
FAM149A,0
FAM149B1,1
FAM150A,0
FAM150B,0
FAM151A,1
FAM151B,1
FAM153A,0
FAM153B,0
FAM153C,0
FAM154A,0
FAM154B,1
FAM155A,0
FAM155B,0
FAM156A,1
FAM156B,0
FAM157A,0
FAM157B,0
FAM159A,0
FAM159B,0
FAM160A1,1
FAM160A2,1
FAM160B1,1
FAM160B2,0
FAM161A,1
FAM161B,1
FAM162A,1
FAM162B,0
FAM163A,0
FAM163B,0
FAM166A,0
FAM166B,0
FAM167A,1
FAM167B,1
FAM168A,1
FAM168B,1
FAM169A,1
FAM169B,0
FAM170A,0
FAM170B,0
FAM171A1,0
FAM171A2,1
FAM171B,1
FAM172A,1
FAM172BP,1
FAM173A,1
FAM173B,1
FAM174A,1
FAM174B,0
FAM175A,1
FAM175B,1
FAM177A1,1
FAM177B,0
FAM178A,1
FAM178B,0
FAM179A,1
FAM179B,1
FAM180A,0
FAM180B,0
FAM181A,0
FAM181A-AS1,0
FAM181B,0
FAM182A,0
FAM182B,0
FAM183A,1
FAM183B,0
FAM184A,1
FAM184B,0
FAM185A,1
FAM186A,1
FAM186B,0
FAM187A,0
FAM187B,0
FAM188A,1
FAM188B,1
FAM189A1,0
FAM189A2,0
FAM189B,1
FAM192A,1
FAM193A,0
FAM193B,1
FAM195A,1
FAM195B,1
FAM196A,0
FAM196B,0
FAM197Y2,0
FAM198A,1
FAM198B,1
FAM199X,0
FAM19A1,0
FAM19A2,0
FAM19A3,0
FAM19A4,0
FAM19A5,0
FAM200A,1
FAM200B,1
FAM201A,1
FAM204A,1
FAM205A,0
FAM205B,0
FAM206A,1
FAM207A,1
FAM208A,1
FAM208B,1
FAM209A,0
FAM209B,0
FAM20A,1
FAM20B,1
FAM20C,1
FAM210A,1
FAM210B,1
FAM212A,1
FAM212B,1
FAM213A,1
FAM213B,1
FAM214A,1
FAM214B,0
FAM215A,0
FAM216A,1
FAM216B,0
FAM217A,0
FAM217B,0
FAM218A,1
FAM219A,1
FAM219B,1
FAM21A,1
FAM21C,1
FAM220A,1
FAM221A,1
FAM221B,0
FAM222A,1
FAM222B,1
FAM223A,0
FAM223B,0
FAM224A,0
FAM224B,0
FAM225A,1
FAM225B,1
FAM226A,0
FAM226B,0
FAM227A,0
FAM227B,1
FAM228A,0
FAM228B,0
FAM229A,0
FAM229B,1
FAM24A,0
FAM24B,0
FAM24B-CUZD1,0
FAM25A,0
FAM25C,0
FAM25G,0
FAM26D,0
FAM26E,0
FAM26F,1
FAM27B,0
FAM27C,1
FAM27L,0
FAM32A,1
FAM35A,1
FAM35BP,0
FAM35DP,0
FAM3A,0
FAM3B,0
FAM3C,1
FAM3D,0
FAM41C,0
FAM43A,1
FAM43B,1
FAM45A,1
FAM45B,1
FAM46A,1
FAM46B,1
FAM46C,1
FAM46D,0
FAM47A,0
FAM47B,0
FAM47C,0
FAM47E,1
FAM47E-STBD1,1
FAM49A,1
FAM49B,1
FAM50A,0
FAM50B,1
FAM53A,1
FAM53B,1
FAM53C,1
FAM57A,1
FAM57B,1
FAM58A,0
FAM58BP,0
FAM60A,1
FAM63A,1
FAM63B,1
FAM64A,1
FAM65A,1
FAM65B,1
FAM65C,1
FAM66A,0
FAM66B,0
FAM66C,0
FAM66D,0
FAM66E,0
FAM69A,1
FAM69B,1
FAM69C,0
FAM71A,0
FAM71B,1
FAM71C,0
FAM71D,1
FAM71E1,1
FAM71E2,0
FAM71F1,0
FAM71F2,0
FAM72A,1
FAM72B,1
FAM72D,1
FAM73A,1
FAM73B,1
FAM74A1,0
FAM74A3,0
FAM74A4,0
FAM76A,0
FAM76B,1
FAM78A,0
FAM78B,1
FAM81A,1
FAM81B,0
FAM83A,1
FAM83B,1
FAM83C,0
FAM83D,1
FAM83E,1
FAM83F,0
FAM83G,1
FAM83H,0
FAM84A,0
FAM84B,1
FAM86A,1
FAM86B1,0
FAM86B2,0
FAM86C1,0
FAM86C2P,0
FAM86DP,1
FAM86EP,0
FAM86FP,0
FAM86HP,0
FAM89A,0
FAM89B,0
FAM8A1,1
FAM90A1,1
FAM90A10P,0
FAM90A14P,0
FAM90A18P,0
FAM90A19P,0
FAM90A20P,0
FAM90A25P,0
FAM90A7P,0
FAM90A8P,0
FAM90A9P,0
FAM91A1,1
FAM92A1,0
FAM92A1P2,0
FAM92B,0
FAM95B1,0
FAM96A,1
FAM96B,1
FAM98A,1
FAM98B,1
FAM98C,1
FAM99A,0
FAM99B,0
FAM9A,0
FAM9B,0
FAM9C,0
FAN1,1
FANCA,1
FANCB,0
FANCC,1
FANCD2,1
FANCD2OS,0
FANCE,1
FANCF,1
FANCG,1
FANCI,1
FANCL,1
FANCM,1
FANK1,1
FAP,1
FAR1,1
FAR2,0
FARP1,1
FARP2,1
FARS2,1
FARSA,1
FARSB,1
FAS,1
FAS-AS1,1
FASLG,0
FASN,1
FASTK,1
FASTKD1,1
FASTKD2,1
FASTKD3,1
FASTKD5,1
FAT1,1
FAT2,1
FAT3,0
FAT4,1
FATE1,0
FAU,1
FAXC,0
FAXDC2,0
FBF1,1
FBL,1
FBLIM1,0
FBLL1,0
FBLN1,1
FBLN2,0
FBLN5,1
FBLN7,1
FBN1,1
FBN2,1
FBN3,1
FBP1,0
FBP2,0
FBRS,0
FBRSL1,0
FBXL12,1
FBXL13,1
FBXL14,1
FBXL15,1
FBXL16,1
FBXL17,1
FBXL18,1
FBXL19,1
FBXL19-AS1,1
FBXL2,0
FBXL20,1
FBXL21,0
FBXL22,1
FBXL3,1
FBXL4,1
FBXL5,1
FBXL6,1
FBXL7,1
FBXL8,1
FBXO10,1
FBXO11,1
FBXO15,1
FBXO16,1
FBXO17,1
FBXO18,1
FBXO2,0
FBXO21,0
FBXO22,1
FBXO22-AS1,0
FBXO24,1
FBXO25,0
FBXO27,1
FBXO28,1
FBXO3,0
FBXO30,1
FBXO31,1
FBXO32,0
FBXO33,1
FBXO34,1
FBXO36,1
FBXO38,1
FBXO39,0
FBXO4,1
FBXO40,0
FBXO41,0
FBXO42,1
FBXO43,1
FBXO44,0
FBXO45,1
FBXO46,1
FBXO47,0
FBXO48,1
FBXO5,1
FBXO6,1
FBXO7,1
FBXO8,1
FBXO9,1
FBXW10,0
FBXW11,1
FBXW12,0
FBXW2,1
FBXW4,1
FBXW4P1,1
FBXW5,1
FBXW7,1
FBXW8,1
FBXW9,1
FCAMR,1
FCAR,0
FCER1A,0
FCER1G,0
FCER2,1
FCF1,1
FCGBP,0
FCGR1A,0
FCGR1B,0
FCGR1C,0
FCGR2A,1
FCGR2B,1
FCGR2C,1
FCGR3A,0
FCGR3B,0
FCGRT,1
FCHO1,0
FCHO2,1
FCHSD1,0
FCHSD2,1
FCN1,0
FCN2,0
FCN3,0
FCRL1,0
FCRL2,1
FCRL3,0
FCRL4,1
FCRL5,1
FCRL6,0
FCRLA,1
FCRLB,1
FDCSP,0
FDFT1,1
FDPS,1
FDPSP2,0
FDX1,1
FDX1L,1
FDXACB1,1
FDXR,1
FECH,0
FEM1A,1
FEM1B,1
FEM1C,1
FEN1,1
FER,1
FER1L4,1
FER1L5,0
FER1L6,0
FER1L6-AS1,1
FERD3L,0
FERMT1,1
FERMT2,1
FERMT3,1
FES,1
FETUB,0
FEV,0
FEZ1,0
FEZ2,1
FEZF1,0
FEZF2,0
FFAR1,1
FFAR2,1
FFAR3,0
FFAR4,1
FGA,1
FGB,0
FGD1,0
FGD2,1
FGD3,0
FGD4,0
FGD5,0
FGD6,1
FGF1,1
FGF10,0
FGF11,1
FGF12,0
FGF13,0
FGF14,0
FGF14-IT1,0
FGF16,0
FGF17,1
FGF18,1
FGF19,1
FGF2,1
FGF20,0
FGF21,0
FGF22,0
FGF23,0
FGF3,0
FGF4,0
FGF5,0
FGF6,0
FGF7,0
FGF8,1
FGF9,1
FGFBP1,1
FGFBP2,0
FGFBP3,1
FGFR1,1
FGFR1OP,1
FGFR1OP2,1
FGFR2,1
FGFR3,0
FGFR4,1
FGFRL1,1
FGG,1
FGGY,1
FGL1,1
FGL2,0
FGR,1
FH,1
FHAD1,1
FHDC1,0
FHIT,1
FHL1,0
FHL2,0
FHL3,0
FHL5,0
FHOD1,1
FHOD3,0
FIBCD1,0
FIBIN,0
FIBP,1
FICD,1
FIG4,1
FIGF,1
FIGLA,0
FIGN,1
FIGNL1,1
FIGNL2,0
FILIP1,1
FILIP1L,0
FIP1L1,1
FIS1,1
FITM1,1
FITM2,1
FIZ1,1
FJX1,1
FKBP10,1
FKBP11,0
FKBP14,1
FKBP15,1
FKBP1A,1
FKBP1A-SDCBP2,1
FKBP1AP1,0
FKBP1B,1
FKBP2,1
FKBP3,1
FKBP4,1
FKBP5,1
FKBP6,0
FKBP7,1
FKBP8,1
FKBP9,1
FKBP9P1,0
FKBPL,1
FKRP,0
FKSG29,1
FKTN,1
FLAD1,1
FLCN,1
FLG,0
FLG2,0
FLI1,1
FLII,1
FLJ10038,1
FLJ12825,0
FLJ13224,1
FLJ16779,0
FLJ20021,1
FLJ21408,1
FLJ22184,1
FLJ22447,1
FLJ22763,0
FLJ23867,0
FLJ25758,1
FLJ26245,1
FLJ26850,0
FLJ27354,0
FLJ30679,1
FLJ31306,1
FLJ31662,0
FLJ33360,0
FLJ33534,1
FLJ33581,0
FLJ34503,0
FLJ36000,0
FLJ36777,1
FLJ37035,1
FLJ37201,1
FLJ37453,1
FLJ37505,0
FLJ39080,0
FLJ40194,1
FLJ41278,1
FLJ41941,0
FLJ42102,0
FLJ42351,1
FLJ42393,0
FLJ42627,1
FLJ42969,1
FLJ43681,0
FLJ43879,0
FLJ44511,1
FLJ44635,0
FLJ45079,1
FLJ45513,0
FLJ46066,0
FLJ46906,1
FLNA,0
FLNB,1
FLNC,1
FLOT1,0
FLOT2,1
FLRT1,0
FLRT2,0
FLRT3,0
FLT1,0
FLT3,0
FLT3LG,1
FLT4,0
FLVCR1,1
FLVCR1-AS1,1
FLVCR2,1
FLYWCH1,1
FLYWCH2,1
FMN1,1
FMN2,1
FMNL1,0
FMNL2,1
FMNL3,1
FMO1,0
FMO2,0
FMO3,0
FMO4,1
FMO5,1
FMO6P,0
FMO9P,0
FMOD,0
FMR1,1
FMR1-AS1,1
FMR1NB,0
FN1,1
FN3K,1
FN3KRP,1
FNBP1,1
FNBP1L,1
FNBP4,1
FNDC1,0
FNDC3A,1
FNDC3B,1
FNDC4,1
FNDC5,1
FNDC7,0
FNDC8,1
FNDC9,0
FNIP1,1
FNIP2,1
FNTA,1
FNTB,1
FOCAD,1
FOLH1,1
FOLH1B,0
FOLR1,0
FOLR2,0
FOLR3,0
FOLR4,0
FOPNL,1
FOS,1
FOSB,1
FOSL1,1
FOSL2,1
FOXA1,1
FOXA2,1
FOXA3,1
FOXB1,0
FOXB2,0
FOXC1,0
FOXC2,0
FOXD1,1
FOXD2,1
FOXD3,0
FOXD4,0
FOXD4L1,0
FOXD4L3,0
FOXD4L4,0
FOXD4L5,0
FOXD4L6,0
FOXE1,0
FOXE3,0
FOXF1,0
FOXF2,0
FOXG1,0
FOXH1,1
FOXI1,0
FOXI2,0
FOXI3,0
FOXJ1,0
FOXJ2,0
FOXJ3,1
FOXK1,1
FOXK2,1
FOXL1,0
FOXL2,0
FOXL2NB,0
FOXM1,1
FOXN1,0
FOXN2,1
FOXN3,0
FOXN4,0
FOXO1,1
FOXO3,1
FOXO3B,0
FOXO4,0
FOXO6,0
FOXP1,1
FOXP2,1
FOXP3,0
FOXP4,1
FOXQ1,1
FOXR1,0
FOXR2,0
FOXRED1,1
FOXRED2,1
FOXS1,0
FPGS,1
FPGT,1
FPGT-TNNI3K,1
FPR1,0
FPR2,0
FPR3,0
FRA10AC1,1
FRAS1,1
FRAT1,1
