GeneSym,ENCODE_2015,Pinar_2025,any
TSC2,1,NA,1
MTR,1,NA,1
PALS1,NA,NA,0
DMXL2,1,NA,1
KIAA0040,1,NA,1
IGDCC4,1,1,1
DNAJC17,1,NA,1
RNF103,1,NA,1
KLF9,1,NA,1
ZNF784,1,NA,1
GDA,0,NA,0
HOXA9,0,1,1
NPC2,1,NA,1
HSDL2,1,NA,1
ECH1,1,NA,1
STX10,1,NA,1
ALDH6A1,1,NA,1
AVPI1,1,1,1
FAM32A,1,NA,1
SOX6,0,NA,0
RBM12,1,NA,1
MTERF2,1,NA,1
ILVBL,1,NA,1
AKAP1,1,NA,1
YJU2,NA,NA,0
TNFRSF8,1,NA,1
ZNF211,1,NA,1
DNMT3B,1,NA,1
CAPS,1,NA,1
ETFB,1,NA,1
COIL,1,NA,1
HOXA6,1,NA,1
ZC3H7A,1,NA,1
NT5C3A,1,NA,1
TBC1D13,1,NA,1
BICC1,0,NA,0
SMU1,1,NA,1
NLN,1,NA,1
IFT81,1,NA,1
AGO1,0,NA,0
GBF1,1,NA,1
FAM210B,1,NA,1
FAM124B,0,NA,0
RAPGEFL1,1,NA,1
KAT2A,1,NA,1
TCF4,0,NA,0
AHNAK,1,NA,1
ERMP1,1,NA,1
ZDHHC8,0,NA,0
ENSG00000260805.2,NA,NA,0
DNAJC4,1,NA,1
SC5D,1,NA,1
FOXRED1,1,NA,1
MAX,1,NA,1
DCPS,1,NA,1
RBFOX2,1,NA,1
PRPF40B,1,NA,1
TPTEP1,1,NA,1
NAA40,1,NA,1
DOCK4,1,NA,1
MVK,1,NA,1
TRIM28,1,NA,1
ENSG00000267385.1,NA,NA,0
PNPLA7,1,1,1
NFKBIA,1,1,1
ZC3H4,1,NA,1
GUCA1B,1,NA,1
SEMA5A,0,NA,0
SESN2,1,NA,1
CUL9,1,NA,1
SLC6A6,1,NA,1
ACAP2,1,NA,1
PRKAA1,1,NA,1
PEX5L,1,NA,1
HEMK1,1,NA,1
NME3,1,NA,1
CTCF,1,NA,1
INO80D,1,NA,1
FAHD2A,1,NA,1
KHDC4,NA,NA,0
LMAN2L,1,NA,1
BTG1,1,NA,1
ELMOD3,1,NA,1
TTC31,1,NA,1
SLC25A12,1,NA,1
ARNTL,0,NA,0
WRAP73,1,NA,1
TCEANC2,1,NA,1
SCAMP3,1,NA,1
PUM1,1,NA,1
ENSG00000278330.1,NA,NA,0
WDR36,1,NA,1
ARRDC2,1,NA,1
PDGFRA,0,NA,0
GON4L,1,NA,1
ATP13A1,1,NA,1
PIK3R3,1,1,1
RC3H1,0,NA,0
RPA2,1,NA,1
DYNC1LI2,1,1,1
MAN1C1,1,NA,1
EPC2,1,NA,1
RCN2,1,NA,1
WDR91,0,NA,0
TXNDC12,1,NA,1
TBC1D4,1,NA,1
PWP1,1,NA,1
HOXA13,0,NA,0
ENSG00000286367.1,NA,NA,0
TMEM106B,1,NA,1
NUDT15,1,NA,1
TM6SF1,1,NA,1
FKTN,1,NA,1
ALDH8A1,0,NA,0
SENP5,1,NA,1
CPSF3,1,NA,1
GLE1,1,NA,1
ANP32B,1,NA,1
CREBZF,1,NA,1
DNMT3A,1,NA,1
TMEM63B,1,NA,1
UNC13C,0,NA,0
MTMR4,1,NA,1
CASC3,1,NA,1
NDUFAB1,1,NA,1
CDK5RAP3,1,NA,1
RNF170,1,NA,1
TNFSF10,1,NA,1
SLC44A5,0,NA,0
ASNSD1,1,NA,1
PLCE1,1,NA,1
FAM214B,0,NA,0
SLC40A1,0,NA,0
COX10,1,NA,1
CHRNA1,0,NA,0
STIM2,1,NA,1
RPAP2,1,NA,1
CNOT6L,1,NA,1
UQCRC1,1,NA,1
NUP54,1,NA,1
ACCS,1,NA,1
G0S2,1,NA,1
SMUG1,0,NA,0
GUCD1,1,NA,1
BTN2A2,0,NA,0
ZNF576,1,NA,1
PPP5C,1,NA,1
B4GALNT3,0,NA,0
MRS2,1,NA,1
OGFOD2,1,NA,1
RNF185,1,NA,1
SIRT5,1,NA,1
ABCC10,1,NA,1
FGD4,0,NA,0
OAS3,1,NA,1
NUDCD3,1,NA,1
UNC5CL,1,NA,1
OARD1,1,NA,1
PTGR2,1,NA,1
NDUFS1,1,NA,1
CUL4A,1,NA,1
AARS2,1,NA,1
BRD9,1,NA,1
KIF25,0,NA,0
SSR1,1,NA,1
IGF1R,0,NA,0
SLC25A35,1,NA,1
ANK1,0,NA,0
BMP4,1,NA,1
FAM136A,1,NA,1
INSIG2,1,NA,1
MYLK3,0,NA,0
BAK1,1,NA,1
ARMC7,1,1,1
RANBP10,1,NA,1
MRPS27,1,NA,1
OPA3,1,NA,1
ZCCHC14,1,NA,1
BRD8,1,NA,1
AGA,1,NA,1
GPR108,1,NA,1
UNC45B,0,NA,0
MKKS,1,NA,1
ALX4,0,NA,0
IRF3,1,NA,1
TOR1AIP1,1,NA,1
OPN3,0,NA,0
STEAP3,1,NA,1
TMEM175,1,NA,1
DBP,1,NA,1
HPF1,NA,NA,0
TNFRSF19,1,NA,1
MSH4,1,NA,1
GGCX,1,NA,1
RHOB,1,NA,1
MPC1,1,NA,1
DNAJC16,1,NA,1
LSM8,NA,NA,0
GATB,1,NA,1
PCYOX1,1,NA,1
ISOC2,1,NA,1
FAAH,1,NA,1
LRRC17,1,NA,1
MRPS35,1,NA,1
PRKRIP1,1,NA,1
HERC2,0,NA,0
NFYC,1,NA,1
HES6,1,NA,1
SUGP2,1,NA,1
CENPC,1,NA,1
PUS7L,1,NA,1
NXPE3,1,NA,1
MREG,1,NA,1
SOX15,0,NA,0
NAF1,1,NA,1
MAU2,1,NA,1
CASP8AP2,1,NA,1
QRICH2,0,NA,0
MARCHF6,NA,NA,0
RTN4IP1,1,NA,1
PDGFC,1,NA,1
ERLEC1,1,NA,1
MTRES1,NA,NA,0
RPS6KA2,0,NA,0
TRPM4,1,NA,1
HRC,0,NA,0
CDKAL1,1,NA,1
KCNIP2,0,NA,0
SPEG,0,NA,0
CYP2E1,0,NA,0
NIPSNAP2,NA,NA,0
TFRC,1,NA,1
CEP85,1,NA,1
PAK4,1,NA,1
ACADVL,1,NA,1
MED18,1,NA,1
MEPCE,1,NA,1
NONO,1,NA,1
AP1M1,1,NA,1
DERL2,1,NA,1
CCDC62,1,NA,1
TSG101,1,NA,1
RGN,1,NA,1
ECHDC2,1,NA,1
PPP2R3A,1,NA,1
PKDREJ,0,NA,0
GSDMC,1,NA,1
TTC38,1,NA,1
RNF2,0,NA,0
ZNF341,1,NA,1
POLN,0,NA,0
PILRB,1,NA,1
PPP1R12B,1,NA,1
ZCCHC9,1,NA,1
INPP5E,1,NA,1
TIMM21,1,NA,1
GSE1,1,1,1
CELF1,1,NA,1
ZSCAN5A,0,NA,0
TAF5,1,NA,1
PIAS3,1,NA,1
PAK1,1,NA,1
DUSP13,0,NA,0
ENAM,1,NA,1
DCAF15,0,NA,0
CPSF7,1,NA,1
TOE1,1,NA,1
TUT7,NA,NA,0
JPH2,0,NA,0
MRPL22,1,NA,1
FHIP2A,NA,NA,0
MAPRE3,0,NA,0
SPATS2,1,NA,1
ANK3,0,NA,0
ZNF414,1,NA,1
MTIF2,1,NA,1
KBTBD4,1,NA,1
C1QTNF6,1,NA,1
SLC2A11,1,NA,1
EMC7,1,NA,1
METTL8,1,NA,1
CCDC50,1,NA,1
CWF19L2,1,NA,1
ENKD1,1,NA,1
NADK2,1,1,1
DAGLA,1,NA,1
MBNL1,1,NA,1
VAPB,0,NA,0
AGO4,0,NA,0
MRPS33,1,NA,1
DNAJC14,1,NA,1
PCBP4,1,NA,1
ADAM19,1,NA,1
TBX15,0,NA,0
BBS2,1,NA,1
OS9,1,NA,1
SPAG7,1,NA,1
TFCP2,1,NA,1
FAM193A,0,NA,0
ART3,1,NA,1
FCHO2,1,NA,1
NDUFB7,1,NA,1
SLC9A5,0,NA,0
PLGLB2,0,NA,0
TMEM164,0,NA,0
DDT,0,NA,0
RNASEL,1,NA,1
TIMM13,1,NA,1
RTN2,0,NA,0
MICALL1,0,NA,0
GAREM2,NA,NA,0
MFSD9,1,NA,1
SLC30A2,0,NA,0
ZNF436,1,NA,1
VILL,0,NA,0
CCDC115,1,NA,1
ZDHHC4,1,NA,1
TUBGCP3,1,NA,1
PHF5A,1,NA,1
GARNL3,0,NA,0
MRNIP,NA,NA,0
PSMA6,1,NA,1
GOLGA1,1,NA,1
LSS,0,NA,0
RABEPK,1,NA,1
ACOX1,1,NA,1
UQCC1,1,NA,1
HINT2,1,NA,1
MAML1,1,NA,1
PSME2,1,NA,1
TMEM8B,0,NA,0
IDH3B,1,NA,1
RNF121,1,NA,1
PLCD3,1,NA,1
NDUFAF5,1,NA,1
SIN3B,0,NA,0
NXF1,1,NA,1
PAK6,0,NA,0
TST,1,NA,1
SNTA1,0,NA,0
DCUN1D5,1,NA,1
SNED1,0,NA,0
APOBEC3F,1,NA,1
H3-3A,NA,NA,0
CNST,1,NA,1
DNA2,1,NA,1
SGCB,0,NA,0
MRPS31,1,NA,1
PARP16,1,NA,1
CLN5,1,NA,1
INHBB,0,NA,0
SLC44A2,1,NA,1
TMEM19,1,NA,1
HCFC1R1,1,NA,1
GIT2,1,NA,1
DCAF16,1,NA,1
GADD45G,1,1,1
MLYCD,1,NA,1
HMOX2,1,NA,1
PPM1K,1,1,1
RUSF1,NA,NA,0
PPM1L,1,NA,1
SCAMP2,1,NA,1
SLBP,1,NA,1
TCF25,1,NA,1
DTX3L,1,NA,1
DNAJA3,1,NA,1
HMGB2,1,NA,1
DECR1,1,NA,1
G6PC3,1,NA,1
ABLIM2,0,NA,0
GALNT15,0,NA,0
FAH,1,NA,1
ZNF287,0,NA,0
DOP1B,NA,NA,0
RIDA,NA,NA,0
CLUH,1,NA,1
RNF165,0,NA,0
NBPF3,1,NA,1
KIAA0319L,1,NA,1
SGTA,1,NA,1
C1orf162,0,NA,0
ZNF704,1,NA,1
PLEKHJ1,1,NA,1
PRKACB,1,NA,1
PIGM,1,NA,1
VRK3,1,NA,1
ENSG00000165121.12,NA,NA,0
TFPT,1,NA,1
CREB3L4,1,NA,1
HNRNPK,1,NA,1
MRPL4,1,NA,1
ECHDC3,0,NA,0
SUGP1,1,NA,1
APC,1,NA,1
WNK2,1,NA,1
ETAA1,1,NA,1
OGDH,1,NA,1
SYT2,0,NA,0
NRF1,1,NA,1
PAN2,1,NA,1
MEIS1,1,NA,1
ARHGAP42,1,NA,1
YKT6,1,NA,1
MRPL44,1,NA,1
TMEM177,1,NA,1
ZFYVE1,1,NA,1
FBXL8,1,NA,1
PPFIBP2,1,NA,1
PLGRKT,1,NA,1
STK11IP,1,NA,1
ATP9B,1,NA,1
TAMM41,1,NA,1
GARRE1,NA,NA,0
GMPPA,1,NA,1
MTMR10,1,NA,1
PPIF,1,NA,1
CDK9,1,NA,1
RAB8A,1,1,1
GIN1,1,NA,1
ASPA,1,NA,1
CYP4V2,1,NA,1
NFKBID,1,NA,1
BPHL,1,NA,1
C1QBP,1,NA,1
KLHL3,1,NA,1
SLC25A11,1,NA,1
WDR81,1,NA,1
MMS22L,1,NA,1
RILP,1,NA,1
TRIM41,1,NA,1
SYNGR2,1,NA,1
RBPJ,1,NA,1
SLC12A9,1,NA,1
MRPL27,1,NA,1
SLC37A4,1,NA,1
TRAPPC14,NA,NA,0
GRPEL1,1,NA,1
ZNF182,1,NA,1
HDAC8,1,NA,1
PLPBP,NA,NA,0
LRP1B,0,NA,0
PLA2G4F,1,NA,1
SIAE,0,NA,0
ERLIN2,1,NA,1
SHC3,1,NA,1
CEP78,1,NA,1
MED22,1,NA,1
USP38,1,NA,1
CHPT1,1,NA,1
GPR107,1,NA,1
GOLT1B,1,NA,1
LAMTOR1,1,NA,1
AMDHD1,1,NA,1
TPI1,1,NA,1
NPTX1,0,NA,0
HDDC2,1,NA,1
CABLES2,1,NA,1
TMEM126B,1,NA,1
CAMTA1,1,NA,1
MRPL18,1,NA,1
ASXL1,1,NA,1
LTO1,NA,NA,0
ZNF131,1,NA,1
VPS37B,1,NA,1
TAOK2,1,NA,1
CXCR6,0,NA,0
SETD1B,1,NA,1
MRPL49,1,NA,1
HECTD4,1,NA,1
DLAT,1,NA,1
TADA2B,0,NA,0
RBM26,1,NA,1
CD226,1,NA,1
TIMMDC1,1,NA,1
VPS26B,1,NA,1
C4orf33,0,NA,0
ATP2A2,1,NA,1
NPRL2,1,NA,1
OBI1,NA,NA,0
ARMC5,1,NA,1
UBP1,1,1,1
ZNF710,1,NA,1
SMCR8,1,NA,1
GDPD1,1,NA,1
ANKLE2,1,NA,1
NOL3,1,NA,1
GTF2E1,1,NA,1
ULK1,1,NA,1
DISP1,1,NA,1
ZBTB34,0,NA,0
TBL1XR1,1,NA,1
CHODL,0,NA,0
ZBTB38,0,NA,0
WDR6,1,NA,1
SLC1A4,1,NA,1
ERBB2,1,NA,1
KCTD18,1,NA,1
MFN2,1,NA,1
KIAA2013,1,NA,1
GPR61,0,NA,0
C11orf71,0,NA,0
TYSND1,1,NA,1
MIIP,1,NA,1
RWDD2B,1,NA,1
PDE6D,1,NA,1
PHKG2,1,NA,1
SDHB,1,NA,1
DHRS1,1,NA,1
METTL14,1,NA,1
C16orf72,0,NA,0
N4BP3,1,NA,1
SLC13A3,0,NA,0
YIPF5,1,NA,1
JRKL,1,NA,1
ZFAND2B,1,NA,1
GJC1,0,NA,0
MITD1,1,NA,1
TSPYL2,0,NA,0
ALG8,1,NA,1
NDUFA8,0,NA,0
CCAR2,1,NA,1
ARL17A,1,NA,1
LAD1,1,NA,1
BICD2,1,NA,1
DLST,1,NA,1
RUSC1,1,NA,1
LRCH3,1,NA,1
WDR55,1,NA,1
MITF,0,NA,0
LYPLA1,1,NA,1
PTH1R,0,NA,0
MT1X,1,NA,1
SEC22A,1,NA,1
ZFPL1,1,NA,1
PYROXD1,1,NA,1
FLYWCH2,1,NA,1
CHM,1,NA,1
GTDC1,1,NA,1
LZIC,1,NA,1
ZSWIM5,0,NA,0
CISD1,1,NA,1
FAAP20,NA,NA,0
MTF1,1,NA,1
SCNN1D,1,NA,1
EXTL2,1,NA,1
GBP4,1,NA,1
BPNT1,1,NA,1
PEPD,1,NA,1
SLC35F1,0,NA,0
RAD17,1,NA,1
PIGT,1,NA,1
PPP1R21,1,NA,1
SLC25A29,1,NA,1
ABCA9,0,NA,0
PCBP2,1,NA,1
LGI4,1,NA,1
SCNM1,1,NA,1
RNF25,1,NA,1
TMTC4,1,NA,1
SLC15A2,1,NA,1
DDX42,1,NA,1
TMX4,1,NA,1
TASOR,NA,NA,0
HELZ,1,NA,1
YEATS2,1,NA,1
ZXDB,0,NA,0
NECAB3,1,NA,1
RNF20,1,NA,1
ZNF589,1,NA,1
ITPA,1,NA,1
NUP205,1,NA,1
EXO5,1,NA,1
HMGN2,1,NA,1
TMEM53,1,NA,1
ARFIP1,1,NA,1
ALPK2,0,NA,0
RALY,1,NA,1
PPCS,1,NA,1
TMEM184C,1,NA,1
AAMP,1,NA,1
MIR29B2CHG,NA,NA,0
MPV17L,0,NA,0
SLC13A4,0,NA,0
RAB12,1,NA,1
RPP25L,1,NA,1
MX1,0,NA,0
MRPS12,1,NA,1
MYORG,NA,NA,0
DGCR8,1,NA,1
HAT1,1,1,1
CRYL1,0,NA,0
SCAF8,1,NA,1
ZSWIM8,1,NA,1
ARHGEF40,1,NA,1
ENSG00000214942.6,NA,NA,0
ZFYVE19,1,NA,1
CEBPD,1,NA,1
TK2,1,NA,1
XPO7,0,NA,0
ZNF844,1,NA,1
ECSIT,1,NA,1
KATNAL2,0,NA,0
PIP4K2C,1,NA,1
QRSL1,1,NA,1
ENGASE,0,1,1
DUS2,1,NA,1
ATG4D,1,NA,1
ZNF23,1,NA,1
TEPSIN,NA,NA,0
NOL9,1,NA,1
ZNF528,0,NA,0
ZNF668,1,NA,1
SNHG20,1,NA,1
ATP6V1E1,1,NA,1
ZNF444,1,NA,1
LINC01505,NA,NA,0
ATCAY,0,NA,0
PPP1R3E,1,NA,1
RCOR2,1,1,1
ENSG00000235070.3,NA,NA,0
TUBG1,1,NA,1
CCDC138,1,NA,1
ABCA3,1,NA,1
PUS10,1,NA,1
NR1H2,1,NA,1
ENSG00000238273.3,NA,NA,0
POLR2G,1,NA,1
PCDHGC5,0,NA,0
COG7,1,NA,1
THAP11,1,NA,1
STK36,1,NA,1
MTCL1,0,NA,0
ENSG00000242588.6,NA,NA,0
IMMT,1,NA,1
PYGO2,1,NA,1
CDC40,1,NA,1
COQ3,1,NA,1
LRATD2,NA,NA,0
TMEM223,1,NA,1
UVSSA,1,NA,1
ANKRD49,1,NA,1
GRSF1,1,NA,1
ENSG00000258168.6,NA,NA,0
SPRY3,0,NA,0
CD2BP2,1,NA,1
DIO3OS,0,NA,0
INTU,1,NA,1
CPLX1,0,NA,0
NORAD,NA,NA,0
IL15,1,NA,1
SCN9A,1,NA,1
ENSG00000264151.6,NA,NA,0
PGGT1B,1,NA,1
LUZP1,1,NA,1
GIMAP6,1,NA,1
INO80E,1,NA,1
LRRC37A7P,NA,NA,0
CNTROB,1,NA,1
FRMPD4,0,NA,0
ILF3-DT,NA,NA,0
MRPS36,1,NA,1
GLB1,1,NA,1
PWWP2A,1,NA,1
ORC5,1,NA,1
ENSG00000267364.3,NA,NA,0
PPHLN1,1,NA,1
RALGAPB,1,NA,1
FHOD3,0,NA,0
NAIF1,1,NA,1
ENSG00000272106.1,NA,NA,0
TIMM17A,1,NA,1
RFK,1,NA,1
SHCBP1,1,NA,1
FAM241B,NA,NA,0
MTO1,1,NA,1
ENC1,1,NA,1
PAXIP1-DT,NA,NA,0
PLRG1,1,NA,1
VEGFD,NA,NA,0
RHNO1,1,NA,1
MLLT6,1,NA,1
P2RY6,0,NA,0
CFAP53,NA,NA,0
GGNBP2,1,NA,1
PRADC1,1,NA,1
BRWD3,1,NA,1
NTPCR,0,NA,0
ZFAND4,1,NA,1
KLHL30-AS1,NA,NA,0
ABRAXAS2,NA,NA,0
AGAP5,0,NA,0
ENSG00000280287.1,NA,NA,0
CAB39,1,NA,1
FUT10,1,NA,1
CORO1B,1,NA,1
N4BP2L2-IT2,0,NA,0
MUS81,1,1,1
GABPB1-IT1,NA,NA,0
ENSG00000285336.1,NA,NA,0
SENP8,0,NA,0
MAP3K11,1,NA,1
ENSG00000287809.1,NA,NA,0
ADAMTS7,1,NA,1
ENSG00000287570.1,NA,NA,0
THAP2,1,NA,1
PRRC2B,0,NA,0
FAM111A,1,NA,1
TACO1,1,NA,1
MARF1,NA,NA,0
SCAI,1,NA,1
ENSG00000289293.1,NA,NA,0
RALGPS1,1,NA,1
MBD6,1,NA,1
KCTD13,1,NA,1
ATR,1,NA,1
DMAC1,NA,NA,0
ZIC4,0,NA,0
LAMB1,1,NA,1
ERC1,1,NA,1
SPSB4,0,NA,0
MRPL15,1,NA,1
CCDC14,1,NA,1
CCT4,1,NA,1
TRAPPC2L,1,1,1
SLC35E3,1,NA,1
NDUFAF1,1,NA,1
KLHL26,1,NA,1
B3GNTL1,1,NA,1
RTTN,1,NA,1
OR10AB1P,NA,NA,0
ATAD1,1,NA,1
ARHGAP24,1,NA,1
RUFY1,1,NA,1
CDK5R1,1,NA,1
ETNK1,1,NA,1
MTX3,1,NA,1
TRAPPC11,1,NA,1
PIDD1,1,NA,1
ZNF518A,1,NA,1
NDUFA9,1,NA,1
SIN3A,1,1,1
FAM222A,1,NA,1
ZBTB41,1,NA,1
GLTP,0,NA,0
DMAP1,1,NA,1
LCORL,1,NA,1
MYG1,NA,NA,0
IMP3,1,NA,1
STON2,0,NA,0
GOLGA8Q,NA,NA,0
EIF4EBP1,1,NA,1
ALS2CL,1,NA,1
FAXDC2,0,NA,0
SLC25A20,1,NA,1
FAM174C,NA,NA,0
MAN2C1,1,NA,1
DHFR2,NA,NA,0
RHOT2,1,NA,1
STAT2,1,NA,1
GVQW3,NA,NA,0
PCTP,1,NA,1
FUCA1,1,NA,1
EVI5L,1,NA,1
DNHD1,0,NA,0
IRF2BP1,1,NA,1
ARID3B,1,1,1
MTSS1,1,NA,1
MRPL24,1,NA,1
METTL25B,NA,NA,0
ZNF594,1,NA,1
GABPB2,1,NA,1
SLC25A42,1,NA,1
SGSH,1,NA,1
ZNF678,1,NA,1
ABHD1,1,NA,1
PRKAG1,1,NA,1
PDIA6,1,NA,1
SLC2A4,1,NA,1
GRIP2,0,NA,0
EXOSC10,1,NA,1
EXOC7,1,NA,1
MALT1,1,NA,1
LIMD1,1,NA,1
CNOT10,1,NA,1
PAQR7,1,NA,1
TMEM108,0,NA,0
C12orf60,0,NA,0
ATG3,1,NA,1
ABAT,1,NA,1
SF3A3,1,NA,1
CISD2,1,NA,1
CEP19,1,NA,1
BMP8A,0,NA,0
ZNF703,1,1,1
C22orf46,NA,NA,0
PGP,1,1,1
TMEM255B,0,NA,0
TXNRD2,1,NA,1
ZBTB37,1,NA,1
PTGES2,1,NA,1
MUC6,0,NA,0
PARD3,0,NA,0
ZSWIM9,NA,NA,0
ZNF266,1,NA,1
FAM174B,0,NA,0
HIKESHI,NA,NA,0
ZBTB3,1,NA,1
L3MBTL1,0,NA,0
LSM14B,1,NA,1
SETD4,1,NA,1
FAM186A,1,NA,1
EID2B,1,NA,1
BCL9L,1,NA,1
ATP5F1A,NA,NA,0
CCDC121,1,NA,1
LYRM7,1,NA,1
GGPS1,1,NA,1
RNF220,1,NA,1
SPOCK1,0,NA,0
FOXD3,0,NA,0
CYRIB,NA,NA,0
VMAC,1,NA,1
MAN1B1,1,NA,1
NHLRC1,1,NA,1
PRKCA,0,NA,0
KLHL17,1,NA,1
NEIL2,1,NA,1
ATP5MC3,NA,NA,0
BLOC1S5,1,NA,1
OBSCN,0,NA,0
SBK1,0,NA,0
NDOR1,1,NA,1
ATP5PF,NA,NA,0
OXA1L,1,NA,1
MSANTD1,0,NA,0
FAM78B,1,NA,1
LINC00324,1,NA,1
ZKSCAN3,1,NA,1
KCTD21,1,NA,1
AIFM1,0,NA,0
RASSF10,1,NA,1
KLHL28,1,NA,1
FAM53B,1,NA,1
EXOG,1,NA,1
ZNF766,1,NA,1
LCOR,1,NA,1
C12orf43,0,NA,0
FAM217B,0,NA,0
CGB7,0,NA,0
ZNF493,1,NA,1
EPHB4,1,NA,1
TOMM40L,1,NA,1
COPG2,0,NA,0
ZNF775,1,NA,1
SNF8,1,NA,1
PLAG1,1,NA,1
AJAP1,0,NA,0
ATP5MC1,NA,NA,0
ZNF875,NA,NA,0
BORCS6,NA,NA,0
CBR1,1,NA,1
FIGN,1,NA,1
TRPV1,0,NA,0
ZFP62,1,NA,1
ZNF431,0,NA,0
ABCB8,1,NA,1
PCNX3,NA,NA,0
FLAD1,1,NA,1
GSTK1,1,NA,1
ASB7,1,NA,1
PMF1,1,NA,1
FBXL22,1,NA,1
MRPL54,1,NA,1
ZNF81,0,NA,0
HOXA4,1,NA,1
SNRNP25,1,NA,1
GOLGA6L9,0,NA,0
CCR10,1,NA,1
ZNF251,1,NA,1
PAQR4,1,NA,1
RPS6KA4,1,NA,1
SZT2,1,NA,1
ZNF445,1,NA,1
CNGA1,0,NA,0
ZNF808,0,NA,0
NAXE,NA,NA,0
C6orf89,0,NA,0
BOLA3,1,NA,1
SERPINI1,1,NA,1
MSRB1,1,NA,1
ROR1,1,NA,1
MT-ND6,NA,NA,0
SUCLG1,1,NA,1
MT-ND5,NA,NA,0
ITPRIPL1,1,NA,1
ZNF566,1,NA,1
C6orf163,NA,NA,0
APEH,1,NA,1
CCDC160,0,NA,0
NDUFAF2,1,NA,1
UQCC3,1,NA,1
ODAD4,NA,NA,0
TRIQK,1,NA,1
GPATCH8,1,NA,1
KDM1B,1,NA,1
FBXO48,1,NA,1
TLR5,1,NA,1
ATP5F1C,NA,NA,0
TECPR1,1,NA,1
CCDC85C,0,NA,0
ATP6AP1L,0,NA,0
PLPP6,NA,NA,0
CIAO2A,NA,NA,0
COL4A5,1,NA,1
TMEM120B,1,NA,1
C21orf62-AS1,NA,NA,0
PHB,1,NA,1
NHLRC3,1,NA,1
ENSG00000206549.13,NA,NA,0
CFAP44,0,NA,0
URM1,1,NA,1
GOLGA2,1,NA,1
ATP5MG,NA,NA,0
UBE2Q2P1,1,NA,1
ASIC3,1,NA,1
ENDOG,1,NA,1
ZNF611,0,NA,0
GTF2H4,0,NA,0
ZNF33A,1,NA,1
ZNF337-AS1,NA,NA,0
SCART1,NA,NA,0
YIF1B,0,NA,0
NUDT8,1,NA,1
TTC3P1,0,NA,0
NDUFV1,1,NA,1
NUTM2D,0,NA,0
NKIRAS2,1,NA,1
SULT1A1,0,NA,0
MIR99AHG,0,NA,0
VPS37C,1,NA,1
PEX26,1,NA,1
LINC01356,NA,NA,0
SERINC2,0,NA,0
NBPF1,1,NA,1
PDXDC2P-NPIPB14P,NA,NA,0
LINC00339,1,NA,1
TCAF1P1,NA,NA,0
UQCRFS1,0,NA,0
LINP1,NA,NA,0
SF3B5,1,NA,1
PUSL1,1,NA,1
LINC01422,NA,NA,0
EDRF1-DT,NA,NA,0
RTCA-AS1,NA,NA,0
GON7,NA,NA,0
NDUFA3,1,NA,1
ENSG00000224848.3,NA,NA,0
NUDT9,1,NA,1
MTM1,0,NA,0
JPX,1,1,1
GRTP1-AS1,NA,NA,0
TRIM8,1,NA,1
JAGN1,1,NA,1
PDCD1LG2,1,NA,1
ENSG00000228366.1,NA,NA,0
ETFDH,1,NA,1
KIF9-AS1,NA,NA,0
MAN1A2,1,NA,1
ORMDL3,1,NA,1
NUTM2E,NA,NA,0
KHDC1-AS1,NA,NA,0
MRPL13,1,NA,1
DDRGK1,1,NA,1
GOLGA6L5P,0,NA,0
LINC02613,NA,NA,0
FAAHP1,NA,NA,0
CCDC69,1,NA,1
MCTS1,1,NA,1
ENSG00000232098.3,NA,NA,0
LINC01137,NA,NA,0
SLC9A6,0,NA,0
MFAP1P1,NA,NA,0
TMEM167A,1,NA,1
SLC25A25-AS1,NA,NA,0
LDB1,1,NA,1
MICOS13,NA,NA,0
ACTG1P4,NA,NA,0
CD247,0,NA,0
HGH1,0,NA,0
SH3BP5L,1,NA,1
PACS1,1,NA,1
GAL3ST3,1,NA,1
PKMP1,NA,NA,0
LINC00707,NA,NA,0
LSM1,1,NA,1
LCN8,1,NA,1
LINC01409,NA,NA,0
ALKBH6,1,NA,1
SCARNA7,0,NA,0
SLC35A4,1,1,1
COX19,1,NA,1
INMT,0,NA,0
ENSG00000244055.2,NA,NA,0
PRR3,0,NA,0
NFS1,1,NA,1
ENSG00000244480.1,NA,NA,0
ZNF616,1,NA,1
PDCL3P4,NA,NA,0
ALDH1L1-AS2,NA,NA,0
TCTN1,1,NA,1
PTCHD4,0,NA,0
ARIH2,1,NA,1
SRP14-DT,NA,NA,0
RABEP2,1,NA,1
HS3ST5,0,NA,0
LIN52,1,NA,1
ENSG00000249626.1,NA,NA,0
HERC2P9,0,NA,0
PNPLA2,1,NA,1
GLI4,1,NA,1
ENSG00000205959.4,NA,NA,0
HASPIN,NA,NA,0
YJEFN3,0,NA,0
LINC01301,NA,NA,0
ZBED3-AS1,NA,NA,0
MPI,1,NA,1
LINC01089,NA,1,1
TUG1,1,NA,1
EIF3K,1,NA,1
HOXA-AS3,NA,NA,0
ENSG00000254363.6,NA,NA,0
LSMEM2,0,NA,0
WAC-AS1,NA,NA,0
CYC1,1,NA,1
ENSG00000254469.9,NA,NA,0
PLD6,1,1,1
TMEM9B-AS1,NA,NA,0
ZFPM1,1,NA,1
ENSG00000254833.1,NA,NA,0
FAHD1,1,NA,1
ENSG00000255426.1,NA,NA,0
NPIPA8,NA,NA,0
HMBS,1,NA,1
MIRLET7IHG,NA,NA,0
COPG1,1,NA,1
ENSG00000258634.3,NA,NA,0
