"Cluster","EdgeBetweenness","interaction","modality","name","Peak_chr","Peak_end","Peak_start","regulator_id","selected","shared interaction","shared name","site","source","strand","Target_gene_id","target_id","TF_id","tissue","Weight"
"11","501396.95216449694","regulates","EE","MEF2A (regulates) HNRNPK","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) HNRNPK","S98s","SCION","","","ENSG00000165119.21","","muscle","0.147614247341002"
"5","1.2362184868215871E8","regulates","RE","NFIB (regulates) HES1","",,,"O00712_S264s","false","regulates","NFIB (regulates) HES1","S264s","SCION","","","ENSG00000114315.4","","muscle","0.357834785276814"
"5","557419.998684656","regulates","RE","NFIB (regulates) CSNK1A1","",,,"O00712_S264s","false","regulates","NFIB (regulates) CSNK1A1","S264s","SCION","","","ENSG00000113712.19","","muscle","0.28786103856793"
"11","11511.54148629185","regulates","EE","MEF2A (regulates) NIPBL","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) NIPBL","S98s","SCION","","","ENSG00000164190.19","","muscle","0.169543998014706"
,"421844.3481147851","binds","","NR4A1 (binds) HNRNPU","chr1","244846778","244846119","","false","binds","NR4A1 (binds) HNRNPU","","MAGICAL","-","ENSG00000153187.20","","ENSG00000123358.20","",
"11","101622.48002830341","regulates","EE","MEF2A (regulates) SNIP1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SNIP1","S98s","SCION","","","ENSG00000163877.11","","muscle","0.128011941967107"
,"152003.99783548072","binds","","FOSL2 (binds) CCN1","chr1","85522029","85521046","","false","binds","FOSL2 (binds) CCN1","","MAGICAL","+","ENSG00000142871.18","","ENSG00000075426.12","",
,"599621.631522383","binds","","JUN (binds) EEA1","chr12","92861116","92859460","","false","binds","JUN (binds) EEA1","","MAGICAL","-","ENSG00000102189.17","","ENSG00000177606.8","",
"11","1051475.6375458539","regulates","EE","MEF2A (regulates) TIPARP","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TIPARP","S98sT108t","SCION","","","ENSG00000163659.13","","muscle","0.198423445523712"
,"46299.40629092857","binds","","JUN (binds) PDCD7","chr15","65163768","65163034","","false","binds","JUN (binds) PDCD7","","MAGICAL","-","ENSG00000090470.15","","ENSG00000177606.8","",
"5","1061067.0259004238","regulates","RE","NFIB (regulates) NEDD9","",,,"O00712_S264s","false","regulates","NFIB (regulates) NEDD9","S264s","SCION","","","ENSG00000111859.17","","muscle","0.310373698381267"
"4","58796.06666666607","regulates","EE","NFIB (regulates) ASB5","",,,"O00712_S265s","false","regulates","NFIB (regulates) ASB5","S265s","SCION","","","ENSG00000164122.9","","muscle","0.136578681413646"
,"142101.00572956193","binds","","NR4A1 (binds) RCAN1","chr21","34522983","34522212","","false","binds","NR4A1 (binds) RCAN1","","MAGICAL","-","ENSG00000159200.18","","ENSG00000123358.20","",
"11","14819.3214285719","regulates","EE","MEF2A (regulates) ARL5A","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ARL5A","S98sT108t","SCION","","","ENSG00000162980.17","","muscle","0.208434158063402"
"1","5235.587123987447","regulates","EE","HES1 (regulates) LIMS1","",,,"Q14469_S12s","false","regulates","HES1 (regulates) LIMS1","S12s","SCION","","","ENSG00000169756.16","","muscle","0.117629846377395"
"11","247765.89393939063","regulates","EE","MEF2A (regulates) IER5","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) IER5","S98sT108t","SCION","","","ENSG00000162783.11","","muscle","0.208386309273165"
"11","25828.52023809792","regulates","EE","MEF2A (regulates) SQSTM1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SQSTM1","S98s","SCION","","","ENSG00000161011.20","","muscle","0.256440111696754"
"5","138550.85019840978","regulates","RE","NFIB (regulates) TFAM","",,,"O00712_S264s","false","regulates","NFIB (regulates) TFAM","S264s","SCION","","","ENSG00000108064.11","","muscle","0.294986556525144"
"13","474942.8403235524","regulates","RE","NFIC (regulates) TOM1","",,,"P08651_S333s","false","regulates","NFIC (regulates) TOM1","S333s","SCION","","","ENSG00000100284.22","","muscle","0.113390078387549"
"11","1196557.0","regulates","EE","MEF2A (regulates) CACHD1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) CACHD1","S98s","SCION","","","ENSG00000158966.16","","muscle","0.256546985394388"
,"290024.61857281544","binds","","FOSL2 (binds) HNRNPU","chr1","244846778","244846119","","false","binds","FOSL2 (binds) HNRNPU","","MAGICAL","-","ENSG00000153187.20","","ENSG00000075426.12","",
,"163229.68582252684","binds","","NR4A1 (binds) ABRA","chr8","106767937","106767156","","false","binds","NR4A1 (binds) ABRA","","MAGICAL","-","ENSG00000174429.4","","ENSG00000123358.20","",
,"124758.74948106935","binds","","NR4A1 (binds) PDK4","chr7","95582912","95581884","","false","binds","NR4A1 (binds) PDK4","","MAGICAL","-","ENSG00000004799.8","","ENSG00000123358.20","",
"13","57162.61038960986","regulates","RE","NFIC (regulates) IZUMO4","",,,"P08651_S333s","false","regulates","NFIC (regulates) IZUMO4","S333s","SCION","","","ENSG00000099840.14","","muscle","0.10589065823159"
"10","4014.435881370327","regulates","EE","TMF1 (regulates) POFUT1","",,,"P82094_S344s","false","regulates","TMF1 (regulates) POFUT1","S344s","SCION","","","ENSG00000101346.14","","muscle","0.171115803851509"
"11","22605.91168831063","regulates","EE","MEF2A (regulates) UBALD1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) UBALD1","S98s","SCION","","","ENSG00000153443.13","","muscle","0.15464596200281"
"11","12766.276256912297","regulates","EE","MEF2A (regulates) NR4A2","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) NR4A2","S98s","SCION","","","ENSG00000153234.15","","muscle","0.107655607470049"
"13","598407.6605338856","regulates","RE","NFIC (regulates) IKZF5","",,,"P08651_S333s","false","regulates","NFIC (regulates) IKZF5","S333s","SCION","","","ENSG00000095574.12","","muscle","0.174209488297792"
,"18117.083603239695","binds","","JUN (binds) SLK","chr10","104029844","104029283","","false","binds","JUN (binds) SLK","","MAGICAL","+","ENSG00000065613.15","","ENSG00000177606.8","",
,"58723.45202075606","binds","","FOSL2 (binds) NEAT1","chr11","65426505","65426246","","false","binds","FOSL2 (binds) NEAT1","","MAGICAL","+","ENSG00000245532.10","","ENSG00000075426.12","",
"11","7840.196356274968","regulates","EE","MEF2A (regulates) RANBP2","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) RANBP2","S98s","SCION","","","ENSG00000153201.16","","muscle","0.14752184346104"
,"246419.8169719088","binds","","NR4A1 (binds) CCN1","chr1","85557129","85555916","","false","binds","NR4A1 (binds) CCN1","","MAGICAL","+","ENSG00000142871.18","","ENSG00000123358.20","",
,"62499.19365079367","binds","","FOSL2 (binds) JOSD1","chr22","38607016","38605935","","false","binds","FOSL2 (binds) JOSD1","","MAGICAL","-","ENSG00000100221.11","","ENSG00000075426.12","",
"11","8516.793233809245","regulates","EE","MEF2A (regulates) BAG3","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) BAG3","S98s","SCION","","","ENSG00000151929.10","","muscle","0.111257025319516"
"11","532973.083333278","regulates","EE","MEF2A (regulates) SAV1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) SAV1","S98sT108t","SCION","","","ENSG00000151748.15","","muscle","0.100615585061098"
"1","30942.121745198816","regulates","EE","HES1 (regulates) NFIL3","",,,"Q14469_S12s","false","regulates","HES1 (regulates) NFIL3","S12s","SCION","","","ENSG00000165030.4","","muscle","0.258906668267405"
,"343667.22608228144","binds","","NR4A1 (binds) OTUD1","chr10","23403639","23403325","","false","binds","NR4A1 (binds) OTUD1","","MAGICAL","+","ENSG00000165312.7","","ENSG00000123358.20","",
"5","1406803.6714863707","regulates","RE","NFIB (regulates) EEA1","",,,"O00712_S264s","false","regulates","NFIB (regulates) EEA1","S264s","SCION","","","ENSG00000102189.17","","muscle","0.108123232729352"
"11","9876.469230768917","regulates","EE","MEF2A (regulates) CRIM1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) CRIM1","S98sT108t","SCION","","","ENSG00000150938.10","","muscle","0.163508618883827"
"1","49520.03225108364","regulates","EE","HES1 (regulates) HMGB2","",,,"Q14469_S12s","false","regulates","HES1 (regulates) HMGB2","S12s","SCION","","","ENSG00000164104.12","","muscle","0.513538763802437"
,"14286.620906725442","binds","","JUN (binds) DIAPH1","chr5","141617484","141617284","","false","binds","JUN (binds) DIAPH1","","MAGICAL","-","ENSG00000131504.18","","ENSG00000177606.8","",
,"261054.0452380709","binds","","FOSL2 (binds) LMOD2","chr7","123659783","123658840","","false","binds","FOSL2 (binds) LMOD2","","MAGICAL","+","ENSG00000170807.12","","ENSG00000075426.12","",
"11","665735.7620213113","regulates","EE","MEF2A (regulates) ARID5B","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ARID5B","S98sT108t","SCION","","","ENSG00000150347.17","","muscle","0.127778945532518"
"11","504316.5164502249","regulates","EE","MEF2A (regulates) JPH2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) JPH2","S98sT108t","SCION","","","ENSG00000149596.7","","muscle","0.115858260178469"
,"51022.79074357","binds","","FOSL2 (binds) RCAN1","chr21","34527271","34526553","","false","binds","FOSL2 (binds) RCAN1","","MAGICAL","-","ENSG00000159200.18","","ENSG00000075426.12","",
"11","334440.62500000966","regulates","EE","MEF2A (regulates) SESN3","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) SESN3","S98sT108t","SCION","","","ENSG00000149212.12","","muscle","0.146048973648422"
"5","100518.69372294181","regulates","RE","NFIB (regulates) ABHD4","",,,"O00712_S264s","false","regulates","NFIB (regulates) ABHD4","S264s","SCION","","","ENSG00000100439.11","","muscle","0.231005410112526"
,"63610.80164834858","binds","","FOSL2 (binds) IRS2","chr13","109840903","109840167","","false","binds","FOSL2 (binds) IRS2","","MAGICAL","-","ENSG00000185950.9","","ENSG00000075426.12","",
"11","6823.9523809521215","regulates","EE","MEF2A (regulates) PARD3","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) PARD3","S98sT108t","SCION","","","ENSG00000148498.16","","muscle","0.13040595229847"
"11","11555.53469439146","regulates","EE","MEF2A (regulates) OGT","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) OGT","S98sT108t","SCION","","","ENSG00000147162.14","","muscle","0.151432803662036"
"5","21152.108333332188","regulates","RE","NFIB (regulates) JOSD1","",,,"O00712_S264s","false","regulates","NFIB (regulates) JOSD1","S264s","SCION","","","ENSG00000100221.11","","muscle","0.117737961217838"
,"1693170.9435200172","binds","","FOSL2 (binds) NFIL3","chr9","91419631","91419273","","false","binds","FOSL2 (binds) NFIL3","","MAGICAL","-","ENSG00000165030.4","","ENSG00000075426.12","",
"5","708772.1832570322","regulates","RE","NFIB (regulates) KCNK6","",,,"O00712_S264s","false","regulates","NFIB (regulates) KCNK6","S264s","SCION","","","ENSG00000099337.5","","muscle","0.196401516755621"
,"0.0","binds","","FOSL2 (binds) FOSL2","chr2","28410222","28409010","","false","binds","FOSL2 (binds) FOSL2","","MAGICAL","+","ENSG00000075426.12","","ENSG00000075426.12","",
"11","15072.142496392786","regulates","EE","MEF2A (regulates) PAM","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) PAM","S98s","SCION","","","ENSG00000145730.21","","muscle","0.167581639240333"
"11","1.626035386354453E7","regulates","EE","MEF2A (regulates) TMF1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) TMF1","S98s","SCION","","","ENSG00000144747.17","","muscle","0.118479533316211"
"4","945221.0490260565","regulates","EE","NFIB (regulates) EIF4E","",,,"O00712_S333s","false","regulates","NFIB (regulates) EIF4E","S333s","SCION","","","ENSG00000151247.13","","muscle","0.10068782297537"
"11","1016851.172077909","regulates","EE","MEF2A (regulates) KANSL1L","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) KANSL1L","S98sT108t","SCION","","","ENSG00000144445.17","","muscle","0.15882337537232"
"11","553299.562276435","regulates","EE","MEF2A (regulates) GATAD2B","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) GATAD2B","S98s","SCION","","","ENSG00000143614.10","","muscle","0.205250557082264"
"1","9469.927112135809","regulates","EE","HES1 (regulates) HNRNPU","",,,"Q14469_S12s","false","regulates","HES1 (regulates) HNRNPU","S12s","SCION","","","ENSG00000153187.20","","muscle","0.366320566550052"
"11","8331.772957477284","regulates","EE","MEF2A (regulates) TP53BP2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TP53BP2","S98sT108t","SCION","","","ENSG00000143514.17","","muscle","0.132786104453802"
"13","5351781.6809984725","regulates","RE","NFIC (regulates) MEF2A","",,,"P08651_S333s","false","regulates","NFIC (regulates) MEF2A","S333s","SCION","","","ENSG00000068305.18","","muscle","0.155619751518246"
,"59739.75210623221","binds","","FOSL2 (binds) ABRA","chr8","106783505","106783054","","false","binds","FOSL2 (binds) ABRA","","MAGICAL","-","ENSG00000174429.4","","ENSG00000075426.12","",
,"259836.15952382225","binds","","FOSL2 (binds) OTUD1","chr10","23370640","23369848","","false","binds","FOSL2 (binds) OTUD1","","MAGICAL","+","ENSG00000165312.7","","ENSG00000075426.12","",
,"43979.95674603334","binds","","FOSL2 (binds) PDK4","chr7","95689521","95688746","","false","binds","FOSL2 (binds) PDK4","","MAGICAL","-","ENSG00000004799.8","","ENSG00000075426.12","",
"13","140946.53571428556","regulates","RE","NFIC (regulates) PIAS1","",,,"P08651_S333s","false","regulates","NFIC (regulates) PIAS1","S333s","SCION","","","ENSG00000033800.14","","muscle","0.278348479575085"
,"831697.2130665071","binds","","FOSL2 (binds) NR4A2","chr2","156333341","156331888","","false","binds","FOSL2 (binds) NR4A2","","MAGICAL","-","ENSG00000153234.15","","ENSG00000075426.12","",
"11","92886.14960318091","regulates","EE","MEF2A (regulates) SBNO1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SBNO1","S98s","SCION","","","ENSG00000139697.14","","muscle","0.155151764433799"
,"14376.494778613987","binds","","JUN (binds) POFUT1","chr20","32286406","32285176","","false","binds","JUN (binds) POFUT1","","MAGICAL","+","ENSG00000101346.14","","ENSG00000177606.8","",
"11","661043.3222804902","regulates","EE","MEF2A (regulates) ETV6","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) ETV6","S98s","SCION","","","ENSG00000139083.11","","muscle","0.219034191178023"
,"15429.172186147307","binds","","JUN (binds) LRRFIP2","chr3","37198849","37196857","","false","binds","JUN (binds) LRRFIP2","","MAGICAL","-","ENSG00000093167.18","","ENSG00000177606.8","",
,"187872.66226553457","binds","","NR4A1 (binds) ETS2","chr21","38821561","38820532","","false","binds","NR4A1 (binds) ETS2","","MAGICAL","+","ENSG00000157557.13","","ENSG00000123358.20","",
"11","51110.23333333116","regulates","EE","MEF2A (regulates) DUSP5","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) DUSP5","S98s","SCION","","","ENSG00000138166.6","","muscle","0.189603151443618"
"11","1030031.5194445013","regulates","EE","MEF2A (regulates) FAM8A1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) FAM8A1","S98sT108t","SCION","","","ENSG00000137414.7","","muscle","0.160465445650828"
"11","362747.2089002877","regulates","EE","MEF2A (regulates) MYC","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) MYC","S98s","SCION","","","ENSG00000136997.21","","muscle","0.130378084467846"
"11","21279.051465200933","regulates","EE","MEF2A (regulates) HLX","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) HLX","S98sT108t","SCION","","","ENSG00000136630.13","","muscle","0.344967982215574"
,"18051.24090909025","binds","","JUN (binds) ABHD4","chr14","22614887","22613417","","false","binds","JUN (binds) ABHD4","","MAGICAL","+","ENSG00000100439.11","","ENSG00000177606.8","",
,"77731.4277777789","binds","","FOSL2 (binds) LSMEM1","chr7","112449617","112449403","","false","binds","FOSL2 (binds) LSMEM1","","MAGICAL","+","ENSG00000181016.9","","ENSG00000075426.12","",
"11","331074.5407690384","regulates","EE","MEF2A (regulates) TBC1D4","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TBC1D4","S98sT108t","SCION","","","ENSG00000136111.14","","muscle","0.10426818225212"
"5","1036749.8725490406","regulates","RE","NFIB (regulates) ATP2B1","",,,"O00712_S264s","false","regulates","NFIB (regulates) ATP2B1","S264s","SCION","","","ENSG00000070961.16","","muscle","0.222936437112466"
"11","334143.0964285708","regulates","EE","MEF2A (regulates) APPL2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) APPL2","S98sT108t","SCION","","","ENSG00000136044.12","","muscle","0.103716547086927"
"5","30716.107954542873","regulates","RE","NFIB (regulates) NEDD4","",,,"O00712_S264s","false","regulates","NFIB (regulates) NEDD4","S264s","SCION","","","ENSG00000069869.17","","muscle","0.217139530689294"
"13","570423.1049784151","regulates","RE","NFIC (regulates) CREBBP","",,,"P08651_S333s","false","regulates","NFIC (regulates) CREBBP","S333s","SCION","","","ENSG00000005339.15","","muscle","0.205862660507221"
"11","6751.651648351285","regulates","EE","MEF2A (regulates) CEMIP2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) CEMIP2","S98sT108t","SCION","","","ENSG00000135048.14","","muscle","0.103882368131597"
"6","14631.076030667295","regulates","EE","NFIC (regulates) FABP3","",,,"P08651_S343s","false","regulates","NFIC (regulates) FABP3","S343s","SCION","","","ENSG00000121769.8","","muscle","0.129853559977186"
"11","27086.030952381352","regulates","EE","MEF2A (regulates) SYT11","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) SYT11","S98sT108t","SCION","","","ENSG00000132718.9","","muscle","0.103707436888964"
,"0.0","binds","","NR4A1 (binds) NR4A1","chr12","52046431","52045337","","false","binds","NR4A1 (binds) NR4A1","","MAGICAL","+","ENSG00000123358.20","","ENSG00000123358.20","",
"11","497975.14502166363","regulates","EE","MEF2A (regulates) BTBD3","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) BTBD3","S98s","SCION","","","ENSG00000132640.15","","muscle","0.141767692431471"
,"7434.939579718375","binds","","JUN (binds) RANBP2","chr2","108662615","108661960","","false","binds","JUN (binds) RANBP2","","MAGICAL","+","ENSG00000153201.16","","ENSG00000177606.8","",
"5","94208.30000000342","regulates","RE","NFIB (regulates) SLK","",,,"O00712_S264s","false","regulates","NFIB (regulates) SLK","S264s","SCION","","","ENSG00000065613.15","","muscle","0.211694391612873"
"11","7348.650000000345","regulates","EE","MEF2A (regulates) SYNE1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SYNE1","S98s","SCION","","","ENSG00000131018.25","","muscle","0.145745551706231"
"5","46279.5833333396","regulates","RE","NFIB (regulates) TBC1D22B","",,,"O00712_S264s","false","regulates","NFIB (regulates) TBC1D22B","S264s","SCION","","","ENSG00000065491.8","","muscle","0.228533307470704"
"11","148307.17131868037","regulates","EE","MEF2A (regulates) UBE4B","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) UBE4B","S98s","SCION","","","ENSG00000130939.20","","muscle","0.104437428952502"
"9","76192.16626984061","regulates","RE","NFIC (regulates) PIK3R3","",,,"P08651_S339s","false","regulates","NFIC (regulates) PIK3R3","S339s","SCION","","","ENSG00000117461.15","","muscle","0.175218222530959"
"11","998252.5454213276","regulates","EE","MEF2A (regulates) EIF2S3","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) EIF2S3","S98sT108t","SCION","","","ENSG00000130741.11","","muscle","0.149189987017705"
"11","19622.72002442116","regulates","EE","MEF2A (regulates) ZBTB1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ZBTB1","S98sT108t","SCION","","","ENSG00000126804.14","","muscle","0.203937957265024"
"11","159605.6620448139","regulates","EE","MEF2A (regulates) ATXN1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ATXN1","S98sT108t","SCION","","","ENSG00000124788.19","","muscle","0.10553046116704"
"1","5626.425668629247","regulates","EE","HES1 (regulates) DIAPH1","",,,"Q14469_S12s","false","regulates","HES1 (regulates) DIAPH1","S12s","SCION","","","ENSG00000131504.18","","muscle","0.119604165248043"
"11","154743.36507936358","regulates","EE","MEF2A (regulates) MPHOSPH10","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) MPHOSPH10","S98s","SCION","","","ENSG00000124383.9","","muscle","0.224626829135055"
"11","533402.1547619146","regulates","EE","MEF2A (regulates) ZNFX1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) ZNFX1","S98s","SCION","","","ENSG00000124201.15","","muscle","0.183032675496211"
"11","6928.085714285201","regulates","EE","MEF2A (regulates) EGR2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) EGR2","S98sT108t","SCION","","","ENSG00000122877.18","","muscle","0.113462597021022"
"11","502831.51666662394","regulates","EE","MEF2A (regulates) PLAU","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) PLAU","S98sT108t","SCION","","","ENSG00000122861.16","","muscle","0.138823502805927"
"11","11342.507894737448","regulates","EE","MEF2A (regulates) TBC1D15","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TBC1D15","S98sT108t","SCION","","","ENSG00000121749.16","","muscle","0.123941089076533"
,"14119.386111110978","binds","","JUN (binds) TBC1D22B","chr6","37240788","37239894","","false","binds","JUN (binds) TBC1D22B","","MAGICAL","+","ENSG00000065491.8","","ENSG00000177606.8","",
"11","585761.9004322835","regulates","EE","MEF2A (regulates) ELF1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ELF1","S98sT108t","SCION","","","ENSG00000120690.16","","muscle","0.206717684242091"
,"41461.580804941856","binds","","JUN (binds) POLR2M","chr15","57626347","57625054","","false","binds","JUN (binds) POLR2M","","MAGICAL","+","ENSG00000255529.9","","ENSG00000177606.8","",
"11","11888.20487189845","regulates","EE","MEF2A (regulates) SET","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) SET","S98sT108t","SCION","","","ENSG00000119335.18","","muscle","0.154205339653785"
"11","6100.350000000122","regulates","EE","MEF2A (regulates) CCNI","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) CCNI","S98s","SCION","","","ENSG00000118816.11","","muscle","0.22894872428481"
"11","762770.5604978412","regulates","EE","MEF2A (regulates) ATF6","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) ATF6","S98s","SCION","","","ENSG00000118217.7","","muscle","0.119049749977576"
"11","6933895.341309268","regulates","EE","MEF2A (regulates) DR1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) DR1","S98s","SCION","","","ENSG00000117505.13","","muscle","0.151102850471624"
"11","53593.832936508","regulates","EE","MEF2A (regulates) PIK3R3","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) PIK3R3","S98s","SCION","","","ENSG00000117461.15","","muscle","0.213474472471779"
"11","1205153.0","regulates","EE","MEF2A (regulates) ETV3","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) ETV3","S98s","SCION","","","ENSG00000117036.12","","muscle","0.183287380280152"
,"11737.406060607816","binds","","ZBTB6 (binds) ABRA","chr8","106783505","106783054","","false","binds","ZBTB6 (binds) ABRA","","MAGICAL","-","ENSG00000174429.4","","ENSG00000186130.5","",
"8","32831.178860029424","regulates","EE","NFIC (regulates) DEPP1","",,,"P08651_S305s","false","regulates","NFIC (regulates) DEPP1","S305s","SCION","","","ENSG00000165507.9","","muscle","0.120166047942525"
,"16779.190476191077","binds","","ZBTB6 (binds) LMOD2","chr7","123660626","123659853","","false","binds","ZBTB6 (binds) LMOD2","","MAGICAL","+","ENSG00000170807.12","","ENSG00000186130.5","",
"11","1.1723980990926951E7","regulates","EE","MEF2A (regulates) HES1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) HES1","S98sT108t","SCION","","","ENSG00000114315.4","","muscle","0.243173241555893"
"11","6288.749999999807","regulates","EE","MEF2A (regulates) CSNK1A1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) CSNK1A1","S98sT108t","SCION","","","ENSG00000113712.19","","muscle","0.116985899292993"
"11","14715.755555556243","regulates","EE","MEF2A (regulates) NEDD9","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) NEDD9","S98sT108t","SCION","","","ENSG00000111859.17","","muscle","0.37834227267567"
,"14459.48931457406","binds","","ZBTB6 (binds) NEAT1","chr11","65508918","65506502","","false","binds","ZBTB6 (binds) NEAT1","","MAGICAL","+","ENSG00000245532.10","","ENSG00000186130.5","",
"11","93240.42738095229","regulates","EE","MEF2A (regulates) NUP98","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) NUP98","S98s","SCION","","","ENSG00000110713.17","","muscle","0.22232655085115"
,"4034.0","binds","","NR1D2 (binds) WDR26","chr1","224448998","224448502","","false","binds","NR1D2 (binds) WDR26","","MAGICAL","-","ENSG00000162923.17","","ENSG00000174738.13","",
"11","8643.82222222279","regulates","EE","MEF2A (regulates) DPH1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) DPH1","S98s","SCION","","","ENSG00000108963.19","","muscle","0.147407875926069"
,"17853.002614380486","binds","","ZBTB6 (binds) DNAJB4","chr1","78019600","78018834","","false","binds","ZBTB6 (binds) DNAJB4","","MAGICAL","+","ENSG00000162616.9","","ENSG00000186130.5","",
,"21671.151948052677","binds","","JUN (binds) VCL","chr10","74029722","74029327","","false","binds","JUN (binds) VCL","","MAGICAL","+","ENSG00000035403.18","","ENSG00000177606.8","",
,"13108.687012986495","binds","","ZBTB6 (binds) JOSD1","chr22","38616152","38614736","","false","binds","ZBTB6 (binds) JOSD1","","MAGICAL","-","ENSG00000100221.11","","ENSG00000186130.5","",
,"110964.99126983975","binds","","NFIL3 (binds) OST4","chr2","27011203","27010644","","false","binds","NFIL3 (binds) OST4","","MAGICAL","-","ENSG00000228474.6","","ENSG00000165030.4","",
,"15212.633333332224","binds","","ZBTB6 (binds) GADD45G","chr9","89624645","89623772","","false","binds","ZBTB6 (binds) GADD45G","","MAGICAL","+","ENSG00000130222.11","","ENSG00000186130.5","",
"11","561835.0752926157","regulates","EE","MEF2A (regulates) MIB1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) MIB1","S98sT108t","SCION","","","ENSG00000101752.12","","muscle","0.370994342426195"
"4","22653.671428570964","regulates","RE","NFIB (regulates) ABRA","",,,"O00712_S328s","false","regulates","NFIB (regulates) ABRA","S328s","SCION","","","ENSG00000174429.4","","muscle","0.271067156118407"
,"46292.054212455274","binds","","ZBTB6 (binds) NR4A2","chr2","156333341","156331888","","false","binds","ZBTB6 (binds) NR4A2","","MAGICAL","-","ENSG00000153234.15","","ENSG00000186130.5","",
,"4034.0","binds","","NR1D2 (binds) OSBPL8","chr12","76589509","76588761","","false","binds","NR1D2 (binds) OSBPL8","","MAGICAL","-","ENSG00000091039.17","","ENSG00000174738.13","",
"11","228700.58618190693","regulates","EE","MEF2A (regulates) NFKBIA","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) NFKBIA","S98sT108t","SCION","","","ENSG00000100906.11","","muscle","0.327818553397308"
,"15338.822527472019","binds","","ZBTB6 (binds) CCN1","chr1","85582695","85582000","","false","binds","ZBTB6 (binds) CCN1","","MAGICAL","+","ENSG00000142871.18","","ENSG00000186130.5","",
"11","977027.5424907724","regulates","EE","MEF2A (regulates) PPM1A","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) PPM1A","S98sT108t","SCION","","","ENSG00000100614.18","","muscle","0.166269087073836"
,"557419.998684656","binds","","NFIB (binds) CSNK1A1","chr5","149453803","149453315","","false","binds","NFIB (binds) CSNK1A1","","MAGICAL","-","ENSG00000113712.19","","ENSG00000147862.18","",
