protein_id	gene_symbol	go_id	location	score
ENSP00000320084	CD276	GO:0005615	Extracellular space	3.143
ENSP00000320084	CD276	GO:1903561	Extracellular vesicle	2.611
ENSP00000320084	CD276	GO:0070062	Extracellular exosome	2.465
ENSP00000320089	NKX2-6	GO:0005576	Extracellular region	0.783
ENSP00000320089	NKX2-6	GO:0005615	Extracellular space	0.564
ENSP00000320092	SH3GL3	GO:0005576	Extracellular region	1.295
ENSP00000320092	SH3GL3	GO:0005615	Extracellular space	0.736
ENSP00000320092	SH3GL3	GO:1903561	Extracellular vesicle	0.731
ENSP00000320092	SH3GL3	GO:0070062	Extracellular exosome	0.548
ENSP00000320117	TRIP10	GO:0005576	Extracellular region	4.286
ENSP00000320117	TRIP10	GO:0005615	Extracellular space	4.220
ENSP00000320117	TRIP10	GO:1903561	Extracellular vesicle	4.173
ENSP00000320117	TRIP10	GO:0070062	Extracellular exosome	4.146
ENSP00000320130	DYNC1I1	GO:0005576	Extracellular region	0.854
ENSP00000320130	DYNC1I1	GO:0005615	Extracellular space	0.537
ENSP00000320147	EZH2	GO:0005576	Extracellular region	2.690
ENSP00000320147	EZH2	GO:1903561	Extracellular vesicle	2.561
ENSP00000320147	EZH2	GO:0070062	Extracellular exosome	2.545
ENSP00000320147	EZH2	GO:0005615	Extracellular space	2.535
ENSP00000320171	PKM	GO:0005576	Extracellular region	4.606
ENSP00000320171	PKM	GO:0005615	Extracellular space	4.538
ENSP00000320171	PKM	GO:1903561	Extracellular vesicle	4.526
ENSP00000320171	PKM	GO:0070062	Extracellular exosome	4.517
ENSP00000320176	HCLS1	GO:0005576	Extracellular region	2.286
ENSP00000320176	HCLS1	GO:0005615	Extracellular space	1.839
ENSP00000320176	HCLS1	GO:1903561	Extracellular vesicle	1.768
ENSP00000320176	HCLS1	GO:0070062	Extracellular exosome	1.661
ENSP00000320180	GHRHR	GO:0005576	Extracellular region	2.093
ENSP00000320180	GHRHR	GO:0005615	Extracellular space	1.537
ENSP00000320180	GHRHR	GO:1903561	Extracellular vesicle	0.753
ENSP00000320184	MRPS23	GO:0005576	Extracellular region	0.188
ENSP00000320209	CIDEA	GO:0005576	Extracellular region	2.127
ENSP00000320209	CIDEA	GO:0005615	Extracellular space	1.965
ENSP00000320209	CIDEA	GO:1903561	Extracellular vesicle	1.076
ENSP00000320209	CIDEA	GO:0070062	Extracellular exosome	0.944
ENSP00000320217	SLC26A10	GO:0005576	Extracellular region	0.907
ENSP00000320217	SLC26A10	GO:0005615	Extracellular space	0.667
ENSP00000320219	ARSJ	GO:0005576	Extracellular region	3.749
ENSP00000320236	TIMM22	GO:0005576	Extracellular region	1.015
ENSP00000320246	SLC9A9	GO:0005576	Extracellular region	1.460
ENSP00000320246	SLC9A9	GO:0005615	Extracellular space	0.991
ENSP00000320246	SLC9A9	GO:1903561	Extracellular vesicle	0.705
ENSP00000320247	AQP6	GO:0005576	Extracellular region	1.598
ENSP00000320247	AQP6	GO:0005615	Extracellular space	1.152
ENSP00000320247	AQP6	GO:1903561	Extracellular vesicle	0.886
ENSP00000320247	AQP6	GO:0070062	Extracellular exosome	0.720
ENSP00000320251	NEPRO	GO:0005576	Extracellular region	0.613
ENSP00000320291	OSBPL1A	GO:0005615	Extracellular space	4.228
ENSP00000320291	OSBPL1A	GO:0005576	Extracellular region	4.219
ENSP00000320291	OSBPL1A	GO:1903561	Extracellular vesicle	4.134
ENSP00000320291	OSBPL1A	GO:0070062	Extracellular exosome	4.104
ENSP00000320295	TUBB3	GO:0005576	Extracellular region	4.444
ENSP00000320295	TUBB3	GO:0005615	Extracellular space	4.373
ENSP00000320295	TUBB3	GO:1903561	Extracellular vesicle	4.355
ENSP00000320295	TUBB3	GO:0070062	Extracellular exosome	4.331
ENSP00000320309	FARSA	GO:0005576	Extracellular region	1.114
ENSP00000320309	FARSA	GO:1903561	Extracellular vesicle	1.000
ENSP00000320309	FARSA	GO:0070062	Extracellular exosome	0.998
ENSP00000320309	FARSA	GO:0005615	Extracellular space	0.827
ENSP00000320318	NEU4	GO:0005576	Extracellular region	1.588
ENSP00000320318	NEU4	GO:0005615	Extracellular space	1.328
ENSP00000320318	NEU4	GO:1903561	Extracellular vesicle	0.870
ENSP00000320318	NEU4	GO:0070062	Extracellular exosome	0.755
ENSP00000320324	NPEPPS	GO:0005576	Extracellular region	4.292
ENSP00000320324	NPEPPS	GO:0005615	Extracellular space	4.238
ENSP00000320324	NPEPPS	GO:1903561	Extracellular vesicle	4.199
ENSP00000320324	NPEPPS	GO:0070062	Extracellular exosome	4.177
ENSP00000320337	PLAAT3	GO:0005576	Extracellular region	1.437
ENSP00000320337	PLAAT3	GO:0005615	Extracellular space	1.200
ENSP00000320337	PLAAT3	GO:1903561	Extracellular vesicle	0.945
ENSP00000320337	PLAAT3	GO:0070062	Extracellular exosome	0.781
ENSP00000320347	ZFP3	GO:0005576	Extracellular region	0.764
ENSP00000320347	ZFP3	GO:1903561	Extracellular vesicle	0.643
ENSP00000320347	ZFP3	GO:0070062	Extracellular exosome	0.642
ENSP00000320359	IFT22	GO:0005576	Extracellular region	1.569
ENSP00000320376	P2RY13	GO:0005576	Extracellular region	2.407
ENSP00000320376	P2RY13	GO:0005615	Extracellular space	2.004
ENSP00000320376	P2RY13	GO:1903561	Extracellular vesicle	1.408
ENSP00000320376	P2RY13	GO:0070062	Extracellular exosome	1.138
ENSP00000320378	SLC7A8	GO:0005576	Extracellular region	1.841
ENSP00000320378	SLC7A8	GO:0005615	Extracellular space	1.378
ENSP00000320378	SLC7A8	GO:1903561	Extracellular vesicle	0.740
ENSP00000320378	SLC7A8	GO:0070062	Extracellular exosome	0.666
ENSP00000320401	UGT2B17	GO:0005576	Extracellular region	2.299
ENSP00000320401	UGT2B17	GO:0005615	Extracellular space	1.685
ENSP00000320401	UGT2B17	GO:1903561	Extracellular vesicle	1.109
ENSP00000320401	UGT2B17	GO:0070062	Extracellular exosome	0.797
ENSP00000320416	VPS37D	GO:0070062	Extracellular exosome	4.163
ENSP00000320416	VPS37D	GO:0005576	Extracellular region	4.162
ENSP00000320416	VPS37D	GO:1903561	Extracellular vesicle	4.159
ENSP00000320416	VPS37D	GO:0005615	Extracellular space	4.152
ENSP00000320430	S100Z	GO:0005576	Extracellular region	1.877
ENSP00000320430	S100Z	GO:0005615	Extracellular space	1.012
ENSP00000320431	ST8SIA3	GO:0005576	Extracellular region	0.930
ENSP00000320431	ST8SIA3	GO:0005615	Extracellular space	0.682
ENSP00000320431	ST8SIA3	GO:1903561	Extracellular vesicle	0.586
ENSP00000320431	ST8SIA3	GO:0070062	Extracellular exosome	0.551
ENSP00000320434	CTNNAL1	GO:0005576	Extracellular region	1.195
ENSP00000320434	CTNNAL1	GO:0005615	Extracellular space	0.737
ENSP00000320485	ARID1A	GO:0005576	Extracellular region	2.235
ENSP00000320485	ARID1A	GO:0005615	Extracellular space	1.866
ENSP00000320485	ARID1A	GO:1903561	Extracellular vesicle	1.836
ENSP00000320485	ARID1A	GO:0070062	Extracellular exosome	1.749
ENSP00000320488	NAP1L5	GO:0005576	Extracellular region	1.146
ENSP00000320508	RNF185	GO:0005576	Extracellular region	0.839
ENSP00000320508	RNF185	GO:1903561	Extracellular vesicle	0.595
ENSP00000320508	RNF185	GO:0005615	Extracellular space	0.572
ENSP00000320508	RNF185	GO:0070062	Extracellular exosome	0.512
ENSP00000320509	BANK1	GO:0005576	Extracellular region	1.723
ENSP00000320509	BANK1	GO:0005615	Extracellular space	1.699
ENSP00000320509	BANK1	GO:1903561	Extracellular vesicle	0.839
ENSP00000320520	LRRC75B	GO:0005576	Extracellular region	0.656
ENSP00000320521	FAM3A	GO:0005576	Extracellular region	4.319
ENSP00000320521	FAM3A	GO:0005615	Extracellular space	3.259
ENSP00000320521	FAM3A	GO:1903561	Extracellular vesicle	0.536
ENSP00000320532	WFDC9	GO:0005576	Extracellular region	4.200
ENSP00000320532	WFDC9	GO:0005615	Extracellular space	3.000
ENSP00000320532	WFDC9	GO:1903561	Extracellular vesicle	0.525
ENSP00000320543	EPN2	GO:0005576	Extracellular region	1.713
ENSP00000320543	EPN2	GO:0005615	Extracellular space	1.340
ENSP00000320543	EPN2	GO:1903561	Extracellular vesicle	0.952
ENSP00000320543	EPN2	GO:0070062	Extracellular exosome	0.734
ENSP00000320548	DNAJC4	GO:0005576	Extracellular region	0.094
ENSP00000320563	WDFY4	GO:0005576	Extracellular region	1.429
ENSP00000320563	WDFY4	GO:0005615	Extracellular space	1.404
ENSP00000320563	WDFY4	GO:1903561	Extracellular vesicle	0.584
ENSP00000320563	WDFY4	GO:0070062	Extracellular exosome	0.574
ENSP00000320566	ING3	GO:0005576	Extracellular region	1.151
ENSP00000320566	ING3	GO:0005615	Extracellular space	0.854
ENSP00000320566	ING3	GO:1903561	Extracellular vesicle	0.798
ENSP00000320566	ING3	GO:0070062	Extracellular exosome	0.797
ENSP00000320567	MRPS33	GO:0005576	Extracellular region	0.513
ENSP00000320604	FAXDC2	GO:0005576	Extracellular region	1.079
ENSP00000320604	FAXDC2	GO:0005615	Extracellular space	0.769
ENSP00000320634	SLCO3A1	GO:0005576	Extracellular region	1.464
ENSP00000320634	SLCO3A1	GO:0005615	Extracellular space	1.119
ENSP00000320650	DNAJC25	GO:0005576	Extracellular region	0.546
ENSP00000320658	YARS2	GO:0005576	Extracellular region	1.568
ENSP00000320658	YARS2	GO:0005615	Extracellular space	1.028
ENSP00000320658	YARS2	GO:1903561	Extracellular vesicle	0.731
ENSP00000320663	EML4	GO:0005576	Extracellular region	4.434
ENSP00000320663	EML4	GO:1903561	Extracellular vesicle	1.898
ENSP00000320663	EML4	GO:0070062	Extracellular exosome	1.865
ENSP00000320663	EML4	GO:0005615	Extracellular space	1.756
ENSP00000320679	STX19	GO:0005576	Extracellular region	1.899
ENSP00000320679	STX19	GO:0005615	Extracellular space	1.079
ENSP00000320679	STX19	GO:1903561	Extracellular vesicle	0.636
ENSP00000320688	SLC25A36	GO:0005576	Extracellular region	1.783
ENSP00000320757	TMEM150B	GO:0005576	Extracellular region	0.862
ENSP00000320757	TMEM150B	GO:0005615	Extracellular space	0.567
ENSP00000320797	TUBD1	GO:0005576	Extracellular region	0.836
ENSP00000320813	DEFB104A	GO:0005576	Extracellular region	5.000
ENSP00000320813	DEFB104A	GO:0005615	Extracellular space	1.364
ENSP00000320813	DEFB104A	GO:1903561	Extracellular vesicle	0.618
ENSP00000320815	GDPD4	GO:0005576	Extracellular region	1.178
ENSP00000320821	KIF1C	GO:0005576	Extracellular region	0.856
ENSP00000320849	CCDC184	GO:0005576	Extracellular region	0.469
ENSP00000320866	CALR	GO:0005576	Extracellular region	4.603
ENSP00000320866	CALR	GO:0005615	Extracellular space	4.560
ENSP00000320866	CALR	GO:1903561	Extracellular vesicle	4.496
ENSP00000320866	CALR	GO:0070062	Extracellular exosome	4.440
ENSP00000320869	TRIM41	GO:0005576	Extracellular region	0.848
ENSP00000320869	TRIM41	GO:0005615	Extracellular space	0.584
ENSP00000320885	SPAST	GO:0005576	Extracellular region	4.304
ENSP00000320885	SPAST	GO:0005615	Extracellular space	4.154
ENSP00000320885	SPAST	GO:1903561	Extracellular vesicle	4.121
ENSP00000320885	SPAST	GO:0070062	Extracellular exosome	4.000
ENSP00000320886	MLXIPL	GO:0005615	Extracellular space	2.617
ENSP00000320886	MLXIPL	GO:0005576	Extracellular region	2.593
ENSP00000320886	MLXIPL	GO:1903561	Extracellular vesicle	1.355
ENSP00000320886	MLXIPL	GO:0070062	Extracellular exosome	1.050
ENSP00000320898	RNF168	GO:0005576	Extracellular region	1.594
ENSP00000320898	RNF168	GO:0005615	Extracellular space	0.665
ENSP00000320924	WIPF2	GO:0005576	Extracellular region	0.588
ENSP00000320935	SLC2A4	GO:0005576	Extracellular region	3.821
ENSP00000320935	SLC2A4	GO:0005615	Extracellular space	3.717
ENSP00000320935	SLC2A4	GO:1903561	Extracellular vesicle	3.282
ENSP00000320935	SLC2A4	GO:0070062	Extracellular exosome	3.180
ENSP00000320936	IL17RA	GO:0005576	Extracellular region	4.475
ENSP00000320936	IL17RA	GO:0005615	Extracellular space	3.049
ENSP00000320936	IL17RA	GO:1903561	Extracellular vesicle	1.738
ENSP00000320936	IL17RA	GO:0070062	Extracellular exosome	1.557
ENSP00000320949	CNOT1	GO:0005576	Extracellular region	4.371
ENSP00000320949	CNOT1	GO:0005615	Extracellular space	4.284
ENSP00000320949	CNOT1	GO:1903561	Extracellular vesicle	1.135
ENSP00000320949	CNOT1	GO:0070062	Extracellular exosome	1.083
ENSP00000320951	DEFB103A	GO:0005576	Extracellular region	5.000
ENSP00000320951	DEFB103A	GO:0005615	Extracellular space	5.000
ENSP00000320951	DEFB103A	GO:1903561	Extracellular vesicle	1.307
ENSP00000320951	DEFB103A	GO:0070062	Extracellular exosome	0.909
ENSP00000320957	VGLL2	GO:0005576	Extracellular region	1.115
ENSP00000321005	CD300LG	GO:0005576	Extracellular region	2.242
ENSP00000321005	CD300LG	GO:0005615	Extracellular space	1.208
ENSP00000321005	CD300LG	GO:1903561	Extracellular vesicle	0.509
ENSP00000321026	LURAP1L	GO:0005576	Extracellular region	0.281
ENSP00000321038	TMEM86B	GO:0005576	Extracellular region	0.808
ENSP00000321038	TMEM86B	GO:0005615	Extracellular space	0.633
ENSP00000321070	ME2	GO:0005576	Extracellular region	1.129
ENSP00000321070	ME2	GO:0005615	Extracellular space	0.625
ENSP00000321077	SIGLEC8	GO:0005576	Extracellular region	3.306
ENSP00000321077	SIGLEC8	GO:0005615	Extracellular space	1.506
ENSP00000321077	SIGLEC8	GO:1903561	Extracellular vesicle	1.015
ENSP00000321077	SIGLEC8	GO:0070062	Extracellular exosome	0.618
ENSP00000321106	TAC1	GO:0005576	Extracellular region	5.000
ENSP00000321106	TAC1	GO:0005615	Extracellular space	3.991
ENSP00000321106	TAC1	GO:1903561	Extracellular vesicle	1.881
ENSP00000321106	TAC1	GO:0070062	Extracellular exosome	1.641
ENSP00000321108	SPOCK2	GO:0005576	Extracellular region	4.377
ENSP00000321108	SPOCK2	GO:0005615	Extracellular space	3.486
ENSP00000321108	SPOCK2	GO:1903561	Extracellular vesicle	0.883
ENSP00000321108	SPOCK2	GO:0070062	Extracellular exosome	0.682
ENSP00000321179	RBM44	GO:0005576	Extracellular region	4.204
ENSP00000321195	ATP11B	GO:0005576	Extracellular region	1.131
ENSP00000321195	ATP11B	GO:0005615	Extracellular space	0.901
ENSP00000321195	ATP11B	GO:1903561	Extracellular vesicle	0.878
ENSP00000321195	ATP11B	GO:0070062	Extracellular exosome	0.839
ENSP00000321203	TNIP2	GO:0005576	Extracellular region	1.619
ENSP00000321203	TNIP2	GO:0005615	Extracellular space	1.293
ENSP00000321203	TNIP2	GO:1903561	Extracellular vesicle	0.872
ENSP00000321203	TNIP2	GO:0070062	Extracellular exosome	0.834
ENSP00000321221	SH2B1	GO:0005576	Extracellular region	1.595
ENSP00000321221	SH2B1	GO:0005615	Extracellular space	1.507
ENSP00000321221	SH2B1	GO:1903561	Extracellular vesicle	0.585
ENSP00000321239	RCHY1	GO:0005576	Extracellular region	2.566
ENSP00000321239	RCHY1	GO:0005615	Extracellular space	0.992
ENSP00000321239	RCHY1	GO:1903561	Extracellular vesicle	0.772
ENSP00000321249	SIGLECL1	GO:0005576	Extracellular region	0.844
ENSP00000321259	TALDO1	GO:0005576	Extracellular region	4.407
ENSP00000321259	TALDO1	GO:0005615	Extracellular space	4.319
ENSP00000321259	TALDO1	GO:1903561	Extracellular vesicle	4.300
ENSP00000321259	TALDO1	GO:0070062	Extracellular exosome	4.267
ENSP00000321260	COX8A	GO:0005576	Extracellular region	2.139
ENSP00000321260	COX8A	GO:1903561	Extracellular vesicle	1.547
ENSP00000321260	COX8A	GO:0005615	Extracellular space	1.509
ENSP00000321260	COX8A	GO:0070062	Extracellular exosome	1.359
ENSP00000321271	PXMP2	GO:0005576	Extracellular region	2.346
ENSP00000321309	VCX2	GO:0005576	Extracellular region	0.617
ENSP00000321320	HGH1	GO:0005576	Extracellular region	1.125
ENSP00000321326	F2R	GO:0005576	Extracellular region	4.539
ENSP00000321326	F2R	GO:1903561	Extracellular vesicle	2.371
ENSP00000321326	F2R	GO:0005615	Extracellular space	2.239
ENSP00000321326	F2R	GO:0070062	Extracellular exosome	1.719
ENSP00000321330	RNF144A	GO:0005576	Extracellular region	0.808
ENSP00000321330	RNF144A	GO:0005615	Extracellular space	0.559
ENSP00000321330	RNF144A	GO:1903561	Extracellular vesicle	0.527
ENSP00000321334	LPA	GO:0005576	Extracellular region	4.794
ENSP00000321334	LPA	GO:0005615	Extracellular space	4.693
ENSP00000321334	LPA	GO:1903561	Extracellular vesicle	1.553
ENSP00000321334	LPA	GO:0070062	Extracellular exosome	1.300
ENSP00000321345	IL23R	GO:0005576	Extracellular region	3.433
ENSP00000321345	IL23R	GO:0005615	Extracellular space	3.381
ENSP00000321345	IL23R	GO:1903561	Extracellular vesicle	1.303
ENSP00000321345	IL23R	GO:0070062	Extracellular exosome	1.093
ENSP00000321346	TTLL11	GO:0005576	Extracellular region	0.669
ENSP00000321347	STRBP	GO:0005576	Extracellular region	1.370
ENSP00000321347	STRBP	GO:0005615	Extracellular space	1.116
ENSP00000321348	DIAPH2	GO:0005576	Extracellular region	1.242
ENSP00000321348	DIAPH2	GO:0005615	Extracellular space	0.739
ENSP00000321360	C14orf177	GO:0005576	Extracellular region	1.875
ENSP00000321370	ZBED2	GO:0005576	Extracellular region	1.109
ENSP00000321370	ZBED2	GO:0005615	Extracellular space	0.951
ENSP00000321370	ZBED2	GO:1903561	Extracellular vesicle	0.689
ENSP00000321370	ZBED2	GO:0070062	Extracellular exosome	0.645
ENSP00000321386	FBXO39	GO:0005576	Extracellular region	0.680
ENSP00000321386	FBXO39	GO:1903561	Extracellular vesicle	0.562
ENSP00000321388	ASB4	GO:0005576	Extracellular region	1.104
ENSP00000321388	ASB4	GO:0005615	Extracellular space	0.890
ENSP00000321388	ASB4	GO:1903561	Extracellular vesicle	0.513
ENSP00000321424	SLC34A1	GO:0005576	Extracellular region	1.904
ENSP00000321424	SLC34A1	GO:0005615	Extracellular space	1.291
ENSP00000321424	SLC34A1	GO:1903561	Extracellular vesicle	0.887
ENSP00000321424	SLC34A1	GO:0070062	Extracellular exosome	0.644
ENSP00000321427	KCNH5	GO:0005576	Extracellular region	1.413
ENSP00000321427	KCNH5	GO:0005615	Extracellular space	0.780
ENSP00000321427	KCNH5	GO:1903561	Extracellular vesicle	0.647
ENSP00000321445	MSC	GO:0005576	Extracellular region	1.111
ENSP00000321445	MSC	GO:0005615	Extracellular space	0.895
ENSP00000321445	MSC	GO:1903561	Extracellular vesicle	0.586
ENSP00000321455	MICU3	GO:0005576	Extracellular region	1.118
ENSP00000321455	MICU3	GO:0005615	Extracellular space	0.514
ENSP00000321498	SLC37A3	GO:0005576	Extracellular region	0.837
ENSP00000321498	SLC37A3	GO:0005615	Extracellular space	0.624
ENSP00000321519	C19orf18	GO:0005576	Extracellular region	4.237
ENSP00000321519	C19orf18	GO:0005615	Extracellular space	4.000
ENSP00000321519	C19orf18	GO:0070062	Extracellular exosome	4.000
ENSP00000321519	C19orf18	GO:1903561	Extracellular vesicle	4.000
ENSP00000321537	LLGL1	GO:0005576	Extracellular region	1.695
ENSP00000321537	LLGL1	GO:0005615	Extracellular space	1.626
ENSP00000321537	LLGL1	GO:1903561	Extracellular vesicle	1.035
ENSP00000321537	LLGL1	GO:0070062	Extracellular exosome	0.825
ENSP00000321546	BORCS5	GO:0005576	Extracellular region	0.626
ENSP00000321573	DCBLD2	GO:0005576	Extracellular region	1.553
ENSP00000321573	DCBLD2	GO:0005615	Extracellular space	0.978
ENSP00000321573	DCBLD2	GO:1903561	Extracellular vesicle	0.953
ENSP00000321573	DCBLD2	GO:0070062	Extracellular exosome	0.849
ENSP00000321584	IMPDH2	GO:0005576	Extracellular region	4.365
ENSP00000321584	IMPDH2	GO:0005615	Extracellular space	4.272
ENSP00000321584	IMPDH2	GO:1903561	Extracellular vesicle	4.202
ENSP00000321584	IMPDH2	GO:0070062	Extracellular exosome	4.127
ENSP00000321606	CRMP1	GO:0005576	Extracellular region	1.418
ENSP00000321606	CRMP1	GO:0005615	Extracellular space	1.123
ENSP00000321606	CRMP1	GO:1903561	Extracellular vesicle	0.627
ENSP00000321617	ANKZF1	GO:0005576	Extracellular region	0.641
ENSP00000321627	ANKFN1	GO:0005576	Extracellular region	0.590
ENSP00000321636	TOP3A	GO:0005576	Extracellular region	1.254
ENSP00000321636	TOP3A	GO:0005615	Extracellular space	0.911
ENSP00000321636	TOP3A	GO:1903561	Extracellular vesicle	0.725
ENSP00000321636	TOP3A	GO:0070062	Extracellular exosome	0.678
ENSP00000321656	CDC25C	GO:0005576	Extracellular region	1.952
ENSP00000321656	CDC25C	GO:1903561	Extracellular vesicle	1.549
ENSP00000321656	CDC25C	GO:0005615	Extracellular space	1.511
ENSP00000321656	CDC25C	GO:0070062	Extracellular exosome	1.070
ENSP00000321679	ANKRD23	GO:0005576	Extracellular region	1.062
ENSP00000321679	ANKRD23	GO:0005615	Extracellular space	0.681
ENSP00000321679	ANKRD23	GO:0070062	Extracellular exosome	0.550
ENSP00000321679	ANKRD23	GO:1903561	Extracellular vesicle	0.521
ENSP00000321684	MEOX1	GO:0005576	Extracellular region	1.567
ENSP00000321684	MEOX1	GO:0005615	Extracellular space	1.524
ENSP00000321684	MEOX1	GO:1903561	Extracellular vesicle	0.571
ENSP00000321691	GATD1	GO:0005576	Extracellular region	4.581
ENSP00000321691	GATD1	GO:0005615	Extracellular space	4.000
ENSP00000321691	GATD1	GO:0070062	Extracellular exosome	4.000
ENSP00000321691	GATD1	GO:1903561	Extracellular vesicle	4.000
ENSP00000321703	TACC1	GO:0005576	Extracellular region	1.286
ENSP00000321703	TACC1	GO:0005615	Extracellular space	0.714
ENSP00000321706	GEMIN4	GO:0005576	Extracellular region	4.224
ENSP00000321706	GEMIN4	GO:0005615	Extracellular space	4.185
ENSP00000321706	GEMIN4	GO:1903561	Extracellular vesicle	4.174
ENSP00000321706	GEMIN4	GO:0070062	Extracellular exosome	4.162
ENSP00000321711	DIS3L	GO:0070062	Extracellular exosome	1.628
ENSP00000321711	DIS3L	GO:1903561	Extracellular vesicle	1.541
ENSP00000321711	DIS3L	GO:0005615	Extracellular space	1.302
ENSP00000321711	DIS3L	GO:0005576	Extracellular region	1.255
ENSP00000321735	SLC16A8	GO:0005576	Extracellular region	1.709
ENSP00000321735	SLC16A8	GO:0005615	Extracellular space	1.207
ENSP00000321735	SLC16A8	GO:1903561	Extracellular vesicle	0.570
ENSP00000321744	H2BC4	GO:0005576	Extracellular region	5.000
ENSP00000321744	H2BC4	GO:0005615	Extracellular space	5.000
ENSP00000321744	H2BC4	GO:1903561	Extracellular vesicle	3.590
ENSP00000321744	H2BC4	GO:0070062	Extracellular exosome	3.490
ENSP00000321797	FGF8	GO:0005576	Extracellular region	5.000
ENSP00000321797	FGF8	GO:0005615	Extracellular space	5.000
ENSP00000321797	FGF8	GO:1903561	Extracellular vesicle	2.709
ENSP00000321797	FGF8	GO:0070062	Extracellular exosome	2.535
ENSP00000321804	PAQR4	GO:0005576	Extracellular region	0.851
ENSP00000321805	RIT2	GO:0005576	Extracellular region	1.385
ENSP00000321805	RIT2	GO:0005615	Extracellular space	0.887
ENSP00000321810	TRIT1	GO:0005576	Extracellular region	1.254
ENSP00000321810	TRIT1	GO:0005615	Extracellular space	0.658
ENSP00000321826	STXBP5	GO:0005576	Extracellular region	1.399
ENSP00000321826	STXBP5	GO:0005615	Extracellular space	0.936
ENSP00000321826	STXBP5	GO:1903561	Extracellular vesicle	0.664
ENSP00000321826	STXBP5	GO:0070062	Extracellular exosome	0.524
ENSP00000321835	ETV4	GO:0005576	Extracellular region	1.909
ENSP00000321835	ETV4	GO:0005615	Extracellular space	1.532
ENSP00000321835	ETV4	GO:1903561	Extracellular vesicle	1.253
ENSP00000321835	ETV4	GO:0070062	Extracellular exosome	1.179
ENSP00000321853	SERPINF2	GO:0005576	Extracellular region	5.000
ENSP00000321853	SERPINF2	GO:0005615	Extracellular space	4.458
ENSP00000321853	SERPINF2	GO:1903561	Extracellular vesicle	4.408
ENSP00000321853	SERPINF2	GO:0070062	Extracellular exosome	4.303
ENSP00000321856	CRELD1	GO:0005576	Extracellular region	4.154
ENSP00000321856	CRELD1	GO:0005615	Extracellular space	3.277
ENSP00000321874	B3GNT3	GO:0005576	Extracellular region	2.460
ENSP00000321874	B3GNT3	GO:0005615	Extracellular space	1.387
ENSP00000321874	B3GNT3	GO:0070062	Extracellular exosome	1.249
ENSP00000321874	B3GNT3	GO:1903561	Extracellular vesicle	1.225
ENSP00000321927	FBXL13	GO:0005576	Extracellular region	0.617
ENSP00000321951	FAIM2	GO:0005576	Extracellular region	1.291
ENSP00000321951	FAIM2	GO:0005615	Extracellular space	1.088
ENSP00000321951	FAIM2	GO:1903561	Extracellular vesicle	0.533
ENSP00000321962	FIBIN	GO:0005576	Extracellular region	4.259
ENSP00000321962	FIBIN	GO:0005615	Extracellular space	0.903
ENSP00000321963	ZSCAN4	GO:0005576	Extracellular region	1.169
ENSP00000321963	ZSCAN4	GO:0005615	Extracellular space	0.729
ENSP00000321963	ZSCAN4	GO:1903561	Extracellular vesicle	0.600
ENSP00000321971	RHOT2	GO:0005576	Extracellular region	1.587
ENSP00000321971	RHOT2	GO:1903561	Extracellular vesicle	1.017
ENSP00000321971	RHOT2	GO:0070062	Extracellular exosome	0.843
ENSP00000321971	RHOT2	GO:0005615	Extracellular space	0.792
ENSP00000321987	TSPEAR	GO:0005576	Extracellular region	3.951
ENSP00000321997	LARP1B	GO:0005576	Extracellular region	0.974
ENSP00000321997	LARP1B	GO:0005615	Extracellular space	0.754
ENSP00000321997	LARP1B	GO:1903561	Extracellular vesicle	0.640
ENSP00000321997	LARP1B	GO:0070062	Extracellular exosome	0.597
ENSP00000322020	SLC25A22	GO:0005576	Extracellular region	1.292
ENSP00000322020	SLC25A22	GO:0005615	Extracellular space	0.962
ENSP00000322020	SLC25A22	GO:0070062	Extracellular exosome	0.560
ENSP00000322020	SLC25A22	GO:1903561	Extracellular vesicle	0.518
ENSP00000322061	C7	GO:0005576	Extracellular region	4.622
ENSP00000322061	C7	GO:0005615	Extracellular space	4.337
ENSP00000322061	C7	GO:1903561	Extracellular vesicle	4.211
ENSP00000322061	C7	GO:0070062	Extracellular exosome	4.179
ENSP00000322159	ATG4C	GO:0005576	Extracellular region	1.426
ENSP00000322159	ATG4C	GO:0005615	Extracellular space	1.098
ENSP00000322159	ATG4C	GO:1903561	Extracellular vesicle	1.049
ENSP00000322159	ATG4C	GO:0070062	Extracellular exosome	0.813
ENSP00000322170	PFN4	GO:0005576	Extracellular region	2.584
ENSP00000322170	PFN4	GO:0005615	Extracellular space	1.919
ENSP00000322170	PFN4	GO:1903561	Extracellular vesicle	1.274
ENSP00000322170	PFN4	GO:0070062	Extracellular exosome	1.045
ENSP00000322180	DSCC1	GO:0005576	Extracellular region	1.534
ENSP00000322181	DPM2	GO:0005576	Extracellular region	1.047
ENSP00000322191	DEFB104B	GO:0005576	Extracellular region	5.000
ENSP00000322191	DEFB104B	GO:0005615	Extracellular space	1.333
ENSP00000322191	DEFB104B	GO:1903561	Extracellular vesicle	0.556
ENSP00000322192	PGA3	GO:0005576	Extracellular region	5.000
ENSP00000322192	PGA3	GO:0005615	Extracellular space	4.199
ENSP00000322192	PGA3	GO:1903561	Extracellular vesicle	4.145
ENSP00000322192	PGA3	GO:0070062	Extracellular exosome	4.114
ENSP00000322218	PITPNM2	GO:0005576	Extracellular region	0.902
