name,uniprot,n_measure,n_tissue,n_cell,n_common,hacells_label,emblcells_label,cell label score,cell label,haatlas_label,emblatlas_label,mspatlas_label,msratlas_label,tissue label score,tissue label,Gobal label score (GLS),Global label
prostate and breast cancer overexpressed 1,Q9GZY1,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
prostate and testis expressed 4,P0C8F1,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
proteasomal ATPase associated factor 1,Q9BRP4,6,4,2,2,common,"erythrocytes,platelets",0.9,erythrocytes.platelets,"colon,stomach",common,"artery,colon",brain,1,brain,1,brain
protein arginine methyltransferase 8,Q9NR22,3,2,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,brain,brain,,,2,brain,2,brain
protein interacting with PRKCA 1,Q9NRD5,6,4,2,1,tcellcd8,macrophage,2,macrophages.tcellcd8,brain,common,"brain,heart",brain,2.45,brain,2.45,brain
protein kinase C alpha,P17252,6,4,2,0,tcellcd4,platelets,2,platelets.tcellcd4,kidney,"adrenalgland,brain",brain,brain,2.45,brain,2.45,brain
protein kinase C and casein kinase substrate in neurons 1,Q9BY11,6,4,2,0,tcellcd8,"tcellcd4,tcellcd8",1.45,tcellcd8,brain,brain,brain,brain,4,brain,4,brain
protein kinase C epsilon,Q02156,6,4,2,0,tcellcd8,bcell,2,bcell.tcellcd8,brain,brain,brain,brain,4,brain,4,brain
protein kinase C gamma,P05129,6,4,2,1,tcellcd8,common,1,tcellcd8,colon,brain,brain,brain,3,brain,3,brain
protein kinase cAMP-activated catalytic subunit beta,P22694,6,4,2,2,"tcellcd4,tcellcd8","tcellcd4,tcellcd8",1.8,tcellcd4.tcellcd8,common,brain,brain,common,2,brain,2,brain
protein kinase cAMP-dependent type I regulatory subunit beta,P31321,6,4,2,0,"tcellcd4,tcellcd8","tcellcd4,tcellcd8",1.8,tcellcd4.tcellcd8,brain,brain,brain,brain,4,brain,4,brain
"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)",Q8NAT1,6,4,2,0,tcellcd4,"erythrocytes,monocytes",1,tcellcd4,brain,muscle,brain,brain,3,brain,3,brain
protein O-mannose kinase,Q9H5K3,6,4,2,0,tcellcd4,"macrophage,monocytes",1,tcellcd4,brain,bonemarrow,brain,"brain,pancreas",2.45,brain,2.45,brain
protein phosphatase 1 regulatory inhibitor subunit 1B,Q9UD71,4,4,0,1,,,0,,common,adiposetissue,brain,brain,2,brain,2,brain
protein phosphatase 1 regulatory subunit 17,O96001,2,1,1,0,,"macrophage,monocytes",0.9,macrophages.monocytes,,brain,,,1,brain,1,brain
protein phosphatase 1 regulatory subunit 37,O75864,6,4,2,1,macrophages,macrophage,2,macrophages,brain,common,brain,brain,3,brain,3,brain
protein phosphatase 1 regulatory subunit 9A,Q9ULJ8,5,4,1,2,,common,0,,brain,muscle,brain,common,2,brain,2,brain
protein phosphatase 2 regulatory subunit B'beta,Q15173,6,4,2,1,macrophages,erythrocytes,2,erythrocytes.macrophages,brain,common,brain,"brain,skin",2.45,brain,2.45,brain
protein phosphatase 2 regulatory subunit Bgamma,Q9Y2T4,4,4,0,0,,,0,,nerve,skin,"brain,heart",brain,1.45,brain,1.45,brain
protein phosphatase 3 catalytic subunit alpha,Q08209,6,4,2,1,common,neutrophils,1,neutrophils,brain,brain,brain,brain,4,brain,4,brain
protein phosphatase 3 catalytic subunit gamma,P48454,6,4,2,1,common,bcell,1,bcell,brain,"heart,muscle",brain,"heart,muscle",2,brain,2,brain
"protein phosphatase 3 regulatory subunit B, alpha",P63098,6,4,2,1,bcell,neutrophils,2,bcell.neutrophils,brain,brain,brain,common,3,brain,3,brain
protein phosphatase 4 regulatory subunit 4,Q6NUP7,5,4,1,0,,tcellcd4,1,tcellcd4,brain,liver,brain,brain,3,brain,3,brain
protein phosphatase 5 catalytic subunit,P53041,6,4,2,2,common,"macrophage,tcellcd8",0.9,macrophages.tcellcd8,brain,heart,brain,common,2,brain,2,brain
"protein phosphatase, Mg2+/Mn2+ dependent 1E",Q8WY54,5,4,1,0,,macrophage,1,macrophages,brain,"adrenalgland,brain",brain,brain,3.45,brain,3.45,brain
"protein phosphatase, Mg2+/Mn2+ dependent 1H",Q9ULR3,6,4,2,1,macrophages,"macrophage,neutrophils",1.45,macrophages,brain,brain,brain,common,3,brain,3,brain
protein tyrosine phosphatase non-receptor type 5,P54829,5,4,1,0,tcellcd8,,1,tcellcd8,"brain,colon","brain,muscle",brain,brain,2.9,brain,2.9,brain
protein tyrosine phosphatase receptor type D,P23468,6,4,2,2,"macrophages,platelets","monocytes,platelets",0.9,platelets,common,brain,brain,common,2,brain,2,brain
protein tyrosine phosphatase receptor type N,Q16849,5,4,1,1,common,,0,,"pancreas,stomach",brain,brain,brain,3,brain,3,brain
protein tyrosine phosphatase receptor type N2,Q92932,6,4,2,2,neutrophils,common,1,neutrophils,common,brain,brain,brain,3,brain,3,brain
protein tyrosine phosphatase receptor type T,O14522,4,4,0,0,,,0,,brain,brain,brain,brain,4,brain,4,brain
protein tyrosine phosphatase receptor type Z1,P23471,4,4,0,0,,,0,,brain,skin,brain,brain,3,brain,3,brain
protein-L-isoaspartate (D-aspartate) O-methyltransferase,P22061,6,4,2,2,"macrophages,tcellcd4",common,0.9,macrophages.tcellcd4,brain,common,"brain,muscle","heart,muscle",1.45,brain,1.45,brain
proteolipid protein 1,P60201,5,4,1,0,platelets,,1,platelets,"brain,nerve",brain,brain,nerve,2.45,brain,2.45,brain
protocadherin 1,Q08174,6,4,2,1,macrophages,"macrophage,tcellcd8",1.45,macrophages,brain,common,brain,adrenalgland,2,brain,2,brain
protocadherin 10,Q9P2E7,5,4,1,0,tcellcd4,,1,tcellcd4,colon,artery,"brain,nerve",brain,1.45,brain,1.45,brain
protocadherin 8,O95206,3,3,0,0,,,0,,,brain,colon,brain,2,brain,2,brain
protocadherin 9,Q9HC56,6,4,2,1,bcell,bcell,2,bcell,common,brain,brain,"brain,nerve",2.45,brain,2.45,brain
protocadherin alpha 1,Q9Y5I3,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
protocadherin alpha 11,Q9Y5I1,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
protocadherin alpha 5,Q9Y5H7,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
protocadherin alpha 6,Q9UN73,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
protocadherin alpha 8,Q9Y5H6,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
"protocadherin alpha subfamily C, 1",Q9H158,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
"protocadherin alpha subfamily C, 2",Q9Y5I4,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
protocadherin beta 2,Q9Y5E7,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
"protocadherin gamma subfamily B, 1",Q9Y5G3,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
"protocadherin gamma subfamily C, 3",Q9UN70,6,4,2,2,"monocytes,neutrophils",macrophage,1,macrophages,brain,common,brain,common,2,brain,2,brain
"protocadherin gamma subfamily C, 5",Q9Y5F6,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
PTPRF interacting protein alpha 2,O75334,5,4,1,0,"macrophages,monocytes",,0.9,macrophages.monocytes,heart,brain,brain,brain,3,brain,3,brain
purine rich element binding protein A,Q00577,6,4,2,2,"tcellcd4,tcellcd8","erythrocytes,platelets",1.8,common,brain,common,brain,common,2,brain,2,brain
purine rich element binding protein G,Q9UJV8,3,3,0,0,,,0,,,brain,artery,brain,2,brain,2,brain
"PWWP domain containing 3A, DNA repair factor",Q2TAK8,4,3,1,2,,common,0,,,"adrenalgland,liver",brain,common,1,brain,1,brain
PX domain containing serine/threonine kinase like,Q7Z7A4,6,4,2,1,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,spleen,bonemarrow,brain,"brain,thyroid",1.45,brain,1.45,brain
pyridoxal phosphatase,Q96GD0,6,4,2,1,common,bcell,1,bcell,brain,liver,brain,"brain,liver",2.45,brain,2.45,brain
quinoid dihydropteridine reductase,P09417,6,4,2,2,common,common,0,,brain,"kidney,liver","brain,liver","brain,liver",1.9,brain,1.9,brain
R-spondin 2,Q6UXX9,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
R3H domain containing 1,Q15032,4,3,1,1,,common,0,,,brain,muscle,"brain,heart",1.45,brain,1.45,brain
R3H domain containing 2,Q9Y2K5,4,3,1,1,,"neutrophils,platelets",0.9,neutrophils.platelets,,common,brain,"brain,liver",1.45,brain,1.45,brain
"RAB33A, member RAS oncogene family",Q14088,6,4,2,0,platelets,platelets,2,platelets,brain,brain,brain,"brain,heart",3.45,brain,3.45,brain
"RAB39B, member RAS oncogene family",Q96DA2,6,4,2,2,common,common,0,,"brain,lung",brain,brain,brain,3.45,brain,3.45,brain
"RAB3A, member RAS oncogene family",P20336,6,4,2,1,macrophages,common,1,macrophages,brain,brain,brain,"brain,heart",3.45,brain,3.45,brain
"RAB3B, member RAS oncogene family",P20337,6,4,2,0,platelets,neutrophils,2,neutrophils.platelets,"colon,stomach",brain,brain,brain,3,brain,3,brain
"RAB3C, member RAS oncogene family",Q96E17,6,4,2,0,platelets,platelets,2,platelets,"bonemarrow,spleen",brain,brain,brain,3,brain,3,brain
"RAB4A, member RAS oncogene family",P20338,6,4,2,1,"macrophages,monocytes",platelets,1,platelets,brain,heart,brain,common,2,brain,2,brain
"RAB4B, member RAS oncogene family",P61018,6,4,2,2,monocytes,"monocytes,neutrophils",1.45,monocytes,brain,common,brain,common,2,brain,2,brain
"RAB5B, member RAS oncogene family",P61020,6,4,2,2,"macrophages,tcellcd4",neutrophils,1,neutrophils,brain,common,brain,common,2,brain,2,brain
"RAB6B, member RAS oncogene family",Q9NRW1,6,4,2,1,platelets,platelets,2,platelets,common,brain,brain,brain,3,brain,3,brain
"RAB6C, member RAS oncogene family",Q9H0N0,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
"rabaptin, RAB GTPase binding effector protein 1",Q15276,6,4,2,1,"bcell,tcellcd8","bcell,macrophage",0.9,bcell,brain,common,brain,muscle,2,brain,2,brain
"rabenosyn, RAB effector",Q9H1K0,6,4,2,1,"tcellcd4,tcellcd8","erythrocytes,platelets",1.8,common,brain,common,"artery,brain",brain,2.45,brain,2.45,brain
rabphilin 3A,Q9Y2J0,6,4,2,0,bcell,"bcell,monocytes",1.45,bcell,ovary,brain,brain,brain,3,brain,3,brain
RAD21 cohesin complex component like 1,Q9H4I0,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
radial spoke head component 9,Q9H1X1,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
raftlin family member 2,Q52LD8,5,4,1,1,,neutrophils,1,neutrophils,"brain,nerve","heart,muscle",brain,common,1.45,brain,1.45,brain
Ral GTPase activating protein catalytic subunit alpha 1,Q6GYQ0,6,4,2,2,monocytes,"tcellcd4,tcellcd8",1,monocytes,brain,common,brain,common,2,brain,2,brain
RALY RNA binding protein like,Q86SE5,5,4,1,1,common,,0,,"colon,stomach","adrenalgland,brain",brain,brain,2.45,brain,2.45,brain
Rap guanine nucleotide exchange factor 2,Q9Y4G8,6,4,2,2,common,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,brain,bonemarrow,brain,common,2,brain,2,brain
Rap guanine nucleotide exchange factor 4,Q8WZA2,5,4,1,1,,platelets,1,platelets,brain,adrenalgland,brain,common,2,brain,2,brain
Rap1 GTPase-GDP dissociation stimulator 1,P52306,6,4,2,1,macrophages,macrophage,2,macrophages,brain,brain,brain,common,3,brain,3,brain
"RAP2A, member of RAS oncogene family",P10114,6,4,2,2,"macrophages,monocytes",macrophage,1.45,macrophages,brain,common,brain,common,2,brain,2,brain
RAR related orphan receptor B,Q92753,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
ras homolog family member B,P62745,6,4,2,2,macrophages,common,1,macrophages,brain,artery,brain,common,2,brain,2,brain
Ras like without CAAX 2,Q99578,5,4,1,0,macrophages,,1,macrophages,liver,brain,heart,brain,2,brain,2,brain
Ras protein specific guanine nucleotide releasing factor 1,Q13972,5,4,1,0,,macrophage,1,macrophages,brain,brain,brain,brain,4,brain,4,brain
RD3 regulator of GUCY2D,Q7Z3Z2,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
receptor accessory protein 1,Q9H902,5,4,1,0,,"erythrocytes,platelets",0.9,erythrocytes.platelets,"brain,nerve","heart,muscle",brain,"brain,muscle",1.9,brain,1.9,brain
receptor transporter protein 1,P59025,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
regulating synaptic membrane exocytosis 1,Q86UR5,6,4,2,0,tcellcd4,"neutrophils,platelets",1,tcellcd4,heart,brain,brain,brain,3,brain,3,brain
regulating synaptic membrane exocytosis 3,Q9UJD0,5,4,1,1,,"erythrocytes,tcellcd4",0.9,erythrocytes.tcellcd4,brain,brain,"brain,heart",common,2.45,brain,2.45,brain
regulator of G protein signaling 20,O76081,6,4,2,0,macrophages,macrophage,2,macrophages,brain,brain,stomach,brain,3,brain,3,brain
regulator of G protein signaling 4,P49798,3,3,0,1,,,0,,,brain,common,brain,2,brain,2,brain
regulator of G protein signaling 7,P49802,6,4,2,0,neutrophils,bcell,2,bcell.neutrophils,brain,brain,brain,brain,4,brain,4,brain
regulator of G protein signaling 7 binding protein,Q6MZT1,4,4,0,0,,,0,,brain,heart,muscle,brain,2,brain,2,brain
regulator of G protein signaling 8,P57771,3,3,0,0,,,0,,,brain,"artery,skin",brain,2,brain,2,brain
regulator of G protein signaling 9,O75916,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
regulatory associated protein of MTOR complex 1,Q8N122,6,4,2,1,bcell,common,1,bcell,brain,muscle,brain,"heart,muscle",2,brain,2,brain
regulatory factor X4,Q33E94,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
relaxin 3,Q8WXF3,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
reprimo like,Q8N4K4,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
retbindin,Q9BSG5,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
reticulon 1,Q16799,6,4,2,2,common,macrophage,1,macrophages,brain,brain,brain,common,3,brain,3,brain
reticulon 3,O95197,6,4,2,1,"macrophages,monocytes",neutrophils,1,neutrophils,common,brain,brain,brain,3,brain,3,brain
reticulon 4 receptor like 2,Q86UN3,6,4,2,0,erythrocytes,macrophage,2,erythrocytes.macrophages,brain,liver,brain,"brain,liver",2.45,brain,2.45,brain
retina and anterior neural fold homeobox,Q9Y2V3,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
retina and anterior neural fold homeobox 2,Q96IS3,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
retinal G protein coupled receptor,P47804,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
retinoid isomerohydrolase RPE65,Q16518,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
retrotransposon Gag like 6,Q6ICC9,2,1,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,brain,,,1,brain,1,brain
Rho GTPase activating protein 21,Q5T5U3,6,4,2,0,platelets,platelets,2,platelets,brain,muscle,brain,"brain,thyroid",2.45,brain,2.45,brain
Rho GTPase activating protein 32,A7KAX9,6,4,2,2,"bcell,tcellcd8","tcellcd4,tcellcd8",0.9,tcellcd8,common,common,brain,"brain,thyroid",1.45,brain,1.45,brain
rhodopsin,P08100,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
ribosomal protein S6 kinase A5,O75582,6,4,2,1,common,neutrophils,1,neutrophils,colon,"brain,muscle","artery,brain","brain,nerve",1.35,brain,1.35,brain
RIMS binding protein 2,O15034,5,4,1,0,"bcell,monocytes",,0.9,bcell.monocytes,"adiposetissue,artery",brain,skin,brain,2,brain,2,brain
ring finger protein 141,Q8WVD5,6,4,2,2,"macrophages,neutrophils","neutrophils,platelets",0.9,neutrophils,brain,common,brain,common,2,brain,2,brain
ring finger protein 165,Q6ZSG1,2,1,1,0,,"monocytes,neutrophils",0.9,monocytes.neutrophils,,brain,,,1,brain,1,brain
ring finger protein 175,Q8N4F7,4,3,1,0,,tcellcd4,1,tcellcd4,,bonemarrow,brain,brain,2,brain,2,brain
ring finger protein 187,Q5TA31,2,1,1,0,,"erythrocytes,macrophage",0.9,erythrocytes.macrophages,,brain,,,1,brain,1,brain
ripply transcriptional repressor 2,Q5TAB7,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
RNA binding fox-1 homolog 3,A6NFN3,5,4,1,0,,"neutrophils,platelets",0.9,neutrophils.platelets,brain,brain,muscle,brain,3,brain,3,brain
roundabout guidance receptor 2,Q9HCK4,3,3,0,0,,,0,,,brain,"artery,heart",brain,2,brain,2,brain
RPGRIP1 like,Q68CZ1,4,3,1,0,,erythrocytes,1,erythrocytes,,brain,muscle,brain,2,brain,2,brain
RUN and FYVE domain containing 3,Q7L099,6,4,2,0,"monocytes,tcellcd4","macrophage,monocytes",0.9,monocytes,brain,brain,brain,"brain,thyroid",3.45,brain,3.45,brain
RUN domain containing 3A,Q59EK9,5,4,1,0,,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,brain,brain,brain,brain,4,brain,4,brain
sarcoma antigen 1,Q9NXZ1,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
scratch family transcriptional repressor 1,Q9BWW7,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
scratch family transcriptional repressor 2,Q9NQ03,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
SEC14 and spectrin domain containing 1,Q86VW0,6,4,2,2,platelets,common,1,platelets,brain,adiposetissue,"artery,brain",common,1.45,brain,1.45,brain
secernin 1,Q12765,6,4,2,1,monocytes,"bcell,macrophage",1,monocytes,brain,brain,brain,common,3,brain,3,brain
secretogranin II,P13521,5,4,1,1,common,,0,,"adiposetissue,heart",brain,brain,brain,3,brain,3,brain
secretogranin III,Q8WXD2,5,4,1,0,"macrophages,neutrophils",,0.9,macrophages.neutrophils,"bonemarrow,stomach",brain,brain,brain,3,brain,3,brain
secretogranin V,P05408,6,4,2,0,monocytes,macrophage,2,macrophages.monocytes,"brain,stomach",brain,brain,brain,3.45,brain,3.45,brain
secretory carrier membrane protein 5,Q8TAC9,5,4,1,0,,bcell,1,bcell,brain,brain,brain,brain,4,brain,4,brain
seizure related 6 homolog like,Q9BYH1,6,4,2,0,erythrocytes,monocytes,2,erythrocytes.monocytes,"adiposetissue,heart",brain,"brain,nerve",brain,2.45,brain,2.45,brain
seizure related 6 homolog like 2,Q6UXD5,5,4,1,0,,macrophage,1,macrophages,brain,brain,brain,brain,4,brain,4,brain
septin 11,Q9NVA2,6,4,2,2,common,macrophage,1,macrophages,brain,adiposetissue,brain,common,2,brain,2,brain
septin 3,Q9UH03,6,4,2,0,neutrophils,macrophage,2,macrophages.neutrophils,brain,brain,brain,"brain,nerve",3.45,brain,3.45,brain
septin 4,O43236,6,4,2,1,platelets,platelets,2,platelets,brain,brain,brain,common,3,brain,3,brain
septin 5,Q99719,6,4,2,1,"tcellcd4,tcellcd8",neutrophils,1,neutrophils,brain,brain,none,common,2,brain,2,brain
septin 7,Q16181,6,4,2,2,"tcellcd4,tcellcd8","neutrophils,platelets",1.8,common,brain,common,brain,common,2,brain,2,brain
septin 8,Q92599,6,4,2,2,common,erythrocytes,1,erythrocytes,brain,brain,brain,common,3,brain,3,brain
serine and arginine rich splicing factor 12,Q8WXF0,3,2,1,0,,monocytes,1,monocytes,,brain,,brain,2,brain,2,brain
serine protease 55,Q6UWB4,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
serine racemase,Q9GZT4,6,4,2,0,"macrophages,monocytes","erythrocytes,platelets",1.8,common,brain,brain,brain,brain,4,brain,4,brain
serine rich single-pass membrane protein 1,Q8WWF3,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
serine/arginine repetitive matrix 4,A7MD48,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
serine/threonine kinase 32C,Q86UX6,6,4,2,0,"monocytes,tcellcd4",macrophage,1,macrophages,brain,brain,brain,brain,4,brain,4,brain
serpin family I member 1,Q99574,5,4,1,0,,"bcell,platelets",0.9,bcell.platelets,brain,brain,brain,brain,4,brain,4,brain
SH2 domain containing 5,Q6ZV89,3,2,1,0,,neutrophils,1,neutrophils,brain,brain,,,2,brain,2,brain
SH3 and multiple ankyrin repeat domains 1,Q9Y566,4,3,1,0,,tcellcd8,1,tcellcd8,brain,brain,,brain,3,brain,3,brain
"SH3 domain containing GRB2 like 2, endophilin A1",Q99962,5,4,1,0,macrophages,,1,macrophages,brain,brain,brain,brain,4,brain,4,brain
"SH3 domain containing GRB2 like 3, endophilin A3",Q99963,6,4,2,0,tcellcd8,platelets,2,platelets.tcellcd8,brain,brain,brain,brain,4,brain,4,brain
shisa family member 9,B4DS77,4,3,1,0,,neutrophils,1,neutrophils,,brain,"brain,skin",brain,2.45,brain,2.45,brain
shisa like 1,Q3SXP7,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
signal peptide peptidase like 2C,Q8IUH8,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
signal regulatory protein alpha,P78324,6,4,2,2,"macrophages,monocytes","macrophage,neutrophils",0.9,macrophages,brain,common,brain,common,2,brain,2,brain
SIK family kinase 3,Q9Y2K2,6,4,2,2,"bcell,monocytes",neutrophils,1,neutrophils,brain,common,brain,common,2,brain,2,brain
SIN3-HDAC complex associated factor,Q9NP50,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
single stranded DNA binding protein 4,Q9BWG4,6,4,2,2,tcellcd8,"bcell,monocytes",1,tcellcd8,brain,common,brain,common,2,brain,2,brain
sirtuin 2,Q8IXJ6,6,4,2,0,"macrophages,monocytes","erythrocytes,neutrophils",1.8,common,brain,muscle,brain,"heart,muscle",2,brain,2,brain
SIX homeobox 3,O95343,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
SIX homeobox 6,O95475,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
SLAIN motif family member 1,Q8ND83,4,3,1,2,,common,0,,,brain,brain,common,2,brain,2,brain
SLIT and NTRK like family member 1,Q96PX8,2,2,0,0,,,0,,brain,brain,,,2,brain,2,brain
slit guidance ligand 1,O75093,6,4,2,1,bcell,common,1,bcell,"adiposetissue,artery",brain,pancreas,brain,2,brain,2,brain
SLIT-ROBO Rho GTPase activating protein 3,O43295,6,4,2,0,monocytes,monocytes,2,monocytes,liver,brain,brain,"brain,thyroid",2.45,brain,2.45,brain
small ArfGAP 1,Q8IYB5,6,4,2,2,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,brain,brain,brain,common,3,brain,3,brain
small EDRK-rich factor 1A,O75920,2,1,1,1,,common,0,,,brain,,,1,brain,1,brain
small glutamine rich tetratricopeptide repeat co-chaperone beta,Q96EQ0,6,4,2,1,"tcellcd4,tcellcd8","macrophage,tcellcd8",0.9,tcellcd8,brain,brain,brain,common,3,brain,3,brain
small integral membrane protein 17,P0DL12,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
small integral membrane protein 21,Q3B7S5,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
small integral membrane protein 36,A0A1B0GVT2,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
small integral membrane protein 43,Q4W5P6,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
small integral membrane protein 45,A0A590UK83,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
small lysine rich protein 1,H3BMG3,2,1,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,brain,,,1,brain,1,brain
sodium voltage-gated channel alpha subunit 1,P35498,4,4,0,0,,,0,,brain,brain,brain,brain,4,brain,4,brain
sodium voltage-gated channel alpha subunit 2,Q99250,6,4,2,0,macrophages,bcell,2,bcell.macrophages,"adiposetissue,heart",brain,brain,brain,3,brain,3,brain
sodium voltage-gated channel alpha subunit 8,Q9UQD0,5,4,1,0,,neutrophils,1,neutrophils,brain,brain,spleen,"brain,liver",2.45,brain,2.45,brain
sodium voltage-gated channel beta subunit 2,O60939,4,4,0,0,,,0,,brain,heart,brain,"brain,heart",2.45,brain,2.45,brain
SOGA family member 3,Q5TF21,5,4,1,0,"tcellcd4,tcellcd8",,0.9,tcellcd4.tcellcd8,spleen,brain,brain,"brain,nerve",2.45,brain,2.45,brain
solute carrier family 1 member 3,P43003,6,4,2,0,tcellcd4,macrophage,2,macrophages.tcellcd4,brain,brain,brain,"brain,heart",3.45,brain,3.45,brain
solute carrier family 1 member 4,P43007,6,4,2,0,tcellcd4,macrophage,2,macrophages.tcellcd4,brain,brain,brain,brain,4,brain,4,brain
solute carrier family 10 member 4,Q96EP9,3,3,0,0,,,0,,,"bonemarrow,brain","colon,heart",brain,1.45,brain,1.45,brain
solute carrier family 12 member 5,Q9H2X9,6,4,2,0,macrophages,"bcell,macrophage",1.45,macrophages,brain,brain,brain,brain,4,brain,4,brain
solute carrier family 13 member 4,Q9UKG4,2,1,1,0,,"bcell,platelets",0.9,bcell.platelets,,brain,,,1,brain,1,brain
solute carrier family 17 member 6,Q9P2U8,4,4,0,0,,,0,,brain,brain,muscle,brain,3,brain,3,brain
solute carrier family 17 member 7,Q9P2U7,5,4,1,0,macrophages,,1,macrophages,brain,brain,brain,brain,4,brain,4,brain
solute carrier family 17 member 8,Q8NDX2,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
solute carrier family 18 member A3,Q16572,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
solute carrier family 2 member 3,P11169,6,4,2,1,platelets,"neutrophils,platelets",1.45,platelets,brain,bonemarrow,brain,common,2,brain,2,brain
solute carrier family 22 member 23,A1A5C7,4,3,1,2,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,common,brain,common,1,brain,1,brain
solute carrier family 24 member 2,Q9UI40,6,4,2,0,platelets,"erythrocytes,platelets",1.45,platelets,"brain,lung",brain,brain,brain,3.45,brain,3.45,brain
solute carrier family 30 member 3,Q99726,6,4,2,0,macrophages,macrophage,2,macrophages,brain,heart,brain,"brain,heart",2.45,brain,2.45,brain
solute carrier family 32 member 1,Q9H598,4,4,0,0,,,0,,brain,"bonemarrow,brain",brain,brain,3.45,brain,3.45,brain
solute carrier family 35 member F1,Q5T1Q4,3,2,1,0,,neutrophils,1,neutrophils,"brain,nerve",brain,,,1.45,brain,1.45,brain
solute carrier family 35 member F4,A4IF30,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
solute carrier family 38 member 8,A6NNN8,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
solute carrier family 39 member 10,Q9ULF5,6,4,2,2,macrophages,common,1,macrophages,brain,brain,brain,common,3,brain,3,brain
solute carrier family 39 member 12,Q504Y0,2,2,0,0,,,0,,brain,brain,,,2,brain,2,brain
solute carrier family 4 member 10,Q6U841,6,4,2,0,macrophages,tcellcd8,2,macrophages.tcellcd8,spleen,brain,brain,brain,3,brain,3,brain
solute carrier family 4 member 8,Q2Y0W8,6,4,2,1,monocytes,macrophage,2,macrophages.monocytes,common,brain,brain,brain,3,brain,3,brain
solute carrier family 6 member 11,P48066,6,4,2,0,tcellcd4,neutrophils,2,neutrophils.tcellcd4,brain,"brain,skin",brain,brain,3.45,brain,3.45,brain
solute carrier family 6 member 15,Q9H2J7,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
solute carrier family 6 member 17,Q9H1V8,5,4,1,0,tcellcd4,,1,tcellcd4,"bonemarrow,colon",brain,brain,brain,3,brain,3,brain
solute carrier family 6 member 3,Q01959,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
solute carrier family 6 member 5,Q9Y345,1,1,0,0,,,0,,,brain,,,1,brain,1,brain
